dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,urls/1,urls/2,urls/3,location,comments_disabled,urls/4,urls/5,urls/6,urls/7,urls/8,urls/9,video_view_count,tags/25,tags/26,tags/27,tags/28,tags/29
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/dad1dbbc660d44d37a762e218e3dc4af/5C82CB12/t51.2885-15/e35/43526360_2207835662873983_5568538335173297902_n.jpg,425,425,"@fesoare.s .
.
. .
.
Marque já o seu ensaio:
(21) 98684-0521 @indilamacedo
.
#riodejaneiro #ccbbrj #turistando #ruiva #red #retro #ccbb #espalhecultura #exposição #modafeminina #ensaiofotografico #fotografia #retratosfemininos #ensaiofeminino #apaixonadapelafotografia #amorpelafotografia📷 #girlspower #photography #lovephoto #photoscape #rj #fefe #ensaio #canont6i #usecanon",16,1915618852857512677,false,"{""street_address"": ""Rua En\u00e9as Martins"", ""zip_code"": ""21660-320"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,1020135310,Centro Cultural Banco Do Brasil,centro-cultural-banco-do-brasil,5758423150,BqVpTKBnQLl,lovephoto,ensaio,ccbb,ensaiofotografico,girlspower,photoscape,retro,photography,rj,turistando,riodejaneiro,ruiva,fefe,espalhecultura,retratosfemininos,canont6i,fotografia,ensaiofeminino,exposição,apaixonadapelafotografia,ccbbrj,amorpelafotografia,red,usecanon,modafeminina,1542579584,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/77acb3e0c1b2644fb27105e7b29169ca/5C7BE535/t51.2885-15/e35/c0.135.1080.1080a/s150x150/43526360_2207835662873983_5568538335173297902_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c0fb1e1bf9f65516e57cf6642980346a/5CB04633/t51.2885-15/e35/c0.135.1080.1080a/s240x240/43526360_2207835662873983_5568538335173297902_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/6c07fc5a1bf48c4c9fa43d96d8796a70/5C798E4D/t51.2885-15/e35/c0.135.1080.1080a/s320x320/43526360_2207835662873983_5568538335173297902_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/b799524ae5d67082e33da0d789bacb4b/5C8FBD0A/t51.2885-15/e35/c0.135.1080.1080a/s480x480/43526360_2207835662873983_5568538335173297902_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/6c3990dac6d321012528795df8d80797/5C90DD05/t51.2885-15/sh0.08/e35/c0.135.1080.1080a/s640x640/43526360_2207835662873983_5568538335173297902_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6c3990dac6d321012528795df8d80797/5C90DD05/t51.2885-15/sh0.08/e35/c0.135.1080.1080a/s640x640/43526360_2207835662873983_5568538335173297902_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/dad1dbbc660d44d37a762e218e3dc4af/5C82CB12/t51.2885-15/e35/43526360_2207835662873983_5568538335173297902_n.jpg,,,,,,,,,,,,,,,,,
1305,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/da8c6f75a68e29444716fcf256cf4727/5C6A190F/t51.2885-15/e35/43560536_320465651883261_1411053780246665336_n.jpg,47,47,ces tem uma amiga maravilhosa? pq eu tenho. @eduardarmoreira amo vc bb ♥️ ▫️ #ccbbrj #confeitariacolombo,0,1916102369160346557,false,"{""street_address"": ""Rua Primeiro de Mar\u00e7o, 66 - Centro"", ""zip_code"": ""20010-000"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,7366863,CCBB Rio de Janeiro,ccbb-rio-de-janeiro,346936444,BqXXPPrFju9,confeitariacolombo,ccbbrj,,,,,,,,,,,,,,,,,,,,,,,,1542637223,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/32672342b5496ab69a712912dad30d65/5C73D465/t51.2885-15/e35/c0.112.1080.1080/s150x150/43560536_320465651883261_1411053780246665336_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c4793f2881c8aba65278159ee3c5acfa/5C6A852F/t51.2885-15/e35/c0.112.1080.1080/s240x240/43560536_320465651883261_1411053780246665336_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/cd1602e95295083785a40f33ea55f1e8/5C6F7C95/t51.2885-15/e35/c0.112.1080.1080/s320x320/43560536_320465651883261_1411053780246665336_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/c03d191987c784fb6eea754485f548f3/5C74D9CF/t51.2885-15/e35/c0.112.1080.1080/s480x480/43560536_320465651883261_1411053780246665336_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/44668269b283c67ea50f8172e74cbdc2/5C90797E/t51.2885-15/sh0.08/e35/c0.112.1080.1080/s640x640/43560536_320465651883261_1411053780246665336_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/44668269b283c67ea50f8172e74cbdc2/5C90797E/t51.2885-15/sh0.08/e35/c0.112.1080.1080/s640x640/43560536_320465651883261_1411053780246665336_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/da8c6f75a68e29444716fcf256cf4727/5C6A190F/t51.2885-15/e35/43560536_320465651883261_1411053780246665336_n.jpg,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/3f3337fc47d034823329b6398814c0ad/5C788827/t51.2885-15/e35/44501589_136255680691668_2934200017910703109_n.jpg,16,16,"Jean Michel Basquiat. ♥️ Não curto muito arte urbana mas esse cara não tem como passar despercebido. Além de obras geniais, em sua curta passagem (morreu aos 27 anos), ele se envolveu também com música e poesia. Pra quem não o conhece, fica a dica do filme ""Basquiat - traços de uma vida"", ou melhor ainda, ele está no #ccbbrj. Vale a fila!

#JeanMichelBasquiat #AVidaEMuitoCurtaPraNaoMorarNoRio",3,1916258854238512382,false,"{""street_address"": ""Rua Primeiro de Mar\u00e7o, 66 - Centro"", ""zip_code"": ""20010-000"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,7366863,CCBB Rio de Janeiro,ccbb-rio-de-janeiro,184275306,BqX60ZwlWT-,AVidaEMuitoCurtaPraNaoMorarNoRio,JeanMichelBasquiat,ccbbrj,,,,,,,,,,,,,,,,,,,,,,,1542655878,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/fe207ab407faf84c13d0768f2448cc03/5CB00F7F/t51.2885-15/e35/c0.135.1080.1080/s150x150/44501589_136255680691668_2934200017910703109_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/8b2c79abc6d1fcba4830145bac1140ec/5C7E4A35/t51.2885-15/e35/c0.135.1080.1080/s240x240/44501589_136255680691668_2934200017910703109_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/239a69e7290790954b85b21e42f3cfe6/5C79688F/t51.2885-15/e35/c0.135.1080.1080/s320x320/44501589_136255680691668_2934200017910703109_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/4cad494fb95e6fe0a42f609cb694822d/5CAF96D5/t51.2885-15/e35/c0.135.1080.1080/s480x480/44501589_136255680691668_2934200017910703109_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8b60be60be5c485572f7afb132b0d6b/5C7A4F64/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44501589_136255680691668_2934200017910703109_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8b60be60be5c485572f7afb132b0d6b/5C7A4F64/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44501589_136255680691668_2934200017910703109_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/3f3337fc47d034823329b6398814c0ad/5C788827/t51.2885-15/e35/44501589_136255680691668_2934200017910703109_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6853879ee353ae35cdb87b490aace95c/5C8B0D7B/t51.2885-15/e35/46195665_703694066683153_4447450214120262899_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e4b4a862b036fa72c7826487506ae3bc/5C6EEC7A/t51.2885-15/e35/44871194_283124432330657_4495713595207113438_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ede669cac4a0c42a8621d6c6fee52de4/5CB09503/t51.2885-15/e35/44556277_347745475773348_8051789792645182461_n.jpg,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/bb87aa2f90a065655149f0a6971d3926/5CB13980/t51.2885-15/e35/44219458_1138193516384563_4382453527199412011_n.jpg,159,159,"*SOHO NY*
#vsco#vscocam#vscobrasil#ccbbrj",3,1893077676173791935,false,,,,,,536435827,BpFkB3Uj5K_,vscobrasil,vsco,ccbbrj,vscocam,,,,,,,,,,,,,,,,,,,,,,1539892466,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/9476e2099ec1b13e8eefef77da4ff797/5C6D898F/t51.2885-15/e35/c0.135.1080.1080/s150x150/44219458_1138193516384563_4382453527199412011_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/113c80722290f14499e1c21b59c8ccd9/5C6D5989/t51.2885-15/e35/c0.135.1080.1080/s240x240/44219458_1138193516384563_4382453527199412011_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/fd127c80ce3b91fb257a286c4c2b5113/5C6DCDF7/t51.2885-15/e35/c0.135.1080.1080/s320x320/44219458_1138193516384563_4382453527199412011_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/c9c3d797ce402a4d6049a5e9cdfe74a2/5C7C3DB0/t51.2885-15/e35/c0.135.1080.1080/s480x480/44219458_1138193516384563_4382453527199412011_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/7528c8e5df33fbc946fd80a7e8bae1bb/5C6B2318/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44219458_1138193516384563_4382453527199412011_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7528c8e5df33fbc946fd80a7e8bae1bb/5C6B2318/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44219458_1138193516384563_4382453527199412011_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/bb87aa2f90a065655149f0a6971d3926/5CB13980/t51.2885-15/e35/44219458_1138193516384563_4382453527199412011_n.jpg,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/dbd7df9d9770dee5236c096bf80ed648/5C6CF3D5/t51.2885-15/e35/43984300_2296645513741387_40400606738049550_n.jpg,127,127,"Eu sempre quis ser a rainha do Brooklin.✌🏼
.
.
#ccbbrj #ccbb #exposicao #jeansmichelbasquiat #queen #rap",11,1915434122244132596,false,"{""street_address"": ""Rua Primeiro de Mar\u00e7o, 66 - Centro"", ""zip_code"": ""20010-000"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,7366863,CCBB Rio de Janeiro,ccbb-rio-de-janeiro,480680326,BqU_S-PBg70,queen,jeansmichelbasquiat,ccbb,rap,ccbbrj,exposicao,,,,,,,,,,,,,,,,,,,,1542557562,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/ffa148770c8788ddf751c2c1b86a124f/5C90AC71/t51.2885-15/e35/c0.96.768.768/s150x150/43984300_2296645513741387_40400606738049550_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/919a88f6e8f49975450dec78c1c6db37/5C8FE6C4/t51.2885-15/e35/c0.96.768.768/s240x240/43984300_2296645513741387_40400606738049550_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/54b3b33ce2f163be0f3a7d4e75bd32f0/5CAFA37C/t51.2885-15/e35/c0.96.768.768/s320x320/43984300_2296645513741387_40400606738049550_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/eaa59f16a8012d9b82195a91a3e72b9a/5C6C1420/t51.2885-15/e35/c0.96.768.768/s480x480/43984300_2296645513741387_40400606738049550_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/001c8c246720642d9e983a6b98946050/5C8032D0/t51.2885-15/sh0.08/e35/c0.96.768.768/s640x640/43984300_2296645513741387_40400606738049550_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/001c8c246720642d9e983a6b98946050/5C8032D0/t51.2885-15/sh0.08/e35/c0.96.768.768/s640x640/43984300_2296645513741387_40400606738049550_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/dbd7df9d9770dee5236c096bf80ed648/5C6CF3D5/t51.2885-15/e35/43984300_2296645513741387_40400606738049550_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/54e1bcbaf588ccb5c69e019bb41ea1fb/5CB21F33/t51.2885-15/e35/44762781_204250917136645_7939089167641854332_n.jpg,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/2c445b83b65115e261415d7f5bd85ab4/5C724FB5/t51.2885-15/e35/42329336_352927605445974_5223627320073404164_n.jpg,1934,1934,"Em outubro o #CCBBRJ celebra 29 anos compartilhando cultura! 🎉 Será um mês especial, com uma programação repleta de novidades! 😍👑🎨 Confira a programação no site.
 #Ccbb29anos
 #CompartilheCultura",35,1882915727927602278,false,"{""street_address"": ""Rua Primeiro de Mar\u00e7o, 66 - Centro"", ""zip_code"": ""20010-000"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,7366863,CCBB Rio de Janeiro,ccbb-rio-de-janeiro,39944545,BohdeDhHuxm,Ccbb29anos,CCBBRJ,CompartilheCultura,,,,,,,,,,,,,,,,,,,,,,,1538681067,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/80174d64b813e6ad2aaca9dc98a08430/5C7B5EF7/t51.2885-15/e35/s150x150/42329336_352927605445974_5223627320073404164_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/fc41768ae8fdf02efdd779899a7939a4/5CAE30BD/t51.2885-15/e35/s240x240/42329336_352927605445974_5223627320073404164_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/ed648147a9af8f0ef2db06e20c5a065c/5C800C07/t51.2885-15/e35/s320x320/42329336_352927605445974_5223627320073404164_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/139c4d254313e1d0ea4bcb9df082a0a9/5C6CCB5D/t51.2885-15/e35/s480x480/42329336_352927605445974_5223627320073404164_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d71ef140930b2770e9a421ab812e0cb7/5C729350/t51.2885-15/sh0.08/e35/s640x640/42329336_352927605445974_5223627320073404164_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d71ef140930b2770e9a421ab812e0cb7/5C729350/t51.2885-15/sh0.08/e35/s640x640/42329336_352927605445974_5223627320073404164_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2c445b83b65115e261415d7f5bd85ab4/5C724FB5/t51.2885-15/e35/42329336_352927605445974_5223627320073404164_n.jpg,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/c8557e469f339fa403dfe665eff98b8c/5CB1856F/t51.2885-15/e35/44749853_1965840687051490_6767524629515454151_n.jpg,187,187,"🖌️⏳🖼️....
.
.
.
#picture #photography #ccbbrj #athosbulcão#instaboy #nofilter #rj #saturday #sábado",7,1914912649167044883,false,"{""street_address"": ""Rua Primeiro de Mar\u00e7o, 66 - Centro"", ""zip_code"": ""20010-000"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,7366863,CCBB Rio de Janeiro,ccbb-rio-de-janeiro,3418751200,BqTIuilgQET,picture,athosbulcão,instaboy,photography,sábado,nofilter,ccbbrj,saturday,rj,,,,,,,,,,,,,,,,,1542495398,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/fa04cf3656a0d8e09450af4a92b70976/5C6D8B60/t51.2885-15/e35/c0.135.1080.1080/s150x150/44749853_1965840687051490_6767524629515454151_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/71f596938c2d66e53bd3dbdeb639d2bf/5CB0B166/t51.2885-15/e35/c0.135.1080.1080/s240x240/44749853_1965840687051490_6767524629515454151_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/12b651a4dfead849dbe412d3fbedd6d6/5C806018/t51.2885-15/e35/c0.135.1080.1080/s320x320/44749853_1965840687051490_6767524629515454151_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/4b9aa73eb9011ee73cb3ed70db87aa62/5C834C5F/t51.2885-15/e35/c0.135.1080.1080/s480x480/44749853_1965840687051490_6767524629515454151_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/51807706a094aabb85953e7642d7d9ba/5C6E39F7/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44749853_1965840687051490_6767524629515454151_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/51807706a094aabb85953e7642d7d9ba/5C6E39F7/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44749853_1965840687051490_6767524629515454151_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c8557e469f339fa403dfe665eff98b8c/5CB1856F/t51.2885-15/e35/44749853_1965840687051490_6767524629515454151_n.jpg,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/bf4a525169535b2c487bae06b3c3a4bd/5C7C5785/t51.2885-15/e35/43985703_262144527834233_231709019862164107_n.jpg,33,33,"feliz me arrepiando de minuto em minuto vendo as obras do meu artista favorito.
#Basquiat #ccbbrj",2,1916109498855315438,false,"{""street_address"": ""Rua Primeiro de Mar\u00e7o, 66 - Centro"", ""zip_code"": ""20010-000"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,7366863,CCBB Rio de Janeiro,ccbb-rio-de-janeiro,1010956934,BqXY2_uBdfu,ccbbrj,Basquiat,,,,,,,,,,,,,,,,,,,,,,,,1542638073,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/b17212545eb1a5173f8dd12d2b279549/5C8E2932/t51.2885-15/e35/c0.97.780.780a/s150x150/43985703_262144527834233_231709019862164107_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/6527df689411dfc6bb27ba22629c7ca7/5C6A0487/t51.2885-15/e35/c0.97.780.780a/s240x240/43985703_262144527834233_231709019862164107_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/9378055ac4bd72fa0c307fda1e5a7532/5C846E3F/t51.2885-15/e35/c0.97.780.780a/s320x320/43985703_262144527834233_231709019862164107_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/806241fe327c724e4fa1f20b74890aea/5C771763/t51.2885-15/e35/c0.97.780.780a/s480x480/43985703_262144527834233_231709019862164107_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d3740f5cc1a6f8ef46fee7fe0dec15ef/5C71A584/t51.2885-15/sh0.08/e35/c0.97.780.780a/s640x640/43985703_262144527834233_231709019862164107_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d3740f5cc1a6f8ef46fee7fe0dec15ef/5C71A584/t51.2885-15/sh0.08/e35/c0.97.780.780a/s640x640/43985703_262144527834233_231709019862164107_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/bf4a525169535b2c487bae06b3c3a4bd/5C7C5785/t51.2885-15/e35/43985703_262144527834233_231709019862164107_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/73d0a925f5656e45f752a584fb2727f1/5C901AD8/t51.2885-15/e35/44479985_512334219285359_2316845968263575665_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e064d6f6b1ceb6ebf196a15636978b50/5C8C17CA/t51.2885-15/e35/46078278_204821650422931_1238917373734925272_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2ea3460ff1601e4efbb9cf6f20212ba5/5C8D0F7B/t51.2885-15/e35/46384292_1037968276376807_6499824126363114584_n.jpg,,,,,,,,,,,,,,
805,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/108647cf21d857ea9ec4967191d5ee27/5C77AC0F/t51.2885-15/e35/44479981_573261429768601_2056106923212063879_n.jpg,2133,2133,"A arte de Basquiat transborda as telas do quadro! 👑💛
Se liga nesse casaco do @luisocamargo

#CCBBRJ #CCBB #BasquiatNoCCBB 
#urbanarts",37,1908959825519650017,false,"{""street_address"": ""Rua Primeiro de Mar\u00e7o, 66 - Centro"", ""zip_code"": ""20010-000"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,7366863,CCBB Rio de Janeiro,ccbb-rio-de-janeiro,39944545,Bp9_NjilyTh,CCBB,BasquiatNoCCBB,CCBBRJ,urbanarts,,,,,,,,,,,,,,,,,,,,,,1541785766,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e3d60e5add003530380efe9cf1571e63/5C8DB8BD/t51.2885-15/e35/c136.0.800.800a/s150x150/44479981_573261429768601_2056106923212063879_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/2bc9d82eca34dca8c4eb1e811f1e9a78/5C7C82F7/t51.2885-15/e35/c136.0.800.800a/s240x240/44479981_573261429768601_2056106923212063879_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/a92c26a80a7e554247dc25e4c2fb844e/5C748F4D/t51.2885-15/e35/c136.0.800.800a/s320x320/44479981_573261429768601_2056106923212063879_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/57c88fbb393e0d6b4b7628b5a6f54acb/5C817217/t51.2885-15/e35/c136.0.800.800a/s480x480/44479981_573261429768601_2056106923212063879_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/eb96950cfc3d03ccec4cb32083408d6b/5C83CBD5/t51.2885-15/sh0.08/e35/c136.0.800.800a/s640x640/44479981_573261429768601_2056106923212063879_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/eb96950cfc3d03ccec4cb32083408d6b/5C83CBD5/t51.2885-15/sh0.08/e35/c136.0.800.800a/s640x640/44479981_573261429768601_2056106923212063879_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/108647cf21d857ea9ec4967191d5ee27/5C77AC0F/t51.2885-15/e35/44479981_573261429768601_2056106923212063879_n.jpg,,,,,,,,,,,,,,,,,
1075,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/8851644ab617a0d22036d6152cdde423/5C7F1939/t51.2885-15/e35/44490242_755574618168533_4679177831311849253_n.jpg,2,2,"Ai que saudade... nossa senhora!

@released.in.89 
#pichu #love #friendship #asociedadedoanel #amorlivre #amizade #companhiaclassea #coisafina #ccbbrj",1,1916317026760955586,false,,,,,,1418488565,BqYIC7JHpbC,pichu,love,amizade,asociedadedoanel,coisafina,amorlivre,companhiaclassea,friendship,ccbbrj,,,,,,,,,,,,,,,,,1542662813,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/ca137a65347ea5cc81cd07571f0df63e/5C74A619/t51.2885-15/e35/c1.0.774.774/s150x150/44490242_755574618168533_4679177831311849253_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/ad2d2642b176d8a1a4a395f5bf5eab4e/5C78CD53/t51.2885-15/e35/c1.0.774.774/s240x240/44490242_755574618168533_4679177831311849253_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/0b9a155d891c02b3e8e5d362e7ce7a53/5C8BB3E9/t51.2885-15/e35/c1.0.774.774/s320x320/44490242_755574618168533_4679177831311849253_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/73b864f0887280e285c9498e062efc1a/5C7CD6B3/t51.2885-15/e35/c1.0.774.774/s480x480/44490242_755574618168533_4679177831311849253_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/5cd0a524473486002d6b6a9fa7d5e76c/5C7ACC47/t51.2885-15/sh0.08/e35/c1.0.774.774/s640x640/44490242_755574618168533_4679177831311849253_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/5cd0a524473486002d6b6a9fa7d5e76c/5C7ACC47/t51.2885-15/sh0.08/e35/c1.0.774.774/s640x640/44490242_755574618168533_4679177831311849253_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8851644ab617a0d22036d6152cdde423/5C7F1939/t51.2885-15/e35/44490242_755574618168533_4679177831311849253_n.jpg,,,,,false,,,,,,,,,,,,
