dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,urls/1,tags/0,urls/2,location,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,comments_disabled,urls/3,urls/4,urls/5,tags/23,tags/24,tags/25,tags/26,urls/6,urls/7,tags/27,tags/28,tags/29,urls/8,urls/9
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/7566938167ff652037ed9cf07f6199b8/5C7EAE87/t51.2885-15/e35/44489558_2063629813683914_2403447802140953987_n.jpg,37,37,50 anos de realismo 🗿,2,1916021104737104434,false,"{""street_address"": ""Rua \u00c1lvares Penteado, 112"", ""zip_code"": ""01012-000"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,213164595,CCBB São Paulo,ccbb-sao-paulo,188317355,BqXEwsSAbIy,1542627536,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e552f2ee529caa39a3c6f9dfbcf06976/5C753AB8/t51.2885-15/e35/s150x150/44489558_2063629813683914_2403447802140953987_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/a958f97594a3b0e7bc534f98315b6cf5/5C708DBE/t51.2885-15/e35/s240x240/44489558_2063629813683914_2403447802140953987_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/fd902068ad8a55bb3dd1f08a508d09e0/5C7219C0/t51.2885-15/e35/s320x320/44489558_2063629813683914_2403447802140953987_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/46f208c2c1ad087cfeec498f49e20ed2/5C6B8987/t51.2885-15/e35/s480x480/44489558_2063629813683914_2403447802140953987_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/cc548a155e2087e422eb987d435f6309/5C7E1D3D/t51.2885-15/sh0.08/e35/s640x640/44489558_2063629813683914_2403447802140953987_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/cc548a155e2087e422eb987d435f6309/5C7E1D3D/t51.2885-15/sh0.08/e35/s640x640/44489558_2063629813683914_2403447802140953987_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7566938167ff652037ed9cf07f6199b8/5C7EAE87/t51.2885-15/e35/44489558_2063629813683914_2403447802140953987_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2fb362d74ad235fe6b6f2f17a59c519f/5CACB2E2/t51.2885-15/e35/44858416_508621736303035_6424362540623616160_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/123949761a49a0d12ada6aa1e599cd67/5C8C2A5A/t51.2885-15/e35/44692918_313850889344588_7346297872150108448_n.jpg,199,199,"Ú lá lá! 
Maravilhoso né?!?! 😍
.
.
⭐ ONDE:
@ccbbsp 
R Álvares Penteado, 112 - Centro
.
.
⭐ COMO CHEGAR:
-De Carro
Há um estacionamento conveniado pago que tem um transfer até o ccbb
Mas...pelo site, eles informam q o transfer começa às 14:00 até as 18:00, a Hanna não fez uso do mesmo, então, não posso indicar ou dizer se realmente funciona!
-De Metrô
Super RECOMENDO!
É só descer na Estação São Bento e ir andando. É pertinho e tranqüilo!
✌🏼 DICA DA HANNA:
Se possível, evite o período da noite em qualquer dia da semana
.
.
⭐ O QUE FAZER:
- Aproveite a EXPOSIÇÃO REALISMO.
São 4 andares e um subsolo, com quadros e estátuas taum reais, que chega a assustar!😲 Vale super a pena!
- Tem um coffeeshop bem charmosim para tomar um cafézim tbm!
.
.
⭐ VALOR:
Gratuito! Aproveite!! 😍✌🏼
.
.
É lindo o CCBB né?!
A Hanna amou tbm! 
Fica a #dikadahanna 😉✌🏼",36,1915637294305846582,false,"{""street_address"": ""Rua \u00c1lvares Penteado, 112"", ""zip_code"": ""01012-000"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,213164595,CCBB São Paulo,ccbb-sao-paulo,6200990312,BqVtfg9lyU2,1542581782,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e3846d2586218d82ac9ec1f7c4d257df/5CAE8302/t51.2885-15/e35/c0.135.1080.1080/s150x150/44692918_313850889344588_7346297872150108448_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/bbbcfb25ec55604d9f1f9d7db6195312/5C6F8C48/t51.2885-15/e35/c0.135.1080.1080/s240x240/44692918_313850889344588_7346297872150108448_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/90b858c47582d7a9dc43e0c9cadb7d33/5C7D76F2/t51.2885-15/e35/c0.135.1080.1080/s320x320/44692918_313850889344588_7346297872150108448_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/8fe798ce6c221e610d0715eab962b253/5C8B78A8/t51.2885-15/e35/c0.135.1080.1080/s480x480/44692918_313850889344588_7346297872150108448_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/5eff265f9e93593c6a356bbda8464c75/5C7C0C19/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44692918_313850889344588_7346297872150108448_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/5eff265f9e93593c6a356bbda8464c75/5C7C0C19/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44692918_313850889344588_7346297872150108448_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/123949761a49a0d12ada6aa1e599cd67/5C8C2A5A/t51.2885-15/e35/44692918_313850889344588_7346297872150108448_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6b6d9ffdb08b038cf5a190b4ff1ad2a0/5C8CB841/t51.2885-15/e35/43914558_516322215502025_9121216502250829526_n.jpg,dikadahanna,https://instagram.fplu4-1.fna.fbcdn.net/vp/f8181ac3d9c1c3c20abda7a39c0003ae/5C70C516/t51.2885-15/e35/43392655_614143315668442_5123797192370584529_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/9738da74b567e08c68f7e05795c55e55/5C75DF33/t51.2885-15/e35/45339607_204186340475748_7444372380710862848_n.jpg,763,763,"☕ | Os fãs de doce adoram a cafeteria do #CCBBSP! A família Velvet está representada pelos deliciosos Red, Yellow, Black e Green Velvet. Venha provar!

#bolos #sobremesa #cafeteria #chocolate",40,1914048013304006810,false,,,,,,290711045,BqQEIbsBwia,1542392325,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/652e09023e3d908ab1ea6d7552433da4/5C81D571/t51.2885-15/e35/s150x150/45339607_204186340475748_7444372380710862848_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/74caabc4cecbc73a9c72e39b7c1c4621/5C90BB3B/t51.2885-15/e35/s240x240/45339607_204186340475748_7444372380710862848_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/cba200cee7a328322b31c4f67bfea5c9/5C776081/t51.2885-15/e35/s320x320/45339607_204186340475748_7444372380710862848_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/d24e9b5d5d180279e975924b4e0543e2/5C7628DB/t51.2885-15/e35/s480x480/45339607_204186340475748_7444372380710862848_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d55008e0e79ebfe9c08ad9e2cf3df1c7/5C79F6D6/t51.2885-15/sh0.08/e35/s640x640/45339607_204186340475748_7444372380710862848_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d55008e0e79ebfe9c08ad9e2cf3df1c7/5C79F6D6/t51.2885-15/sh0.08/e35/s640x640/45339607_204186340475748_7444372380710862848_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/9738da74b567e08c68f7e05795c55e55/5C75DF33/t51.2885-15/e35/45339607_204186340475748_7444372380710862848_n.jpg,,bolos,,,sobremesa,cafeteria,CCBBSP,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/9f3fb4a9385320c84d2b6c60640051b2/5C705F64/t51.2885-15/e35/44580371_1876617675720888_2758336067458301952_n.jpg,924,924,"🖼 | Que tal um passeio na Avenida Paulista? Aproveite e visite a obra “Paraíso Perdido Não Orientável 1667”, do artista ganês Ibrahim Mahama, que foi um sucesso na exposição “Ex Africa” no #CCBBSP. A instalação está exposta no Edifício @bancodobrasil na Avenida Paulista, 1230.

#avenidapaulista #culturasp #africa #africanart

#Repost @shoppingcidadesp (@get_repost)
・・・
Planos para curtir o feriado? Que tal aproveitar um passeio na Av. Paulista com almoço no Cidade São Paulo?
Confira o horário de funcionamento:
.
Lojas: das 14h às 20h.
.
Praça de Alimentação: das 11h às 22h.
.
Restaurantes: das 11h às 23h.
.
#ShoppingCidadeSP #Feriado",4,1915711764298068300,false,,,,,,290711045,BqV-bMjBfFM,1542590660,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/00afcb9a1993b7a630ac7c4c521974ce/5C70C45B/t51.2885-15/e35/s150x150/44580371_1876617675720888_2758336067458301952_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c745434ce7f07565d10c8e84595730c9/5C6CAE5D/t51.2885-15/e35/s240x240/44580371_1876617675720888_2758336067458301952_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/998d045cba8c29088dd442921764be49/5C812323/t51.2885-15/e35/s320x320/44580371_1876617675720888_2758336067458301952_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/34d55911df5b2c8dc7ff6c932f9f077c/5CAF0B64/t51.2885-15/e35/s480x480/44580371_1876617675720888_2758336067458301952_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/61cecb83b45b303f8fecfe71f4bfacd6/5C7252DE/t51.2885-15/sh0.08/e35/s640x640/44580371_1876617675720888_2758336067458301952_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/61cecb83b45b303f8fecfe71f4bfacd6/5C7252DE/t51.2885-15/sh0.08/e35/s640x640/44580371_1876617675720888_2758336067458301952_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/9f3fb4a9385320c84d2b6c60640051b2/5C705F64/t51.2885-15/e35/44580371_1876617675720888_2758336067458301952_n.jpg,,CCBBSP,,,Feriado,africa,culturasp,ShoppingCidadeSP,avenidapaulista,africanart,Repost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/ccff74b059fca3fac2347309c92868a9/5C90375B/t51.2885-15/e35/44406955_483059228869585_3487605743199191040_n.jpg,2915,2915,"🖼 | A montagem de ""50 anos de realismo - do fotorrealismo à realidade virtual"" entrou na reta final! Quem está curioso para ver a exposição? A partir de 07/11!

Confira mais fotos de bastidores nos stories do #CCBBSP.

#realismo #hiperrealismo #art #artexhibition #culturasp",230,1903911076439744158,false,,,,,,290711045,BpsDQljH16e,1541183908,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/11d216d5bc77d898fba258e39ef86e3e/5CAE6719/t51.2885-15/e35/s150x150/44406955_483059228869585_3487605743199191040_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/7608ec29d712905319bd4c1b26a51667/5C831A53/t51.2885-15/e35/s240x240/44406955_483059228869585_3487605743199191040_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/220427d2e364e1bb696509f8333d4b5b/5C7535E9/t51.2885-15/e35/s320x320/44406955_483059228869585_3487605743199191040_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/a5d05933bd560dc78151a41daa6e72ee/5CAE6EB3/t51.2885-15/e35/s480x480/44406955_483059228869585_3487605743199191040_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/6825eb414e216278bcccab6977419c51/5C8EA4BE/t51.2885-15/sh0.08/e35/s640x640/44406955_483059228869585_3487605743199191040_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6825eb414e216278bcccab6977419c51/5C8EA4BE/t51.2885-15/sh0.08/e35/s640x640/44406955_483059228869585_3487605743199191040_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ccff74b059fca3fac2347309c92868a9/5C90375B/t51.2885-15/e35/44406955_483059228869585_3487605743199191040_n.jpg,,art,,,CCBBSP,realismo,hiperrealismo,culturasp,artexhibition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/c7fa644245075bc1c3278fca593e728b/5C83A260/t51.2885-15/e35/45495996_359347221280605_273959241150597888_n.jpg,74,74,"A gente entra na dança 😂
.
.
.
#hiperrealismo #ccbbsp #visitemuseus #artexhibition #artecontemporanea",5,1916121792980866226,false,,,,,,953978612,BqXbp5hAlSy,1542639539,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/341f56c9d900a1088ff713a0cf3fcc8f/5C6A87D2/t51.2885-15/e35/c0.135.1080.1080/s150x150/45495996_359347221280605_273959241150597888_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f587910f7a0dce2ecf0bfddee0fc28ba/5C753667/t51.2885-15/e35/c0.135.1080.1080/s240x240/45495996_359347221280605_273959241150597888_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/955111da232f6b7f2cef73ad51f0bebe/5C8E90DF/t51.2885-15/e35/c0.135.1080.1080/s320x320/45495996_359347221280605_273959241150597888_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/79c565c4abb776752d36b82b3ebecbbc/5CAE3A83/t51.2885-15/e35/c0.135.1080.1080/s480x480/45495996_359347221280605_273959241150597888_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/ee2e8c0f365909d53d359f51ad728c35/5C7B3D45/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/45495996_359347221280605_273959241150597888_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ee2e8c0f365909d53d359f51ad728c35/5C7B3D45/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/45495996_359347221280605_273959241150597888_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c7fa644245075bc1c3278fca593e728b/5C83A260/t51.2885-15/e35/45495996_359347221280605_273959241150597888_n.jpg,,artecontemporanea,,,hiperrealismo,visitemuseus,ccbbsp,artexhibition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/3bace8084ea08e7f64d685994cc5924d/5C8C5DA1/t51.2885-15/e35/44302266_2093460887651156_4622338775420238695_n.jpg,52,52,#fotorrealismo #sampa #ccbbsp #picoftheday,1,1916279908981806966,false,"{""street_address"": ""Rua \u00c1lvares Penteado, 112"", ""zip_code"": ""01012-000"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,213164595,CCBB São Paulo,ccbb-sao-paulo,52591407,BqX_myhFBd2,1542658388,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/ad14db1ee003e9203ed4c9b9edd7995c/5C69D79E/t51.2885-15/e35/s150x150/44302266_2093460887651156_4622338775420238695_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/a88bc96df179454cd2e26f6e32667544/5C8B5198/t51.2885-15/e35/s240x240/44302266_2093460887651156_4622338775420238695_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/b258c48750a887ceee4e8a711db912a7/5C8D08E6/t51.2885-15/e35/s320x320/44302266_2093460887651156_4622338775420238695_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/67b3ca1d512e77246963faaca4d24022/5C6E8FA1/t51.2885-15/e35/s480x480/44302266_2093460887651156_4622338775420238695_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/abf91af4dfc373dc0d2fef15b26731af/5C7C6F1B/t51.2885-15/sh0.08/e35/s640x640/44302266_2093460887651156_4622338775420238695_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/abf91af4dfc373dc0d2fef15b26731af/5C7C6F1B/t51.2885-15/sh0.08/e35/s640x640/44302266_2093460887651156_4622338775420238695_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/3bace8084ea08e7f64d685994cc5924d/5C8C5DA1/t51.2885-15/e35/44302266_2093460887651156_4622338775420238695_n.jpg,,fotorrealismo,,,picoftheday,ccbbsp,sampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/d61d5750ec998e96ba64b1015155e973/5C71F599/t51.2885-15/e35/37650462_1784133278344497_8462901674271309824_n.jpg,239,239,100 ANOS ATHOS BULCÃO  #ccbbsp,15,1838747687911069355,false,"{""street_address"": ""Rua \u00c1lvares Penteado, 112"", ""zip_code"": ""01012-000"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,213164595,CCBB São Paulo,ccbb-sao-paulo,29242729,BmEi0exgpar,1533415827,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e6654124ca1815061c7dfb0c4bc9a642/5C8CFDA6/t51.2885-15/e35/s150x150/37650462_1784133278344497_8462901674271309824_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/ea8a00686fd4339080f82dc7b372e4d1/5C81A8A0/t51.2885-15/e35/s240x240/37650462_1784133278344497_8462901674271309824_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/bd42b5ba126ca8576cacd6e9c7fbafbc/5CB0EADE/t51.2885-15/e35/s320x320/37650462_1784133278344497_8462901674271309824_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/778625a74b48fd0f43ec7837f88db9f2/5C8F5899/t51.2885-15/e35/s480x480/37650462_1784133278344497_8462901674271309824_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/c830ad94243be18f0489918506fe2d11/5C6C7223/t51.2885-15/sh0.08/e35/s640x640/37650462_1784133278344497_8462901674271309824_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c830ad94243be18f0489918506fe2d11/5C6C7223/t51.2885-15/sh0.08/e35/s640x640/37650462_1784133278344497_8462901674271309824_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d61d5750ec998e96ba64b1015155e973/5C71F599/t51.2885-15/e35/37650462_1784133278344497_8462901674271309824_n.jpg,,ccbbsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/ca475861a3b97fa6e249dd8eb07875b0/5C806635/t51.2885-15/e35/44922585_591870211230636_6489727361300896572_n.jpg,196,196,"#ExAfrica #NaPaulista
.
A exposição de Ibrahim Mahama que ficou famosa pela obra ""Paraíso Perdido Não Orientável"" retornou ao Centro Cultural Banco do Brasil (CCBB) e está de portas abertas no edifício do Banco do Brasil, e melhor: com entrada franca! 🤑
.
@ccbbsp @bancodobrasil 📌Avenida Paulista, 1230
🗓Até 16 de dezembro
💵Gratuito
.
📸@shanaemanuelle
. . 
#CCBB #CCBBSP #Africa #Paraiso #Arte #ArteContemporanea #Exposicao #ig_sp #SP #splovers #paulista #centrocultural #bancodobrasil #artlover #vemver #avenidapaulista #ilovesp #spcity #refugees #imigration #exafricaccbb",0,1916240670655546876,false,,,,,,1175518115,BqX2ry-lIX8,1542653710,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/85bac80949bea32b5c4de7f6d59c620e/5C7CBD77/t51.2885-15/e35/s150x150/44922585_591870211230636_6489727361300896572_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c9356db62d14642c197daf03c15dc1bb/5CACD13D/t51.2885-15/e35/s240x240/44922585_591870211230636_6489727361300896572_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/b243d1cd7b2191f74246fc5f3f74fde6/5C8BB687/t51.2885-15/e35/s320x320/44922585_591870211230636_6489727361300896572_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/4dff88ee14028b04b2f47e1a27182e2c/5C846FDD/t51.2885-15/e35/s480x480/44922585_591870211230636_6489727361300896572_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/69742e5838eb1fec4436f812ada7268a/5C6E76D0/t51.2885-15/sh0.08/e35/s640x640/44922585_591870211230636_6489727361300896572_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/69742e5838eb1fec4436f812ada7268a/5C6E76D0/t51.2885-15/sh0.08/e35/s640x640/44922585_591870211230636_6489727361300896572_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ca475861a3b97fa6e249dd8eb07875b0/5C806635/t51.2885-15/e35/44922585_591870211230636_6489727361300896572_n.jpg,,SP,,,bancodobrasil,NaPaulista,CCBB,Arte,artlover,Exposicao,centrocultural,imigration,Paraiso,splovers,spcity,ig_sp,ExAfrica,vemver,exafricaccbb,avenidapaulista,CCBBSP,ArteContemporanea,Africa,paulista,ilovesp,refugees,,,,,,,,,,,,,,,
480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/9ee7f6769a7f5386331ced244575dc26/5C7E88EF/t51.2885-15/e35/43118913_165090557789627_4065244404446977953_n.jpg,6,6,"#ccbbsp - a segunda foi chuvosa, mas houve passeio.",0,1916305888568520948,false,,,,,,4298239408,BqYFg15HbD0,1542661485,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/dfbf27cf26fce0e8a0adea4439471bbb/5C6CE8AD/t51.2885-15/e35/s150x150/43118913_165090557789627_4065244404446977953_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f34b7f7fda797effd625172730c0372f/5C7AB9E7/t51.2885-15/e35/s240x240/43118913_165090557789627_4065244404446977953_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/02f29c5ba20ef1897f4a84a37b7bbf61/5C6EAC5D/t51.2885-15/e35/s320x320/43118913_165090557789627_4065244404446977953_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/9ee7f6769a7f5386331ced244575dc26/5C7E88EF/t51.2885-15/e35/43118913_165090557789627_4065244404446977953_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/9ee7f6769a7f5386331ced244575dc26/5C7E88EF/t51.2885-15/e35/43118913_165090557789627_4065244404446977953_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/9ee7f6769a7f5386331ced244575dc26/5C7E88EF/t51.2885-15/e35/43118913_165090557789627_4065244404446977953_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/9ee7f6769a7f5386331ced244575dc26/5C7E88EF/t51.2885-15/e35/43118913_165090557789627_4065244404446977953_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/55c78a0b842276b9f27e23b4adf2d39d/5C781164/t51.2885-15/e35/44899819_722184334847421_5000748435163308928_n.jpg,ccbbsp,https://instagram.fplu4-1.fna.fbcdn.net/vp/7dca3687a73f5fcdea4133f34ae94731/5C6B9C92/t51.2885-15/e35/44835972_190401811868577_6973144566000558242_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,false,https://instagram.fplu4-1.fna.fbcdn.net/vp/30ac695a41683208dbce7ee93376a2cc/5C7C6732/t51.2885-15/e35/44770308_116353222644767_4241547050575575339_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/4b0492a9d4f0ccdb9d84d994cf080945/5C8C747C/t51.2885-15/e35/43914548_530995937402493_7372292044689565291_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/83acba7e2097536bb157e7fa7fdb75d8/5CAFB531/t51.2885-15/e35/46536442_786346178373266_1240080432788093791_n.jpg,,,,,,,,,,,
