dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location,owner/id,shortcode,tags/0,tags/1,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,location/address_json,location/has_public_page,location/id,location/name,location/slug,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,video_view_count,comments_disabled,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,tags/28,tags/29,urls/1,urls/2,urls/3,urls/4,urls/5,urls/6
1205,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/1f562e0156876605fe6dfe19af96a88f/5C759A18/t51.2885-15/e35/45329240_309399776547315_4801094915649302285_n.jpg,505,505,"Tem como não ser fã do messi ? 🤷🏻‍♂️🌟
.
Marque aí seus amigos fã desse craque!
.
#messi #barcelona",22,1915464340259340525,false,,7762493364,BqVGKs9FgDt,messi,barcelona,1542561164,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/a6f06373fe92f33f23a681f9ec783424/5C6CCEC4/t51.2885-15/e35/c0.48.837.837/s150x150/45329240_309399776547315_4801094915649302285_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/75f765868d77baa8232905910b41512a/5C82478E/t51.2885-15/e35/c0.48.837.837/s240x240/45329240_309399776547315_4801094915649302285_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/6cfbba2b1c659a0ce312d5b03819f79d/5C6FAE34/t51.2885-15/e35/c0.48.837.837/s320x320/45329240_309399776547315_4801094915649302285_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/959855b0bbdf63d5655c9196b7cf84f6/5C8CA96E/t51.2885-15/e35/c0.48.837.837/s480x480/45329240_309399776547315_4801094915649302285_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/5561ee57033030f18818f7ad0e10f319/5CB21F8D/t51.2885-15/sh0.08/e35/c0.48.837.837/s640x640/45329240_309399776547315_4801094915649302285_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/5561ee57033030f18818f7ad0e10f319/5CB21F8D/t51.2885-15/sh0.08/e35/c0.48.837.837/s640x640/45329240_309399776547315_4801094915649302285_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1f562e0156876605fe6dfe19af96a88f/5C759A18/t51.2885-15/e35/45329240_309399776547315_4801094915649302285_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/4225d5f8b6a450e9fb1313570df50488/5C8DB8F5/t51.2885-15/e35/44685967_275672136629864_4643636944505987012_n.jpg,1811,2000,"FIM DE ANO NA PRAIA! ☀️🍹SEGUNDA, de 9h às 19h! ⚜️WhatsApp 61 98255 2191 e 61 98224 2134
⚜️61 3222 1724 Asa Sul - CLS 304 Bl C Loja 22 ⚜️61 3563 4161 Ao lado do Taguatinga Shopping, Feibox, Entrada E. 
#espacogold #modabrasilia #looktendencia #brasiliadf #tendência #lookverao #fimdeano #reveillon2019 #virada #lookfimdeano #macaquinho  #nossapraia #nossapraiabsb #lookdavirada #cruzeiro #modafeminina #modabrasilia #fashion #brasilia #lookreveillon2019 #resortlook",23,1915509371689995734,false,,1098847244,BqVQZ_vg43W,macaquinho,tendência,1542566533,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/a6f841f66aaab6453d353e5a7aa860b6/5CAD59EB/t51.2885-15/e35/c0.115.926.926/s150x150/44685967_275672136629864_4643636944505987012_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/cb8ed84729b3c248f0baf23c7aa8a1ca/5C753FA1/t51.2885-15/e35/c0.115.926.926/s240x240/44685967_275672136629864_4643636944505987012_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/f6ac97d532e639809d9fea5bf82c59b8/5C84021B/t51.2885-15/e35/c0.115.926.926/s320x320/44685967_275672136629864_4643636944505987012_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/cadc1b50227de2edb0ba7e0e7a2509f6/5C6BE741/t51.2885-15/e35/c0.115.926.926/s480x480/44685967_275672136629864_4643636944505987012_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/aff6d60cd9319e6cec4280b7545d0fbf/5C843CE1/t51.2885-15/sh0.08/e35/c0.115.926.926/s640x640/44685967_275672136629864_4643636944505987012_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/aff6d60cd9319e6cec4280b7545d0fbf/5C843CE1/t51.2885-15/sh0.08/e35/c0.115.926.926/s640x640/44685967_275672136629864_4643636944505987012_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/4225d5f8b6a450e9fb1313570df50488/5C8DB8F5/t51.2885-15/e35/44685967_275672136629864_4643636944505987012_n.jpg,"{""street_address"": """", ""zip_code"": """", ""city_name"": """", ""region_name"": """", ""country_code"": """", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,463875359,Asa Sul-Brasília,asa-sul-brasilia,reveillon2019,lookreveillon2019,fashion,espacogold,modabrasilia,looktendencia,nossapraia,lookfimdeano,cruzeiro,virada,lookdavirada,brasiliadf,resortlook,lookverao,fimdeano,modafeminina,brasilia,nossapraiabsb,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/af4f9cfc91438f2c49cc681fdbd919ca/5C77F72E/t51.2885-15/e35/44886799_1421445364677689_3169575464855914485_n.jpg,2152,2152,"O Symphony of the Seas, também conhecido como o maior navio de cruzeiros do mundo é perfeito para todos os tipos de viajantes. Conta com atrações para os mais aventureiros e para quem quer relaxar. Venha conhecer! #Symphonyoftheseas #cruzeiro #cruise",44,1915518879153959860,false,,615982048,BqVSkWQhrO0,Symphonyoftheseas,cruzeiro,1542567666,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/1a99064d534cfbc05f574a9fed0e3179/5C8F2111/t51.2885-15/e35/s150x150/44886799_1421445364677689_3169575464855914485_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/2e2967b7a3d6ad1cddec2bca796e7d6b/5C708E17/t51.2885-15/e35/s240x240/44886799_1421445364677689_3169575464855914485_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/1b57dc044b5e34f10cb0f45daed5596a/5C6B5C69/t51.2885-15/e35/s320x320/44886799_1421445364677689_3169575464855914485_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/c87c3348876e64321471ab66951db1e9/5C756A2E/t51.2885-15/e35/s480x480/44886799_1421445364677689_3169575464855914485_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/4eb8f5008ac4655bf7e987faf4c9b000/5C7C9594/t51.2885-15/sh0.08/e35/s640x640/44886799_1421445364677689_3169575464855914485_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/4eb8f5008ac4655bf7e987faf4c9b000/5C7C9594/t51.2885-15/sh0.08/e35/s640x640/44886799_1421445364677689_3169575464855914485_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/af4f9cfc91438f2c49cc681fdbd919ca/5C77F72E/t51.2885-15/e35/44886799_1421445364677689_3169575464855914485_n.jpg,,,,,,cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/f81dfb246cc6456c80f53e8e73b3caf4/5CB08447/t51.2885-15/e35/44781093_287875705189719_5617617213103610056_n.jpg,644,644,Eu acredito! #kkk #jacaiu #gremio #palmeiras #cruzeiro #euacredito #vice #vicetoriadabahia #ecvitoria #ecbahia #bahea #bbmp #jacaiu #serieb #segundona #segundadivisao,27,1915360601028656673,false,,5342131471,BqUulGRF34h,ecvitoria,vice,1542548798,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/05d31356653cdfd81d6f4ae6be4d1388/5C7A8F7F/t51.2885-15/e35/c0.21.1080.1080/s150x150/44781093_287875705189719_5617617213103610056_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/3aa130c579592e85f998a0e992e76ee6/5C804035/t51.2885-15/e35/c0.21.1080.1080/s240x240/44781093_287875705189719_5617617213103610056_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/3492097e5b95fccac6f1d750ce67479f/5CAEC68F/t51.2885-15/e35/c0.21.1080.1080/s320x320/44781093_287875705189719_5617617213103610056_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/32e7c91334110b5c3874754ddd7f1aa1/5C7D98D5/t51.2885-15/e35/c0.21.1080.1080/s480x480/44781093_287875705189719_5617617213103610056_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d0dff5d2c7bdd19e449bba92d06ea050/5C80C417/t51.2885-15/sh0.08/e35/c0.21.1080.1080/s640x640/44781093_287875705189719_5617617213103610056_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d0dff5d2c7bdd19e449bba92d06ea050/5C80C417/t51.2885-15/sh0.08/e35/c0.21.1080.1080/s640x640/44781093_287875705189719_5617617213103610056_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/f81dfb246cc6456c80f53e8e73b3caf4/5CB08447/t51.2885-15/e35/44781093_287875705189719_5617617213103610056_n.jpg,,,,,,ecbahia,palmeiras,segundadivisao,segundona,vicetoriadabahia,bahea,gremio,cruzeiro,kkk,bbmp,serieb,euacredito,jacaiu,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/46f22e5d2657d304a1c8e80bdc09c12c/5C6C224D/t51.2885-15/e35/46132180_580725722384925_8605618260239869744_n.jpg,499,499,"Já tentaram me responder segundo a ciência
Já tentaram me responder segundo a religião
Não há consenso. Só que o Cruzeiro não ganha
.
#brasileirao #saopaulo #cruzeiro #diegosouza",3,1915685068846569831,false,,7481810456,BqV4WueHpln,diegosouza,saopaulo,1542587477,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/b96aefc85278040d961bba8d6178767d/5C6C580F/t51.2885-15/e35/s150x150/46132180_580725722384925_8605618260239869744_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/26d2f5d7c33c65d37079dce30a07b4f7/5CADCA45/t51.2885-15/e35/s240x240/46132180_580725722384925_8605618260239869744_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/af1aa61fda079d14984f4c4a3adfcec6/5C6FF8FF/t51.2885-15/e35/s320x320/46132180_580725722384925_8605618260239869744_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/5c165707a91f93da1cd0e5e753cd23a7/5C6C5DA5/t51.2885-15/e35/s480x480/46132180_580725722384925_8605618260239869744_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/9cde33a2bc50d54e2c7d08030871a262/5C8B48A8/t51.2885-15/sh0.08/e35/s640x640/46132180_580725722384925_8605618260239869744_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/9cde33a2bc50d54e2c7d08030871a262/5C8B48A8/t51.2885-15/sh0.08/e35/s640x640/46132180_580725722384925_8605618260239869744_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/46f22e5d2657d304a1c8e80bdc09c12c/5C6C224D/t51.2885-15/e35/46132180_580725722384925_8605618260239869744_n.jpg,"{""street_address"": ""Pra\u00e7a Roberto Gomes, 1"", ""zip_code"": ""01416-001"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,213359912,Estádio do Morumbi,estadio-do-morumbi,cruzeiro,brasileirao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/3ce4b87398941c9692d10496fe5c41a4/5C7C133B/t51.2885-15/e35/46097525_200090627583362_547721899621123717_n.jpg,15058,15058,"Dois grandes ídolos dos seus clubes!
.
.
.
#NossoFutebol #BrasileiraoNoSporTV #Brasileirao2018 #Brasileirao #CampeonatoBrasileiro #SerieA #Cruzeiro #SaoPaulo #Fabio #ThiagoNeves #Fred #Nene #DiegoSousa #Everton #Reinaldo",184,1915458605612571740,false,,398092637,BqVE3QJgJxc,Fabio,BrasileiraoNoSporTV,1542560481,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/dfb96edd9d446cfa2cf1d8985201c88d/5C78A7A9/t51.2885-15/e35/s150x150/46097525_200090627583362_547721899621123717_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/4b8506f9cb8ff58401881bc6ed99e72f/5C8DC31C/t51.2885-15/e35/s240x240/46097525_200090627583362_547721899621123717_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/e4318cc8cb27cc9b4cafedb358867cbe/5CB22DA4/t51.2885-15/e35/s320x320/46097525_200090627583362_547721899621123717_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/905a41e6da7766c6ee94db242a70d185/5CAEF1F8/t51.2885-15/e35/s480x480/46097525_200090627583362_547721899621123717_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/80112359f959cbad67499fa021ba1319/5C7A9548/t51.2885-15/sh0.08/e35/s640x640/46097525_200090627583362_547721899621123717_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/80112359f959cbad67499fa021ba1319/5C7A9548/t51.2885-15/sh0.08/e35/s640x640/46097525_200090627583362_547721899621123717_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/3ce4b87398941c9692d10496fe5c41a4/5C7C133B/t51.2885-15/e35/46097525_200090627583362_547721899621123717_n.jpg,,,,,,DiegoSousa,Reinaldo,CampeonatoBrasileiro,Nene,NossoFutebol,Brasileirao2018,ThiagoNeves,Fred,SaoPaulo,Cruzeiro,Everton,SerieA,Brasileirao,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/4d5e001bdaca9e4e95fc3f3cbd3f0012/5CAC2F85/t51.2885-15/e35/44492831_366879740577506_3842019314223596798_n.jpg,4884,4884,"COMO SIEMPRE... ¡NO SERÁ FÁCIL PARA NINGÚN ARGENTINO!⠀
⠀
#LibertadoresxFOX | Cinco de los seis cupos que otorga el Brasileirao en la CONMEBOL Libertadores ya están confirmados, además de Cruzeiro, que entró como campeón de la Copa de Brasil. ⠀
⠀
#Inter #Gremio #SaoPaulo #Palmeiras #Flamengo #Cruzeiro",167,1915762192886449100,false,,404128151,BqWJ5B1HsPM,Palmeiras,LibertadoresxFOX,1542596671,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/d275bcc3081c59f3b306f56b96d7fa64/5C6A56C7/t51.2885-15/e35/s150x150/44492831_366879740577506_3842019314223596798_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/790b8775ad5730814816d754a3c71d46/5C78418D/t51.2885-15/e35/s240x240/44492831_366879740577506_3842019314223596798_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/4a637fb0066914fdba09d8c3e5ba2e9e/5C711037/t51.2885-15/e35/s320x320/44492831_366879740577506_3842019314223596798_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/f78be61f15f2bc5f6bf0ffc1395883b4/5C7DA26D/t51.2885-15/e35/s480x480/44492831_366879740577506_3842019314223596798_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/798117e584d4cec71b9d1aa006c593d6/5C7D7060/t51.2885-15/sh0.08/e35/s640x640/44492831_366879740577506_3842019314223596798_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/798117e584d4cec71b9d1aa006c593d6/5C7D7060/t51.2885-15/sh0.08/e35/s640x640/44492831_366879740577506_3842019314223596798_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/4d5e001bdaca9e4e95fc3f3cbd3f0012/5CAC2F85/t51.2885-15/e35/44492831_366879740577506_3842019314223596798_n.jpg,,,,,,Gremio,SaoPaulo,Cruzeiro,Flamengo,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/61fc935f081514f90cf46703f7332a42/5BF54F2C/t51.2885-15/e35/44772270_116435339295276_5003231228313543196_n.jpg,14886,14886,"#FINAL
⚊
🏆 BR 2018/ 35ª Rodada | 🏟️ Morumbi
⚊
🔰 SAO 1
🔰 CRU 0
⚽ @diegosouzads87
ASS: Arboleda
⚊
30' do 1°T
📺 @canalpremiere (no copyright intended)
⚊
#SaoPaulo #Cruzeiro #GolsdoBrasileirão",311,1915596877018091538,true,,1961214327,BqVkTXbgtAS,GolsdoBrasileirão,SaoPaulo,1542576982,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/08b1dfc0ceac5ebd64df232f359cf83b/5BF5DFAE/t51.2885-15/e35/s150x150/44772270_116435339295276_5003231228313543196_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c751d7a4a8e8f718dd3e82ff44289fed/5BF56324/t51.2885-15/e35/s240x240/44772270_116435339295276_5003231228313543196_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/dc7e9baf38c62ef194c17e0f25394cb7/5BF5585E/t51.2885-15/e35/s320x320/44772270_116435339295276_5003231228313543196_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/cdd503f14674b4c77f22ed04d66b51bf/5BF55184/t51.2885-15/e35/s480x480/44772270_116435339295276_5003231228313543196_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/8448b6722b4dece98eb0d0dd85c1c7ef/5BF598C9/t51.2885-15/sh0.08/e35/s640x640/44772270_116435339295276_5003231228313543196_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8448b6722b4dece98eb0d0dd85c1c7ef/5BF598C9/t51.2885-15/sh0.08/e35/s640x640/44772270_116435339295276_5003231228313543196_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8b5f065f81a9817a0de6870c571ef2c/5BF5DF97/t50.2886-16/46252973_2068041080174616_8835920454305818097_n.mp4,,,,,,FINAL,Cruzeiro,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/e181a3a3d1b5b1d3700f8f227d550b11/5C80F1DA/t51.2885-15/e35/42379217_732569323782525_8555828232985254999_n.jpg,5142,5142,"Recursos do cara que já fez 100 gols no Brasileirão.
.
Tem promoção no Premiere Play. Se liga na Black Friday que tá rolando e aproveite! https://glo.bo/2S7LKoz
.
.
.
#NossoFutebol #BrasileiraoNoSporTV #CampeonatoBrasileirao2018 #Brasileirao #SerieA #DiegoSouza #DiegoShowza #SaoPaulo #Fluminense #Flamengo #Gremio #AtleticoMG #Vasco #Palmeiras #Cruzeiro #Sport",33,1916167811751925884,false,,398092637,BqXmHj1gth8,CampeonatoBrasileirao2018,BrasileiraoNoSporTV,1542645025,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/13df09b7c1bc0cc9e3d5a4dc7d75728c/5C710998/t51.2885-15/e35/s150x150/42379217_732569323782525_8555828232985254999_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/6f4c55cc89bc2f64131b6472837e7cff/5C70E6D2/t51.2885-15/e35/s240x240/42379217_732569323782525_8555828232985254999_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/1864db8d12d909e292d29e3ab891bbec/5C71F868/t51.2885-15/e35/s320x320/42379217_732569323782525_8555828232985254999_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/cb0d9eb9b31dd22171646832d01bc641/5CAD7E32/t51.2885-15/e35/s480x480/42379217_732569323782525_8555828232985254999_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/0a52b7677f145466dadc7bd9afe89f7b/5C6CC43F/t51.2885-15/sh0.08/e35/s640x640/42379217_732569323782525_8555828232985254999_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/0a52b7677f145466dadc7bd9afe89f7b/5C6CC43F/t51.2885-15/sh0.08/e35/s640x640/42379217_732569323782525_8555828232985254999_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e181a3a3d1b5b1d3700f8f227d550b11/5C80F1DA/t51.2885-15/e35/42379217_732569323782525_8555828232985254999_n.jpg,,,,,,NossoFutebol,Palmeiras,DiegoShowza,Sport,Vasco,DiegoSouza,Gremio,SaoPaulo,Cruzeiro,Fluminense,Flamengo,AtleticoMG,SerieA,Brasileirao,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/287b3d378c47c2faa5af8c75e000339f/5C9118ED/t51.2885-15/e35/44577684_371883793386831_1707931970823150293_n.jpg,1,1,Procede ? #cruzeiro #cruzeirocabuloso #cruzeirosempre #cruzeiroesporteclube #cruzeiroomaiordeminas #fechadocomocruzeiro #issoécruzeiro #palmeiras #palmeirasmilgrau #palmeirasmilgrau #palmeirasnaotemmundial #palmeirasminhavidaévocê #palmeiras💚 #palmeirasminhavidaevoce #porco #corinthians #corinthiansminhahistoria #corinthiansmeuamor #aquiécorinthians #santosfc #santosfutebolclube,0,1916317872314175544,false,,9066950330,BqYIPOoBNA4,porco,santosfutebolclube,1542662913,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/ac2ffb39342e8da679de43f083c102f1/5C757DAF/t51.2885-15/e35/s150x150/44577684_371883793386831_1707931970823150293_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/8106bbdf67842260eeb8266d36ca57c2/5C7182E5/t51.2885-15/e35/s240x240/44577684_371883793386831_1707931970823150293_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/e4605e3762e44c5d17168659e9b8aaac/5C8BB45F/t51.2885-15/e35/s320x320/44577684_371883793386831_1707931970823150293_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/73329a278fc5b79aa10002f71499a7f7/5C6DD005/t51.2885-15/e35/s480x480/44577684_371883793386831_1707931970823150293_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/79327a6b600afcade9a2e6436047f207/5C785408/t51.2885-15/sh0.08/e35/s640x640/44577684_371883793386831_1707931970823150293_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/79327a6b600afcade9a2e6436047f207/5C785408/t51.2885-15/sh0.08/e35/s640x640/44577684_371883793386831_1707931970823150293_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/287b3d378c47c2faa5af8c75e000339f/5C9118ED/t51.2885-15/e35/44577684_371883793386831_1707931970823150293_n.jpg,,,,,,cruzeiroomaiordeminas,issoécruzeiro,palmeirasminhavidaevoce,cruzeiroesporteclube,cruzeirosempre,palmeiras,palmeirasmilgrau,palmeirasminhavidaévocê,aquiécorinthians,corinthiansmeuamor,cruzeiro,cruzeirocabuloso,palmeirasnaotemmundial,corinthians,fechadocomocruzeiro,corinthiansminhahistoria,santosfc,,,false,,,,,,,,,,,,,,,,
