dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location,owner/id,shortcode,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,location/address_json,location/has_public_page,location/id,location/name,location/slug,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,urls/1,urls/2,urls/3,urls/4,urls/5,urls/6,urls/7,urls/8,urls/9,comments_disabled,tags/28,tags/29,video_view_count
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/20e9f4b7cb43504e4bb88589eea371d4/5C71CFC4/t51.2885-15/e35/44748361_200837870807415_8394387641169035587_n.jpg,113,113,"Todo mundo está com a idade de seu coração ♥️ ️ 
Siga @FeriasPerfeita

Quer ganhar R$130 de credito em hospedagem em qualquer lugar do mundo? Link na descrição do meu perfil.

#viajar #ferias #airbnb #paraiso #turismo #gopro #viagem #trip",5,1909752400136402078,false,,8153427654,BqAzbCLFHSe,viajar,paraiso,turismo,airbnb,gopro,ferias,viagem,trip,1541880248,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/51d38da1ec6e175b2d0389ae3dc71bd6/5C72709C/t51.2885-15/e35/c0.135.1080.1080/s150x150/44748361_200837870807415_8394387641169035587_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/354aeef9d0652d7246860f3a3ab6ccb5/5C70AFD6/t51.2885-15/e35/c0.135.1080.1080/s240x240/44748361_200837870807415_8394387641169035587_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/00e17fe15b4a918e2f01efdc9e1f5bcb/5C675A6C/t51.2885-15/e35/c0.135.1080.1080/s320x320/44748361_200837870807415_8394387641169035587_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/91dcea90a24b3423b97de56ae58d053e/5C72F436/t51.2885-15/e35/c0.135.1080.1080/s480x480/44748361_200837870807415_8394387641169035587_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/ccd69261b21d6c1046560779a4f32cf7/5C63D787/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44748361_200837870807415_8394387641169035587_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ccd69261b21d6c1046560779a4f32cf7/5C63D787/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44748361_200837870807415_8394387641169035587_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/20e9f4b7cb43504e4bb88589eea371d4/5C71CFC4/t51.2885-15/e35/44748361_200837870807415_8394387641169035587_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/1a5ce8a9570fef01cc29d282a7355b2d/5C837522/t51.2885-15/e35/44317375_488597531636558_8443766841647239778_n.jpg,4995,4995,"📷 @jleonardo_souza_srs
Conceição dos Ouros localiza-se na Serra da Mantiqueira, às margens do rio Sapucaí-mirim, apresentando relevo marcante com clima ameno e agradável. A proximaidade ao complexo turístico formado pelas cidades de Campos do Jordão-SP, São Bento do Sapucaí-SP e Gonçalves-MG, somada aos encantos naturais próprios do município, garantem a Conceição dos Ouros um forte potencial turístico. Desde 2002, a cidade integra o circuito turístico “Serras Verdes do Sul de Minas”. Atrativos como cachoeiras, picos e escarpas rochosas possibilitam a prática do turismo de aventura, caminhadas, passeios de bike, cavalgadas, enquanto a arquitetura colonial, presente nos casarões centenários erguidos por escravos, retrata a rica história do século 19. Um número significativo de visitantes procura a cidade em épocas isoladas do ano, especialmente em suas tradicionais festas e manifestações culturais como Semana Santa, Festa do Polvilho, Festa da Padroeira e Carnaval.
📍 #conceicaodosouros #suldeminas
Conheça:
👉🏻 @topofbrazil",55,1910315411526694227,false,,4294455741,BqCzb7ZALVT,conceicaodosouros,suldeminas,,,,,,,1541947364,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/595b899ff2ca47760bf590b076a8fe0e/5C88A67A/t51.2885-15/e35/c0.135.1080.1080/s150x150/44317375_488597531636558_8443766841647239778_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c722889bc4acb4d350bc1665ab73cd1c/5C817A30/t51.2885-15/e35/c0.135.1080.1080/s240x240/44317375_488597531636558_8443766841647239778_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/0d2786c5acd6159ec15b202068492f49/5C80188A/t51.2885-15/e35/c0.135.1080.1080/s320x320/44317375_488597531636558_8443766841647239778_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/dda38b5b452f0996ff0d454c6092d605/5C8A9AD0/t51.2885-15/e35/c0.135.1080.1080/s480x480/44317375_488597531636558_8443766841647239778_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/8b76b8890d252baad26c3a4e717dc214/5C748161/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44317375_488597531636558_8443766841647239778_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8b76b8890d252baad26c3a4e717dc214/5C748161/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44317375_488597531636558_8443766841647239778_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1a5ce8a9570fef01cc29d282a7355b2d/5C837522/t51.2885-15/e35/44317375_488597531636558_8443766841647239778_n.jpg,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Concei\u00e7\u00e3o dos Ouros"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,257656700,Conceição dos Ouros,conceicao-dos-ouros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/47f18debecdba7c688000ee8c3260042/5C6D5C67/t51.2885-15/e35/43085348_200491810826310_7595189574437088791_n.jpg,1808,1808,"Não conseguimos tirar os Lençóis Maranhenses do nosso horizonte turístico... ainda mais vendo essa foto muito show da @liviajando. Quem já foi sabe muito bem do que estamos falando e quem não foi ... UAI, tá esperando o que pra conhecer !! 😂🇧🇷🎥🌞😍👙. #revistaqualviagem #qualviagem #Brazil  #viagem #viajar #LencoisMaranhenses #dunas #viajarfazbem #viajarépreciso #viajandosozinha #viajando #amoviajar #turistando #ferias #férias #verao2019 #verão2019 ㅤㅤ
ㅤㅤ",26,1910252637528251901,false,,1483596858,BqClKcjH939,Brazil,LencoisMaranhenses,viajandosozinha,verão2019,verao2019,revistaqualviagem,viajar,viajarépreciso,1541939881,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/1ad32d93cf7dff032db19af51979d971/5C6AA93F/t51.2885-15/e35/c0.135.1080.1080/s150x150/43085348_200491810826310_7595189574437088791_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/27a915539cc973f7ee9a7aacaa86d30f/5C646575/t51.2885-15/e35/c0.135.1080.1080/s240x240/43085348_200491810826310_7595189574437088791_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/dd9f5bd381fd404e99e4cbc11ba1117d/5C67EDCF/t51.2885-15/e35/c0.135.1080.1080/s320x320/43085348_200491810826310_7595189574437088791_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/31e0872a39df069ee899a47005c7b136/5C79FD95/t51.2885-15/e35/c0.135.1080.1080/s480x480/43085348_200491810826310_7595189574437088791_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/dc0b397c9c473f69238736993028ec60/5C83A824/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43085348_200491810826310_7595189574437088791_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/dc0b397c9c473f69238736993028ec60/5C83A824/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43085348_200491810826310_7595189574437088791_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/47f18debecdba7c688000ee8c3260042/5C6D5C67/t51.2885-15/e35/43085348_200491810826310_7595189574437088791_n.jpg,"{""street_address"": ""Len\u00e7\u00f3is Maranhenses"", ""zip_code"": ""65590000"", ""city_name"": ""Barreirinhas"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,636867633,Lençóis Maranhenses,lencois-maranhenses,viajarfazbem,qualviagem,amoviajar,viajando,férias,ferias,viagem,dunas,turistando,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/b536f352de32c15f553c16d6716efd43/5C67039C/t51.2885-15/e35/43915192_338040673412735_2084591039959881988_n.jpg,6133,6133,"📍Escadaria- Prainhas do Pontal/ Arraial do Cabo 🇧🇷
.
Hj acordamos cedo para conseguir pegar as escadas ,  a gruta do amor  e as Prainhas do Pontal vazia ..@beferreira6
@allan.rodrigo.73
. .
.
🌴Prainhas - Pontal do Atalaia
FOTÓGRAFO 📷@luis_ecotrilhas

#arraialdocabo #arraialdocabooficial #riodejaneiro #praia #cabofrio #rj #beach #sol #brasil #buzios #regiaodoslagos #mar #o #pontaldoatalaia #viagem #caribebrasileiro #rio #praiagrande #tbt #trip #photography #paraiso #ferias #praiadoforno #travel #errejota #sun #natureza",85,1910265866302527322,false,,1540031241,BqCoK8zhBda,sol,caribebrasileiro,rio,praiadoforno,trip,praiagrande,travel,errejota,1541941458,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/04d42953b6a3bfdfe6cfd89f1a291135/5C73F2C4/t51.2885-15/e35/c0.135.1080.1080/s150x150/43915192_338040673412735_2084591039959881988_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/793858f0d0ae69c1000bde45f511e269/5C69E58E/t51.2885-15/e35/c0.135.1080.1080/s240x240/43915192_338040673412735_2084591039959881988_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/73b96f98374cb9015197b45cb7b8badc/5C678A34/t51.2885-15/e35/c0.135.1080.1080/s320x320/43915192_338040673412735_2084591039959881988_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/41d49299cc225db07c1eadedc5d51a6e/5C6ACA6E/t51.2885-15/e35/c0.135.1080.1080/s480x480/43915192_338040673412735_2084591039959881988_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/398357f58256c73c22d6cd43245d7957/5C668BDF/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43915192_338040673412735_2084591039959881988_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/398357f58256c73c22d6cd43245d7957/5C668BDF/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43915192_338040673412735_2084591039959881988_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/b536f352de32c15f553c16d6716efd43/5C67039C/t51.2885-15/e35/43915192_338040673412735_2084591039959881988_n.jpg,"{""street_address"": """", ""zip_code"": ""21550-180"", ""city_name"": ""Arraial do Cabo"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,225429446,Arraial Do Cabo - Rio de Janeiro,arraial-do-cabo-rio-de-janeiro,beach,rj,riodejaneiro,natureza,mar,photography,tbt,praia,regiaodoslagos,paraiso,arraialdocabooficial,buzios,sun,viagem,cabofrio,pontaldoatalaia,brasil,o,arraialdocabo,ferias,,,,,,,,,,,,,
1349,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/1068844bd9010d1a0abe8932b59b8291/5C89C8E2/t51.2885-15/e35/43158355_513196985757577_2504670697957146178_n.jpg,572,572,"Quem aí também não gosta de água de coco, mas já pegou o coco da amiga só para tirar foto pq acha um charme?
.
📍 Praia da Joatinga, Rio de Janeiro 🇧🇷
.
.
👙 @atelietozen
.
.
#RioDeJaneiro #NaPraiaRio #eupraiana",18,1910342333213664136,false,,806707902,BqC5jsKl2OI,RioDeJaneiro,NaPraiaRio,eupraiana,,,,,,1541950574,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/82e21cfe84ce706d2faa2e31b7db8052/5C7E2752/t51.2885-15/e35/c0.134.1080.1080/s150x150/43158355_513196985757577_2504670697957146178_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/39fc1a4244a3d60f07e892dfe5a540f6/5C70E418/t51.2885-15/e35/c0.134.1080.1080/s240x240/43158355_513196985757577_2504670697957146178_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/fa8a43600431583e17bb72804844e56b/5C8575A2/t51.2885-15/e35/c0.134.1080.1080/s320x320/43158355_513196985757577_2504670697957146178_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/5760418ce53fe58db07e27fed90f45cb/5C7687F8/t51.2885-15/e35/c0.134.1080.1080/s480x480/43158355_513196985757577_2504670697957146178_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/87219d4a1a6d298a3782423eafc00f62/5C71CE49/t51.2885-15/sh0.08/e35/c0.134.1080.1080/s640x640/43158355_513196985757577_2504670697957146178_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/87219d4a1a6d298a3782423eafc00f62/5C71CE49/t51.2885-15/sh0.08/e35/c0.134.1080.1080/s640x640/43158355_513196985757577_2504670697957146178_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1068844bd9010d1a0abe8932b59b8291/5C89C8E2/t51.2885-15/e35/43158355_513196985757577_2504670697957146178_n.jpg,"{""street_address"": ""Rua Doutor Garnier"", ""zip_code"": ""20975-000"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,1351969808178018,Praia da Joatinga,praia-da-joatinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/698f571014eb598bf51dcd19d9a21ea2/5C86F608/t51.2885-15/e35/44314155_182977255970392_1963568904957591552_n.jpg,1870,1870,"Se e meu amigo, vai ter que fazer essa foto comigo nas férias 📸
.
.
⭐️ Marque seus amigos que possam gostar da página / Tag your friends who would love the page
.
.
Siga/Follow
@destinosreposts 🌐 
@destinos.fascinantes😍
@destinosencantados 📸
@destinosdestaques 🌍",52,1910187583361368560,false,,5662172523,BqCWXyIncHw,,,,,,,,,1541932126,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/035cd7d21cab0904bee474477a49fda2/5C7F6891/t51.2885-15/e35/c78.0.923.923/s150x150/44314155_182977255970392_1963568904957591552_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/7e2bb39f134e7af49effd61e04cf6ed7/5C72BDDB/t51.2885-15/e35/c78.0.923.923/s240x240/44314155_182977255970392_1963568904957591552_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/f4f2cb14554cc7d364f854be2b596187/5C7CE661/t51.2885-15/e35/c78.0.923.923/s320x320/44314155_182977255970392_1963568904957591552_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/9b8b4a429542dfce42157fe775873f12/5C861A3B/t51.2885-15/e35/c78.0.923.923/s480x480/44314155_182977255970392_1963568904957591552_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/ede65a2391ff953a77e99f007c953ddd/5C6720D8/t51.2885-15/sh0.08/e35/c78.0.923.923/s640x640/44314155_182977255970392_1963568904957591552_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ede65a2391ff953a77e99f007c953ddd/5C6720D8/t51.2885-15/sh0.08/e35/c78.0.923.923/s640x640/44314155_182977255970392_1963568904957591552_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/698f571014eb598bf51dcd19d9a21ea2/5C86F608/t51.2885-15/e35/44314155_182977255970392_1963568904957591552_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/3b8eab893c93146eba9d8bbc24969eb5/5C75DA3B/t51.2885-15/e35/42825752_1945916752377854_1840214762187730060_n.jpg,170,170,"Vacation started! 🌞🌊⛱️🌺🧘🏻‍♀️💕
#dia1/9 #peninsulademarau #barragrandebahia #htlterramar #paraiso #ferias #praia #vacation",7,1910184561707632577,false,,390200306,BqCVr0ABMfB,vacation,barragrandebahia,praia,paraiso,peninsulademarau,htlterramar,ferias,dia1,1541931766,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/0428519c050631b3a5fd7d8420c8f9b1/5C890204/t51.2885-15/e35/s150x150/42825752_1945916752377854_1840214762187730060_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/bf5834815f684cf06ac3bb51e1b044a1/5C6D0A02/t51.2885-15/e35/s240x240/42825752_1945916752377854_1840214762187730060_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/b3c1352ff3fa73906edfb1c7f8f56eda/5C7E9E7C/t51.2885-15/e35/s320x320/42825752_1945916752377854_1840214762187730060_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/e7b376b55c89396e21a61c523e8395e3/5C80DA3B/t51.2885-15/e35/s480x480/42825752_1945916752377854_1840214762187730060_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/08edc0cb76265ae600c04d10a6b64cbf/5C70F081/t51.2885-15/sh0.08/e35/s640x640/42825752_1945916752377854_1840214762187730060_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/08edc0cb76265ae600c04d10a6b64cbf/5C70F081/t51.2885-15/sh0.08/e35/s640x640/42825752_1945916752377854_1840214762187730060_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/3b8eab893c93146eba9d8bbc24969eb5/5C75DA3B/t51.2885-15/e35/42825752_1945916752377854_1840214762187730060_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/0103c2a58996718c0c6d174d59d12e94/5C7A55A7/t51.2885-15/e35/43205968_711801209175531_874154855457743742_n.jpg,392,392,"📍 Ubatuba - SP, essa hospedagem chama-se “Casa na árvores com vista para o mar ”. Eles não possuem rede social, as reservas são apenas pelo Airbnb. Na pesquisa do Google coloquem “ Casa da árvore com vista pra o mar - Ubatuba ”. 💙",37,1910310380124939027,false,,5783329199,BqCyStiFqMT,,,,,,,,,1541946764,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/6eb32498e739e5e67ac48c66974eda19/5C895135/t51.2885-15/e35/s150x150/43205968_711801209175531_874154855457743742_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/ed950a57c64aed139dc43fb4f478800b/5C85E680/t51.2885-15/e35/s240x240/43205968_711801209175531_874154855457743742_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/f06e413c541a80500d608582bed23634/5C698238/t51.2885-15/e35/s320x320/43205968_711801209175531_874154855457743742_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/a5b8ef3988e898b254195677694cab46/5C6CD564/t51.2885-15/e35/s480x480/43205968_711801209175531_874154855457743742_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d453b0ffc61728bfac26e6f9129c2493/5C7817D4/t51.2885-15/sh0.08/e35/s640x640/43205968_711801209175531_874154855457743742_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d453b0ffc61728bfac26e6f9129c2493/5C7817D4/t51.2885-15/sh0.08/e35/s640x640/43205968_711801209175531_874154855457743742_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/0103c2a58996718c0c6d174d59d12e94/5C7A55A7/t51.2885-15/e35/43205968_711801209175531_874154855457743742_n.jpg,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Ubatuba, Sao Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,213744605,"Ubatuba, Sao Paulo, Brazil",ubatuba-sao-paulo-brazil,,,,,,,,,,,,,,,,,,,,,https://instagram.fplu4-1.fna.fbcdn.net/vp/63290411185ba01b88c7930b2cec058d/5C7720AD/t51.2885-15/e35/44799499_312827562883896_3301248394075707011_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e470f303e5bcbf57f98537715172b2cf/5C64D21D/t51.2885-15/e35/44436537_1909672562462746_5314074823187420294_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/eea4db1730058eda615b1c834788c983/5C6DA805/t51.2885-15/e35/43380998_194508748128776_4147416787331758792_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6290e47014e0f12c05ad8c698e2715e5/5C7416B9/t51.2885-15/e35/44392032_186770312230384_2339908150012949317_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8464a0bdbbfeb9a39546dea68237987c/5C78EE55/t51.2885-15/e35/43914660_1066060560220042_7946725958864102889_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/da1502e2539066adc1efd51d91ec172e/5C783682/t51.2885-15/e35/44519036_2294377670573825_5884778646334829475_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7214fba1b73775cd853bfb8ca28b70b6/5C7C92E2/t51.2885-15/e35/43985318_303516690248454_1364364421058904344_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/62c898205f459936af26fabb02ae492b/5C78B6AD/t51.2885-15/e35/44616342_2329800143757829_576307823201305174_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/49a6e67cd2f3c2e645eb7b44405c5791/5C7A4BCE/t51.2885-15/e35/43208801_561050614346774_5545853088054773673_n.jpg,,,,
1078,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/1cc0725af12fdef32b7cfe101217703c/5C8ACA09/t51.2885-15/e35/44884216_608210989596081_5178741018942809330_n.jpg,1677,1677,"A inspiração que você precisa para  transformar sentimentos em palavras é mais um dos motivos para você  passar dias incríveis aqui na @pousadaminhaloucapaixao .
.
📸 @bruhaddad
.
“ O horizonte é o agora e nada mais
De front, Não há por quê olhar para trás
Sê inteira, sê a luz que ilumina tua paz
Coragem...”
.
.
.
.
.
#mlp #minhaloucapaixao #pousada ##morrodesaopaulo #poesia #inspiracao #bahia #reveillon2019 #viagem #ferias #reservas #domingo",59,1910339718963070778,false,,5337495597,BqC49pdHQc6,reveillon2019,domingo,morrodesaopaulo,pousada,poesia,mlp,inspiracao,ferias,1541950262,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/649360eeed68ebc803326e40c88fc47d/5C6681A0/t51.2885-15/e35/c1.0.1078.1078/s150x150/44884216_608210989596081_5178741018942809330_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/2f342e27b185c4b2d89c1fffd58f084b/5C6C47EA/t51.2885-15/e35/c1.0.1078.1078/s240x240/44884216_608210989596081_5178741018942809330_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/7c37080857154610f3c66464c9125f21/5C7AA450/t51.2885-15/e35/c1.0.1078.1078/s320x320/44884216_608210989596081_5178741018942809330_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/aa302150d909d3b353967e8807db0cc5/5C899C0A/t51.2885-15/e35/c1.0.1078.1078/s480x480/44884216_608210989596081_5178741018942809330_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/e1e73818a2e8863c8c0e838711177380/5C64E6AA/t51.2885-15/sh0.08/e35/c1.0.1078.1078/s640x640/44884216_608210989596081_5178741018942809330_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e1e73818a2e8863c8c0e838711177380/5C64E6AA/t51.2885-15/sh0.08/e35/c1.0.1078.1078/s640x640/44884216_608210989596081_5178741018942809330_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1cc0725af12fdef32b7cfe101217703c/5C8ACA09/t51.2885-15/e35/44884216_608210989596081_5178741018942809330_n.jpg,"{""street_address"": ""Morro de S\u00e3o Paulo"", ""zip_code"": ""01244-000"", ""city_name"": ""Cairu"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,240349181,Morro de São Paulo Bahia Brasil,morro-de-sao-paulo-bahia-brasil,viagem,reservas,bahia,minhaloucapaixao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/51650a0d9cf109b6ad9de2202039eb8a/5C7FD668/t51.2885-15/e35/44682122_1903584429767097_1792485745098871051_n.jpg,0,0,"Botelhos/MG ❤️ 🔺 📸 🇧🇷
#mg #minasgerais #trip #ferias #viagem #roça #estadodiamante #foto #picture #vacation #uai #vacation #vacations #tourist #turismobrasil #turismo #beautifuldestination #goprobrasil #canaloff #vocenomundo #brazil #brasil #lugaresdeminas #destaquesmg #tiradentes #juizdefora #ouropreto #belohorizonte #ig_mgnafoto #fotodasgerais",0,1910406743411920006,false,,7469237861,BqDIM-1lAyG,minasgerais,picture,uai,canaloff,trip,brazil,tiradentes,turismobrasil,1541958252,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/f7827ab1950447633b5112244fcf66fe/5C74B667/t51.2885-15/e35/c0.135.1080.1080/s150x150/44682122_1903584429767097_1792485745098871051_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/5b84312a79fc01d070df4fa946b72914/5C7B3A61/t51.2885-15/e35/c0.135.1080.1080/s240x240/44682122_1903584429767097_1792485745098871051_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/d0596e85f7782bf22e75666b1b8c75cd/5C856D1F/t51.2885-15/e35/c0.135.1080.1080/s320x320/44682122_1903584429767097_1792485745098871051_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/1505535ceeab916dbb72a2bbd0e2282f/5C684458/t51.2885-15/e35/c0.135.1080.1080/s480x480/44682122_1903584429767097_1792485745098871051_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/1675a3e95cb5581c0cd550423b34a06b/5C78B5F0/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44682122_1903584429767097_1792485745098871051_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1675a3e95cb5581c0cd550423b34a06b/5C78B5F0/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44682122_1903584429767097_1792485745098871051_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/51650a0d9cf109b6ad9de2202039eb8a/5C7FD668/t51.2885-15/e35/44682122_1903584429767097_1792485745098871051_n.jpg,,,,,,vacation,turismo,estadodiamante,juizdefora,roça,foto,tourist,lugaresdeminas,ig_mgnafoto,ouropreto,belohorizonte,vacations,viagem,vocenomundo,mg,brasil,destaquesmg,goprobrasil,fotodasgerais,ferias,,,,,,,,,,false,beautifuldestination,,
