dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,location,urls/1,urls/2,urls/3,tags/24,tags/25,tags/26,tags/27,tags/28,tags/29,comments_disabled,video_view_count,urls/4,urls/5,urls/6,urls/7,urls/8,urls/9
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/ffbf0fc01da39fadf8d40fd551b20416/5C6BB7D5/t51.2885-15/e35/43225039_335892637188807_979610848076956209_n.jpg,972,972,"O queridinho do momento! 😍 nosso geladinho fitness 😋🍓🥝 🥥Mix de frutas + Água de coco 🥥! já encomenda o seu 😉
.
 SIGA NOSSO PERFIL➡️ @doceriapridiniz ❤️
.
👉🏻Valores, encomendas e mais informações apenas pelo WhatsApp (31)997436507 .
. .
#bomdia #brigadeirogourmet #cake #beijinho #brigadeiro #doce #confeitaria #doceria #bolocaseiro #bolo #docesartesanais #bolodecenoura  #chocolate #casamento #docesgourmet #bolos #doces #baladebrigadeiro #doce #docesdecasamento #docespersonalizados #confeitaria #festa #festainfantil #contagem #belohorizonte",7,1910267416190768758,false,"{""street_address"": ""Rua Tup\u00e3 "", ""zip_code"": ""32341370"", ""city_name"": ""Contagem"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,2187453971528112,Doceria Pri Diniz,doceria-pri-diniz,6083582652,BqCohgQDdZ2,bolodecenoura,confeitaria,belohorizonte,contagem,doceria,doces,bolos,brigadeirogourmet,docespersonalizados,beijinho,casamento,festainfantil,bolo,chocolate,docesgourmet,bomdia,bolocaseiro,doce,docesdecasamento,festa,brigadeiro,cake,docesartesanais,baladebrigadeiro,1541941643,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/bf429dc63c375a99a552416fd3cc138f/5C7B0347/t51.2885-15/e35/s150x150/43225039_335892637188807_979610848076956209_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/51c99d8787565624135abaffe80172ef/5C7BBDF2/t51.2885-15/e35/s240x240/43225039_335892637188807_979610848076956209_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/03f972ff457992e077efcf81eb0a1a9a/5C6CEE4A/t51.2885-15/e35/s320x320/43225039_335892637188807_979610848076956209_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/fc14b1514cdfca5add5e05119f5d0c0e/5C861C16/t51.2885-15/e35/s480x480/43225039_335892637188807_979610848076956209_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/5d14b4082ca4c7483f162c81b1c52b94/5C74F9A6/t51.2885-15/sh0.08/e35/s640x640/43225039_335892637188807_979610848076956209_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/5d14b4082ca4c7483f162c81b1c52b94/5C74F9A6/t51.2885-15/sh0.08/e35/s640x640/43225039_335892637188807_979610848076956209_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ffbf0fc01da39fadf8d40fd551b20416/5C6BB7D5/t51.2885-15/e35/43225039_335892637188807_979610848076956209_n.jpg,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/38638b64c6864ebf7819540f60800ff2/5C7743EF/t51.2885-15/e35/44865889_1422526611183527_6698573404837659322_n.jpg,598,598,"Uma mesa de bolos, que contava uma história , aliás duas histórias! #decoraçaodefesta #partydecor #festa #flowers #flores #verdequetequeroverde",18,1910368171701926132,false,,,,,,222388257,BqC_bsIgXj0,festa,partydecor,verdequetequeroverde,flores,flowers,decoraçaodefesta,,,,,,,,,,,,,,,,,,,1541953654,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/858bcd06d54d3154d63da12330025d88/5C77AF77/t51.2885-15/e35/c0.133.1067.1067/s150x150/44865889_1422526611183527_6698573404837659322_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/be94c5703f67bbc61af964d37aafceee/5C84DE71/t51.2885-15/e35/c0.133.1067.1067/s240x240/44865889_1422526611183527_6698573404837659322_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/668b27bf60021db309eb53e0db0a81da/5C8A960F/t51.2885-15/e35/c0.133.1067.1067/s320x320/44865889_1422526611183527_6698573404837659322_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/245afa4e819405276b6ce41ed79cdab6/5C77C848/t51.2885-15/e35/c0.133.1067.1067/s480x480/44865889_1422526611183527_6698573404837659322_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/16d41bcb1c69acb4190c509665e4996a/5C7A48E0/t51.2885-15/sh0.08/e35/c0.133.1067.1067/s640x640/44865889_1422526611183527_6698573404837659322_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/16d41bcb1c69acb4190c509665e4996a/5C7A48E0/t51.2885-15/sh0.08/e35/c0.133.1067.1067/s640x640/44865889_1422526611183527_6698573404837659322_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/38638b64c6864ebf7819540f60800ff2/5C7743EF/t51.2885-15/e35/44865889_1422526611183527_6698573404837659322_n.jpg,,,,,,,,,,,,,,,,,,
810,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/36243652b63c04280ad0c826844a8673/5C7CAEB6/t51.2885-15/e35/44421094_717211578651119_4465741249662505261_n.jpg,716,716,"Chá de Fraldas da nossa menina❗️Seu primeiro Pic Nic, filha. Estamos ansiosos para a sua chegada ❤️🎀 • Amanhã eu posto todos os detalhes das comidinhas e parceiros do chá 😁

#chadefraldas #baby #babygirl #minhamenina #picnic #piquenique #cha #chadebebe #chadebebemenina #girl #paisdeprimeiraviagem #festa #festainfantil",13,1909851571987412139,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Belo Horizonte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,213255513,"Belo Horizonte, Brazil",belo-horizonte-brazil,1257219001,BqBJ-LKB_Sr,cha,babygirl,picnic,festa,chadebebe,minhamenina,chadefraldas,paisdeprimeiraviagem,baby,girl,piquenique,chadebebemenina,festainfantil,,,,,,,,,,,,1541892070,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/3e65be3b378fcfc2849043e6e5d4f77a/5C64C76D/t51.2885-15/e35/c120.0.720.720/s150x150/44421094_717211578651119_4465741249662505261_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/e123455deef6e605af49ad384a4813af/5C693527/t51.2885-15/e35/c120.0.720.720/s240x240/44421094_717211578651119_4465741249662505261_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/cbe681c0ff9731453e4ee7d551922b7c/5C75ED9D/t51.2885-15/e35/c120.0.720.720/s320x320/44421094_717211578651119_4465741249662505261_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/113a8454bd2b5f00a2eaf08310da7803/5C7941C7/t51.2885-15/e35/c120.0.720.720/s480x480/44421094_717211578651119_4465741249662505261_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/7855194246ed20a0fb672f7c3a07f962/5C66AB67/t51.2885-15/sh0.08/e35/c120.0.720.720/s640x640/44421094_717211578651119_4465741249662505261_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7855194246ed20a0fb672f7c3a07f962/5C66AB67/t51.2885-15/sh0.08/e35/c120.0.720.720/s640x640/44421094_717211578651119_4465741249662505261_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/36243652b63c04280ad0c826844a8673/5C7CAEB6/t51.2885-15/e35/44421094_717211578651119_4465741249662505261_n.jpg,,https://instagram.fplu4-1.fna.fbcdn.net/vp/9d20b02324b3f95b541d6662b32047a4/5C6BFD74/t51.2885-15/e35/44718720_193054391586121_8320278494076817142_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/123eb48a7f30b672320d7d8597dfefe6/5C7E4720/t51.2885-15/e35/43915023_894287537444388_9051329545346383959_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/240b7d8563a6459f8e21aae713196397/5C660BE1/t51.2885-15/e35/43588733_545304785940111_3651996399545443810_n.jpg,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/95eff026c28b9b843a4378c0c807c730/5C7B709E/t51.2885-15/e35/44436550_193774204868506_564933929526190578_n.jpg,1965,1965,"Novidades  Lojas @boutiquepalomy
.
Look disponível na Loja @boutiquepalomy
▶(Peças  limitadas)
.
¤ Tag your friend! Marque as amigas
.
Nossas #hasteg #souggedaí #belasplussize #publicidadeplussize #dicasplussizemg
.
#modamaior #festa #look #modelosplus  #plussize #modelo #modagg  #modafeminina #fimdesemana #loira #lookplus #sol #Praia #piscina #modeloplussize #modeloplussize #festa #modelogrande #modelo #gorda #biquini",15,1910316876506097202,false,,,,,,2100061134,BqCzxPwlGYy,modagg,souggedaí,gorda,modelogrande,piscina,fimdesemana,Praia,biquini,plussize,sol,modelo,dicasplussizemg,modamaior,modeloplussize,lookplus,publicidadeplussize,look,festa,modelosplus,hasteg,loira,modafeminina,belasplussize,,1541947539,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/a21b2c292f72b7fc8af0b14ef59293e5/5C69F80C/t51.2885-15/e35/s150x150/44436550_193774204868506_564933929526190578_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/ff5adae39858776abd08d3b594c8d86c/5C7A41B9/t51.2885-15/e35/s240x240/44436550_193774204868506_564933929526190578_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/cb42e82011829da2b9c87c098d905834/5C713E01/t51.2885-15/e35/s320x320/44436550_193774204868506_564933929526190578_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/48c0b20834b586b215c4c68913ed0db5/5C75895D/t51.2885-15/e35/s480x480/44436550_193774204868506_564933929526190578_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/edbca829fa4a5c2bdfe6d3c062c6a131/5C79F4ED/t51.2885-15/sh0.08/e35/s640x640/44436550_193774204868506_564933929526190578_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/edbca829fa4a5c2bdfe6d3c062c6a131/5C79F4ED/t51.2885-15/sh0.08/e35/s640x640/44436550_193774204868506_564933929526190578_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/95eff026c28b9b843a4378c0c807c730/5C7B709E/t51.2885-15/e35/44436550_193774204868506_564933929526190578_n.jpg,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/05d405ac073710eb87cf9192d0cc723a/5C693110/t51.2885-15/e35/43986115_483598918794248_5670168113478177895_n.jpg,337,337,Coisa mais lindaaa o chá da Beatriz. Obrigada Fernanda pela preferência 😍😍.. Amamos fazer parte desse momento. 🌸,5,1910221770913382327,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Vila Velha, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,178443046075919,Praia Coqueiral de Itaparica,praia-coqueiral-de-itaparica,4629705819,BqCeJRxgn-3,,,,,,,,,,,,,,,,,,,,,,,,,1541936201,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e3ed499e73444307145c82a8c20deac2/5C6BFD52/t51.2885-15/e35/s150x150/43986115_483598918794248_5670168113478177895_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/619efd15ab99ce77dbbf0e034658a207/5C76A518/t51.2885-15/e35/s240x240/43986115_483598918794248_5670168113478177895_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/30517eae07c2c7a39187e1f445effaf3/5C6E6EA2/t51.2885-15/e35/s320x320/43986115_483598918794248_5670168113478177895_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/c9e1b49c3e3408f5e47b06ab515f78f2/5C6F76F8/t51.2885-15/e35/s480x480/43986115_483598918794248_5670168113478177895_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/5f3f0d5f92a626bce59faccbfe0ff936/5C77ABF5/t51.2885-15/sh0.08/e35/s640x640/43986115_483598918794248_5670168113478177895_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/5f3f0d5f92a626bce59faccbfe0ff936/5C77ABF5/t51.2885-15/sh0.08/e35/s640x640/43986115_483598918794248_5670168113478177895_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/05d405ac073710eb87cf9192d0cc723a/5C693110/t51.2885-15/e35/43986115_483598918794248_5670168113478177895_n.jpg,,https://instagram.fplu4-1.fna.fbcdn.net/vp/b40632a3d4a2d6ef3844a3626626cd0b/5C71DF71/t51.2885-15/e35/43209298_296842777832390_3750012218247001288_n.jpg,,,,,,,,,,,,,,,,
640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/c2284ac4a2fc08a66473fc6df473d883/5C805114/t51.2885-15/e35/44442279_2254250664796276_3731459153680088198_n.jpg,2209,2209,"Olha essa inspiração MARAVILHOSAAAAA!!! Amei 😍💖 .
📌 @pinterestbr .
.
.
.
.
.
#20anos #festadeadulto #inspiracaofesta #decoracaodefestas #festaclean #festarustica #mesarustica #festaemcasa #festaemfamilia #kidsparty #festa #miniparty #festainfantil #festarustica #festapersonalizada #festas #mesa #decor #simples #dica #inspiracao #infantil #mesversario #aniversario #festademenina #diy #inspiration #festadecriança #festademenino #infantil #festasimples #festacriativa .
.
[deixe nos comentários se você que fez essa decoração para te marcamos, inspiração encontrada no Pinterest 😉]",24,1909584983710824952,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,213163910,"São Paulo, Brazil",sao-paulo-brazil,6344827127,BqANWzegPn4,festasimples,infantil,festaemcasa,festas,aniversario,festademenina,dica,decor,kidsparty,festapersonalizada,inspiracao,mesarustica,festademenino,festainfantil,festadeadulto,20anos,festaclean,festaemfamilia,decoracaodefestas,mesa,simples,inspiration,festadecriança,miniparty,1541860290,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/478a40925f0f9c3647a4e3a465f928dc/5C7FCA2B/t51.2885-15/e35/s150x150/44442279_2254250664796276_3731459153680088198_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/18034b86f6c8b4255190a16c57fe71d6/5C7F0E2D/t51.2885-15/e35/s240x240/44442279_2254250664796276_3731459153680088198_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/6283ff853816886b4d6072f8a35bc42b/5C6AD953/t51.2885-15/e35/s320x320/44442279_2254250664796276_3731459153680088198_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/b9c0d8b33faaa94d874a559949a357cd/5C641C14/t51.2885-15/e35/s480x480/44442279_2254250664796276_3731459153680088198_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/c2284ac4a2fc08a66473fc6df473d883/5C805114/t51.2885-15/e35/44442279_2254250664796276_3731459153680088198_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c2284ac4a2fc08a66473fc6df473d883/5C805114/t51.2885-15/e35/44442279_2254250664796276_3731459153680088198_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c2284ac4a2fc08a66473fc6df473d883/5C805114/t51.2885-15/e35/44442279_2254250664796276_3731459153680088198_n.jpg,,,,,festa,festarustica,inspiracaofesta,diy,mesversario,festacriativa,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/585021ef06c4cec32ea9d80d0842ba3d/5C734470/t51.2885-15/e35/44198533_498256600679553_5376147567931686740_n.jpg,1044,1044,"Natal chegando!!!
Faça uma árvore diferente!!
Encomende suas flores para colocar na árvore, podemos fazer da cor que preferir!
Sofisticação, Elegância e Exclusividade.
Orçamento através do WhatsApp 👇🏻👇🏻
11 94607-0705
#projetoemflores #flordepapel #floresdepapel  #floresdepapelgigantes  #floresgigantesdepapel  #floresgigantes  #natal #decoraçãodenatal  #decoracaonatalina  #temainfantil  #mae #formatura #vitrine #vitrines #festa #anonovo2019  #revellion  #casa",40,1909827028438431811,false,,,,,,6611279879,BqBEZBMgzhD,vitrines,projetoemflores,revellion,casa,floresgigantes,festa,floresdepapelgigantes,floresdepapel,anonovo2019,vitrine,natal,temainfantil,decoracaonatalina,flordepapel,formatura,mae,floresgigantesdepapel,decoraçãodenatal,,,,,,,1541889144,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/33dfbd77785ad59054f1467092479926/5C689628/t51.2885-15/e35/c0.135.1080.1080/s150x150/44198533_498256600679553_5376147567931686740_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/708397f8d790d10eb3391d0e0b8de009/5C662662/t51.2885-15/e35/c0.135.1080.1080/s240x240/44198533_498256600679553_5376147567931686740_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/1a832a59fc908b7f1330aa21101c39b2/5C6B29D8/t51.2885-15/e35/c0.135.1080.1080/s320x320/44198533_498256600679553_5376147567931686740_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/268d0d7575960835ee4f31119ed39206/5C6A9882/t51.2885-15/e35/c0.135.1080.1080/s480x480/44198533_498256600679553_5376147567931686740_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/e76ecd358f020e1872b2000a58b82902/5C81DF33/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44198533_498256600679553_5376147567931686740_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e76ecd358f020e1872b2000a58b82902/5C81DF33/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44198533_498256600679553_5376147567931686740_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/585021ef06c4cec32ea9d80d0842ba3d/5C734470/t51.2885-15/e35/44198533_498256600679553_5376147567931686740_n.jpg,,https://instagram.fplu4-1.fna.fbcdn.net/vp/749089a4f689abbece963d5003bb89c8/5C8348E0/t51.2885-15/e35/45270209_2134355469962277_464751968418045180_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c09949f6d26129c3f515390630c123b0/5C6925B0/t51.2885-15/e35/44267867_610475752702485_7546846226133566662_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/87a9f12561ca9450d7d0ccffdba87f13/5C6A37F8/t51.2885-15/e35/44682127_301385357144809_6963001891095055912_n.jpg,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/d183b7acb0acd09bad1f5f0a7b0ae411/5C7CD156/t51.2885-15/e35/42804432_507976836272582_2564615689078436028_n.jpg,878,878,"Euzinha 😂😂😂
.
 SIGA NOSSO PERFIL➡️ @doceriapridiniz ❤️
.
👉🏻Valores, encomendas e mais informações apenas pelo WhatsApp (31)997436507 .
. .
#boanoite #brigadeirogourmet #cake #beijinho #brigadeiro #doce #confeitaria #doceria #bolocaseiro #bolo #docesartesanais #bolodecenoura  #chocolate #casamento #docesgourmet #bolos #doces #baladebrigadeiro #doce #docesdecasamento #docespersonalizados #confeitaria #festa #festainfantil #contagem #belohorizonte",7,1909883662943177550,false,,,,,,6083582652,BqBRRKMDMtO,bolodecenoura,confeitaria,belohorizonte,contagem,doceria,doces,bolos,brigadeirogourmet,docespersonalizados,beijinho,casamento,festainfantil,bolo,chocolate,docesgourmet,bolocaseiro,doce,boanoite,festa,docesdecasamento,brigadeiro,cake,docesartesanais,baladebrigadeiro,1541895896,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/b73e440a025518bf728162b7794c6340/5C76A814/t51.2885-15/e35/s150x150/42804432_507976836272582_2564615689078436028_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c511149c270779addb36d3a208fc8087/5C76F35E/t51.2885-15/e35/s240x240/42804432_507976836272582_2564615689078436028_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/d75f8d62a6d09b6c781c6605703be701/5C8254E4/t51.2885-15/e35/s320x320/42804432_507976836272582_2564615689078436028_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/5e5390385e0d67eecc14a267cbf5ccd0/5C7EC8BE/t51.2885-15/e35/s480x480/42804432_507976836272582_2564615689078436028_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/e5f4e1d75bf19ed80c261486a20fb960/5C6D00B3/t51.2885-15/sh0.08/e35/s640x640/42804432_507976836272582_2564615689078436028_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e5f4e1d75bf19ed80c261486a20fb960/5C6D00B3/t51.2885-15/sh0.08/e35/s640x640/42804432_507976836272582_2564615689078436028_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d183b7acb0acd09bad1f5f0a7b0ae411/5C7CD156/t51.2885-15/e35/42804432_507976836272582_2564615689078436028_n.jpg,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/2ec765d575d800a28f5b4b4e890c1970/5C7679A0/t51.2885-15/e35/44213676_120090075542121_6484804026147973907_n.jpg,1034,1034,@paulambolos 😍😱🍬Que coisa mais LINDA! #emporioideias #emporio #ideia #ideias #doce #brigadeiro #festa #coisamaislinda,29,1910144190289904369,false,,,,,,5475693835,BqCMgVMAYLx,coisamaislinda,festa,ideia,emporio,ideias,brigadeiro,emporioideias,doce,,,,,,,,,,,,,,,,,1541926953,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/a64a9fa3dc0524f43b0f31f0fb4f707f/5C6C20E2/t51.2885-15/e35/s150x150/44213676_120090075542121_6484804026147973907_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/029d08f166be32c9621553b77e1e36eb/5C8AABA8/t51.2885-15/e35/s240x240/44213676_120090075542121_6484804026147973907_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/7512b0dc5a76f03f66a85602e27cba64/5C6D8812/t51.2885-15/e35/s320x320/44213676_120090075542121_6484804026147973907_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/25698c521e32d45a05859bde88863f0e/5C689748/t51.2885-15/e35/s480x480/44213676_120090075542121_6484804026147973907_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/ef55f46304fa93a2a81836e48c11ddac/5C85B145/t51.2885-15/sh0.08/e35/s640x640/44213676_120090075542121_6484804026147973907_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ef55f46304fa93a2a81836e48c11ddac/5C85B145/t51.2885-15/sh0.08/e35/s640x640/44213676_120090075542121_6484804026147973907_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2ec765d575d800a28f5b4b4e890c1970/5C7679A0/t51.2885-15/e35/44213676_120090075542121_6484804026147973907_n.jpg,,,,,,,,,,,,,,,,,,
1349,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/1eea4eb36b041b321f863b08e8a6d42d/5C664EBE/t51.2885-15/e35/44487688_557237668051942_188606725880515374_n.jpg,2,2,"Festa maravilhosa dos queridos @reversomsantos e @cardosoglaucia, estava tudo ótimo, que Deus abençoe a União de vcs!! 🔝🔝😍❤👏👏
#BoaTarde #Casamento #Festa #CasamentoGlauciaEBimbo #Parcerias #Amigos #TavaTop #SóOsTops #AturaOuSurta",0,1910423599011625582,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Tapes"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,1716479251987406,Ctg Província De São Pedro Tapes,ctg-provincia-de-sao-pedro-tapes,413832602,BqDMCQ1nHpu,SóOsTops,Casamento,BoaTarde,Festa,Parcerias,AturaOuSurta,CasamentoGlauciaEBimbo,Amigos,TavaTop,,,,,,,,,,,,,,,,1541960261,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/4805763b6e01b1fc17ec01ae811c1ce8/5C8841F9/t51.2885-15/e35/c0.96.774.774/s150x150/44487688_557237668051942_188606725880515374_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/dd798ad098623a0c7088e1aa65d1a280/5C7F454C/t51.2885-15/e35/c0.96.774.774/s240x240/44487688_557237668051942_188606725880515374_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/563d82367f5708f6e9985eb6eac54ae1/5C806BF4/t51.2885-15/e35/c0.96.774.774/s320x320/44487688_557237668051942_188606725880515374_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/7f45c5def18e20b4cc080893bc8f638a/5C7888A8/t51.2885-15/e35/c0.96.774.774/s480x480/44487688_557237668051942_188606725880515374_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d1d1857f1c7f4c6648666682839e73de/5C82D858/t51.2885-15/sh0.08/e35/c0.96.774.774/s640x640/44487688_557237668051942_188606725880515374_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d1d1857f1c7f4c6648666682839e73de/5C82D858/t51.2885-15/sh0.08/e35/c0.96.774.774/s640x640/44487688_557237668051942_188606725880515374_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1eea4eb36b041b321f863b08e8a6d42d/5C664EBE/t51.2885-15/e35/44487688_557237668051942_188606725880515374_n.jpg,,,,,,,,,,,false,,,,,,,
