dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,location,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,tags/28,tags/29,comments_disabled,urls/1,urls/2,video_view_count,tags/30,urls/3,urls/4,urls/5,urls/6
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/402d4fbecbb5b7d7f802e465d46cb6f5/5C7443EB/t51.2885-15/e35/42625016_897067217348865_8427828672394733322_n.jpg,472,472,"E hoje eu caminhei a praia inteira..
Com os pés na areia, coração em alto mar.... 🙌🐚 🌊☀💙
.
.
#goodvibes #love #céu #mar #sol #verao",12,1910371871900244296,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Campeche, Santa Catarina, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,511454422541297,"Praia Do Campeche, Floripa, SC.",praia-do-campeche-floripa-sc,461823016,BqDARiNgxlI,mar,love,céu,sol,goodvibes,verao,1541954095,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/a1b1f3edfa5fb3df6958f23d35e9859a/5C677AB3/t51.2885-15/e35/c0.135.1080.1080/s150x150/42625016_897067217348865_8427828672394733322_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/2dad83b8a1dcad1fc496b3b382a1620a/5C769AF9/t51.2885-15/e35/c0.135.1080.1080/s240x240/42625016_897067217348865_8427828672394733322_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/da955214bf94f413722ca9eaa7cb1c19/5C71B743/t51.2885-15/e35/c0.135.1080.1080/s320x320/42625016_897067217348865_8427828672394733322_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/2b5bccab3622e95cae78501f91249597/5C81E119/t51.2885-15/e35/c0.135.1080.1080/s480x480/42625016_897067217348865_8427828672394733322_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/170525561be8013fb662899b2106e326/5C6E20A8/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/42625016_897067217348865_8427828672394733322_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/170525561be8013fb662899b2106e326/5C6E20A8/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/42625016_897067217348865_8427828672394733322_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/402d4fbecbb5b7d7f802e465d46cb6f5/5C7443EB/t51.2885-15/e35/42625016_897067217348865_8427828672394733322_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/e8d8b82fc434690dd24ccd00c88904fc/5C87AB6C/t51.2885-15/e35/45406722_550286635383110_4670403217777150423_n.jpg,569,569,"Ahh o solll ❤️❤️
#praia #sol #mar",24,1910191779267503765,false,"{""street_address"": ""Avenida da Riviera"", ""zip_code"": ""11250-000"", ""city_name"": ""Bertioga, Sao Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,223973006,Riviera de São Lourenço,riviera-de-sao-lourenco,2105663378,BqCXU14HGaV,praia,mar,sol,,,,1541932626,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e8df380af74c02e03671549eb904f0fb/5C6A4734/t51.2885-15/e35/c0.135.1080.1080/s150x150/45406722_550286635383110_4670403217777150423_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/4b7d63af1f10670ffd9ada8dfd5caa3f/5C74987E/t51.2885-15/e35/c0.135.1080.1080/s240x240/45406722_550286635383110_4670403217777150423_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/c7da9e5aadf43acadf0aa5ebc149963f/5C79ACC4/t51.2885-15/e35/c0.135.1080.1080/s320x320/45406722_550286635383110_4670403217777150423_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/abccfa63d3d77f76b9d9e227bc37edf3/5C80139E/t51.2885-15/e35/c0.135.1080.1080/s480x480/45406722_550286635383110_4670403217777150423_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/b89c2dff8cd22631809b29dbbf3f5787/5C73262F/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/45406722_550286635383110_4670403217777150423_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/b89c2dff8cd22631809b29dbbf3f5787/5C73262F/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/45406722_550286635383110_4670403217777150423_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e8d8b82fc434690dd24ccd00c88904fc/5C87AB6C/t51.2885-15/e35/45406722_550286635383110_4670403217777150423_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/8f3d5995dbd03c391e3f973a53305037/5C805B6C/t51.2885-15/e35/44247333_2234078036835123_5676259887380201289_n.jpg,1336,1336,"Essa foto podia ser de hj, mas estou trabalhando. Kkkk Qm está em casa aproveita que o sol está lindo. 💪😬🤩🌞🌞🌞",35,1910283837628257943,false,,,,,,5945043253,BqCsQd6AJaX,,,,,,,1541943600,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/82e6cd4ae41bbd913111264754d00d66/5C6A2E53/t51.2885-15/e35/s150x150/44247333_2234078036835123_5676259887380201289_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/6479a6ef862b572bb53ef3a79bc0e1b5/5C6EA555/t51.2885-15/e35/s240x240/44247333_2234078036835123_5676259887380201289_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/e5350dbeb8e93c94229dd47c4d5047e9/5C77C62B/t51.2885-15/e35/s320x320/44247333_2234078036835123_5676259887380201289_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/bb4fa24d8762636576b1262f56de7e46/5C83976C/t51.2885-15/e35/s480x480/44247333_2234078036835123_5676259887380201289_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/13a99d9aceb6997631bdbf9327bceb9a/5C70CBD6/t51.2885-15/sh0.08/e35/s640x640/44247333_2234078036835123_5676259887380201289_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/13a99d9aceb6997631bdbf9327bceb9a/5C70CBD6/t51.2885-15/sh0.08/e35/s640x640/44247333_2234078036835123_5676259887380201289_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8f3d5995dbd03c391e3f973a53305037/5C805B6C/t51.2885-15/e35/44247333_2234078036835123_5676259887380201289_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/2afd4bb5ee2b9cd8d83097b6347a98b7/5C7091CB/t51.2885-15/e35/44424961_264974897506717_8718273608171723012_n.jpg,2577,2577,"Água salgada. Alma lavada!
.
.
#EuAmoMaragogi #Maragogi #Antunes #EuAmoAlagoas #CaribeBrasileiro #love #instagood #ipojuca #photooftheday #mar #hashtagsbrasil #praia #cute #me #follow #selfie #picoftheday #like4like #summer #friends #instadaily #smile #likeforlike #nature",18,1910350155799011625,false,"{""street_address"": """", ""zip_code"": ""57955-000"", ""city_name"": """", ""region_name"": """", ""country_code"": """", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,2171098679590531,Praia de Antunes Alagoas Caribe Brasileiro,praia-de-antunes-alagoas-caribe-brasileiro,32779304,BqC7VhhAyEp,cute,love,summer,selfie,follow,instadaily,1541951506,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/741aedf28d8343d511ec518c6e17c19d/5C6E0389/t51.2885-15/e35/s150x150/44424961_264974897506717_8718273608171723012_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f1663b15b69e0fe036ad1eb905b7519f/5C68E1C3/t51.2885-15/e35/s240x240/44424961_264974897506717_8718273608171723012_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/59e0d16a4aba6797aa5e31f5168cccea/5C6DDE79/t51.2885-15/e35/s320x320/44424961_264974897506717_8718273608171723012_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/a2c11fc189b84500f954772c545b5a67/5C699123/t51.2885-15/e35/s480x480/44424961_264974897506717_8718273608171723012_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/cc421edbb0af4bc16cb84df829cd3a00/5C79E32E/t51.2885-15/sh0.08/e35/s640x640/44424961_264974897506717_8718273608171723012_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/cc421edbb0af4bc16cb84df829cd3a00/5C79E32E/t51.2885-15/sh0.08/e35/s640x640/44424961_264974897506717_8718273608171723012_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2afd4bb5ee2b9cd8d83097b6347a98b7/5C7091CB/t51.2885-15/e35/44424961_264974897506717_8718273608171723012_n.jpg,,EuAmoMaragogi,likeforlike,smile,picoftheday,photooftheday,mar,nature,hashtagsbrasil,praia,ipojuca,friends,EuAmoAlagoas,me,CaribeBrasileiro,Antunes,Maragogi,instagood,like4like,,,,,,,,,,,,,,,
608,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/d0e2597ddd7c72a63e13133427e8b3c3/5C73C0C7/t51.2885-15/e35/43914591_1217902365017183_6955829737002598882_n.jpg,1505,1505,Photo by: @aroundtheworld2505,187,1910097730799507877,false,,,,,,8179196077,BqCB8QalZml,,,,,,,1541921415,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/1343a8e797d3555cf03b7b0e782e3c43/5C6EA4A0/t51.2885-15/e35/c236.0.608.608/s150x150/43914591_1217902365017183_6955829737002598882_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f1fb27bd48baf0d73aa3610e294511c4/5C77C2A6/t51.2885-15/e35/c236.0.608.608/s240x240/43914591_1217902365017183_6955829737002598882_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/b804519819e16e3c5a9e0e5746ed7b53/5C63C8D8/t51.2885-15/e35/c236.0.608.608/s320x320/43914591_1217902365017183_6955829737002598882_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/ea1d0c97f7752dedc7cee94a2ffdbca8/5C7EF79F/t51.2885-15/e35/c236.0.608.608/s480x480/43914591_1217902365017183_6955829737002598882_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8bab8753b418ebbb899004c53b939d3/5C86C715/t51.2885-15/e35/c236.0.608.608/43914591_1217902365017183_6955829737002598882_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8bab8753b418ebbb899004c53b939d3/5C86C715/t51.2885-15/e35/c236.0.608.608/43914591_1217902365017183_6955829737002598882_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d0e2597ddd7c72a63e13133427e8b3c3/5C73C0C7/t51.2885-15/e35/43914591_1217902365017183_6955829737002598882_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/0967d35a418cd4df8b9a8673515b681c/5C766D32/t51.2885-15/e35/42884034_481622408992515_1705584667045560412_n.jpg,3613,3613,"Como não amar Arraial? Mais fotos exclusiva do Rio em @TopOfRio. 😍
Cc @viajando_sem_parar
🌍 #pontaldoatalaia #arraialdocabo #riodejaneiro #rj
___________________________
📍 Use #topofbrazil
⭐️ Marque seus amigos que possam gostar da página / Tag your friends who would love the page
_
Conheça:
↳ @topofrio
↳ @ideiascriativas",39,1910288211599876429,false,"{""street_address"": """", ""zip_code"": ""22753-045"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,594923134219350,Pontal do Atalaia - Arraial do Cabo,pontal-do-atalaia-arraial-do-cabo,2113325971,BqCtQHfBuFN,riodejaneiro,topofbrazil,arraialdocabo,rj,pontaldoatalaia,,1541944122,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/3a5da664f3369e8d7ef6476fe2b6f25c/5C6A00D9/t51.2885-15/e35/c0.133.1080.1080/s150x150/42884034_481622408992515_1705584667045560412_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/4ad8ec79c20dcf7ca61d9c91428417ff/5C810193/t51.2885-15/e35/c0.133.1080.1080/s240x240/42884034_481622408992515_1705584667045560412_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/f388fa58184e385a658253075ae119b9/5C703329/t51.2885-15/e35/c0.133.1080.1080/s320x320/42884034_481622408992515_1705584667045560412_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/46e6205881db72ab0f171b42fcd3a7b8/5C89DB73/t51.2885-15/e35/c0.133.1080.1080/s480x480/42884034_481622408992515_1705584667045560412_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/96f9e11c38c18c22ddeb1e7265695b20/5C7F54C2/t51.2885-15/sh0.08/e35/c0.133.1080.1080/s640x640/42884034_481622408992515_1705584667045560412_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/96f9e11c38c18c22ddeb1e7265695b20/5C7F54C2/t51.2885-15/sh0.08/e35/c0.133.1080.1080/s640x640/42884034_481622408992515_1705584667045560412_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/0967d35a418cd4df8b9a8673515b681c/5C766D32/t51.2885-15/e35/42884034_481622408992515_1705584667045560412_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/9c997fc82534f0b6470c1323ad213cc8/5C85B0FF/t51.2885-15/e35/42798629_308402296420800_6554884649849891587_n.jpg,1174,1174,"Marbella, Spain
#andalucia #atardecer #beach #clouds #cloud #costa #coast #cielo #españa #landscape #landscapephotography #mar #marbella #mediterranean #nature #naturaleza #nubes #photography #paisaje #reflection #sunset #spain #sun #sea #sky #travel #mediterraneo #instagood #beautiful #picture",23,1910105361102448565,false,,,,,,8303411891,BqCDrSsFKe1,beautiful,mediterranean,sea,landscape,cielo,españa,1541922324,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/3654a48006675f8ef399a9e84b6f0adf/5C761FBD/t51.2885-15/e35/s150x150/42798629_308402296420800_6554884649849891587_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/1dcf1a41353e9aff1f0aa3599c564f9e/5C6881F7/t51.2885-15/e35/s240x240/42798629_308402296420800_6554884649849891587_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/c0d7ef45045047977b667a79f2f4d5cb/5C662F4D/t51.2885-15/e35/s320x320/42798629_308402296420800_6554884649849891587_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/7ae7ca5adf204b55b741ba3b3a24e8ac/5C678917/t51.2885-15/e35/s480x480/42798629_308402296420800_6554884649849891587_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d6ef9a8f396d54d4171ecb03b4403a2d/5C67EC1A/t51.2885-15/sh0.08/e35/s640x640/42798629_308402296420800_6554884649849891587_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d6ef9a8f396d54d4171ecb03b4403a2d/5C67EC1A/t51.2885-15/sh0.08/e35/s640x640/42798629_308402296420800_6554884649849891587_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/9c997fc82534f0b6470c1323ad213cc8/5C85B0FF/t51.2885-15/e35/42798629_308402296420800_6554884649849891587_n.jpg,,sun,travel,andalucia,sky,nubes,paisaje,beach,picture,mar,nature,photography,coast,cloud,spain,marbella,costa,clouds,reflection,atardecer,mediterraneo,instagood,naturaleza,sunset,landscapephotography,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/b7a0b9b8d0a42f524fef277a5328884b/5C74CC19/t51.2885-15/e35/44759627_489568824878431_2901539129034539008_n.jpg,52606,52606,O frio que chegou e eu que só penso no calor🤷🏻‍♀️...Falta muito para o verão?  #querooveraooanotodo #soudosol #praia #mar #pelecomcheirodesal #chinelonope #quemquerveraooutravezpoeamaonoar #tbt #saotome #saudadesdoverao #gabriela #cordecanela #nosoltudoficamaisfeliz,247,1906876960501706273,false,,,,,,7851667,Bp2ln4VFK4h,querooveraooanotodo,mar,nosoltudoficamaisfeliz,cordecanela,quemquerveraooutravezpoeamaonoar,tbt,1541537469,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/df3a494b7a1062952d8fee6c6bd7d32c/5C7D2641/t51.2885-15/e35/c0.135.1080.1080/s150x150/44759627_489568824878431_2901539129034539008_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/0e9c4c94b5cf3410d0d6b1ea64467958/5C88C60B/t51.2885-15/e35/c0.135.1080.1080/s240x240/44759627_489568824878431_2901539129034539008_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/f30ea1e82eeb4a257667b2267597b3b4/5C66DDB1/t51.2885-15/e35/c0.135.1080.1080/s320x320/44759627_489568824878431_2901539129034539008_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/7b3143b386b99b5d95bb7f3eb840d69b/5C6BD5EB/t51.2885-15/e35/c0.135.1080.1080/s480x480/44759627_489568824878431_2901539129034539008_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/e93bc1d69d97af4366e05611335c63b4/5C87D45A/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44759627_489568824878431_2901539129034539008_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e93bc1d69d97af4366e05611335c63b4/5C87D45A/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44759627_489568824878431_2901539129034539008_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/b7a0b9b8d0a42f524fef277a5328884b/5C74CC19/t51.2885-15/e35/44759627_489568824878431_2901539129034539008_n.jpg,,praia,pelecomcheirodesal,gabriela,saudadesdoverao,saotome,soudosol,chinelonope,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/ff308a3e72aa1efca585be40aaf9d6e9/5C743EBB/t51.2885-15/e35/45562918_101950830793270_5080088972699124444_n.jpg,593,593,BEARDED 🧔🏻,19,1910392923690926194,false,,,,,,7966922218,BqDFD4OBIBy,,,,,,,1541956604,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/283f4bc8d18d20aae9c94e69f60dc929/5C8015E3/t51.2885-15/e35/c0.135.1080.1080/s150x150/45562918_101950830793270_5080088972699124444_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/451ca5aaa3a83014e1cf5d038ecf04d3/5C6ABCA9/t51.2885-15/e35/c0.135.1080.1080/s240x240/45562918_101950830793270_5080088972699124444_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/17112e8f31f61a6526638bd591afe3e0/5C8AD213/t51.2885-15/e35/c0.135.1080.1080/s320x320/45562918_101950830793270_5080088972699124444_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/6001b30bd7f32aac4b913754622314c2/5C64CE49/t51.2885-15/e35/c0.135.1080.1080/s480x480/45562918_101950830793270_5080088972699124444_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/a0b29abd9d8aea92ee32502d59f3f66e/5C7438F8/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/45562918_101950830793270_5080088972699124444_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a0b29abd9d8aea92ee32502d59f3f66e/5C7438F8/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/45562918_101950830793270_5080088972699124444_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ff308a3e72aa1efca585be40aaf9d6e9/5C743EBB/t51.2885-15/e35/45562918_101950830793270_5080088972699124444_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/21866574cfea9422f4a5a0bbae7aa38d/5C71D33E/t51.2885-15/e35/44433508_781366695528408_652094664171129636_n.jpg,0,0,"📍Koh Tao, Tailandia 🇹🇭 📅 11/11/2018.
•
Cuando llueve y llueve y el cielo está super gris, no queda más que recurrir al Lightroom e imaginarnos cómo sería ese cielo en un atardecer bellísimo😂😍.
Adios Koh Tao🙋‍♀️. Al partir vimos gente llorando en el muelle por tener que dejar esta isla👀. Seremos insensibles?.
•
•
•
•
•
#muelle #longtailboat #barcos #mar #flag #thailand #thai #thailandtrip #sky #slyline #see #isla #island #selva #jungle #palm #travelingram #travelcommunity #womantraveler #girlwhotravel #pictureofthebeach #photooftheday #photograpy #lightroompic #lightroom",0,1910421778381761378,false,"{""street_address"": """", ""zip_code"": ""84280"", ""city_name"": ""Ban Ko Tao, Chumphon, Thailand"", ""region_name"": """", ""country_code"": ""TH"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,1827591677491178,Koh Tao Island,koh-tao-island,1580619408,BqDLnxPnWti,lightroompic,see,girlwhotravel,palm,travelingram,thailandtrip,1541960044,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/30082358580d40e11f4a44e9f4135f00/5C700F8C/t51.2885-15/e35/c0.135.1080.1080/s150x150/44433508_781366695528408_652094664171129636_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/adcc66c1d4674bbc1f5d520215d09c6a/5C66F939/t51.2885-15/e35/c0.135.1080.1080/s240x240/44433508_781366695528408_652094664171129636_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/db71d40b0c9d0b017ee35e5c82a26d85/5C7E2281/t51.2885-15/e35/c0.135.1080.1080/s320x320/44433508_781366695528408_652094664171129636_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/14cf686a0e244ff8adf3770771b0241e/5C725BDD/t51.2885-15/e35/c0.135.1080.1080/s480x480/44433508_781366695528408_652094664171129636_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/802e494f159161d9323cfb4c878aea83/5C6DEF1B/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44433508_781366695528408_652094664171129636_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/802e494f159161d9323cfb4c878aea83/5C6DEF1B/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44433508_781366695528408_652094664171129636_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/21866574cfea9422f4a5a0bbae7aa38d/5C71D33E/t51.2885-15/e35/44433508_781366695528408_652094664171129636_n.jpg,,sky,pictureofthebeach,barcos,womantraveler,isla,muelle,lightroom,photooftheday,mar,longtailboat,slyline,flag,thailand,thai,selva,travelcommunity,island,photograpy,jungle,,,,,,false,,,,,,,,
