dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,tags/10,comments_disabled,location,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,tags/28,tags/29,video_view_count,urls/1,urls/2,urls/3,urls/4,urls/5
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/57865ac88737ed78b9f6bde4deb00d32/5C72E75A/t51.2885-15/e35/43418853_113998439538231_926349800749546427_n.jpg,1357,1357,"Vibes de verão na porta! 🧡✈️ #partiuferias 
___________________________________________
Onde fica ❓ @macunaimabar 📍
Último da ponta do Mutá 
___________________________________________
#vivaessaexperiencia #feriasnoparaiso #jáéverão #feriasnabahia #maraú #barragrande #barragrandebahia #barratrip #macunaimabar",11,1910172770655595081,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Ponta Do Mut\u00e1, Bahia, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,234836179,"Ponta Do Mutá, Bahia, Brazil",ponta-do-muta-bahia-brazil,1946969334,BqCTAOujOpJ,macunaimabar,barragrande,vivaessaexperiencia,feriasnabahia,barragrandebahia,feriasnoparaiso,jáéverão,barratrip,maraú,partiuferias,1541930360,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/d36ed58325edea2a584a996ace835b71/5C6410C8/t51.2885-15/e35/s150x150/43418853_113998439538231_926349800749546427_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/e0dab638e3f5dc40b0ecd0c43bddac83/5C8A0B7D/t51.2885-15/e35/s240x240/43418853_113998439538231_926349800749546427_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/96a7e90135209667d6057c8b7b378d10/5C82DDC5/t51.2885-15/e35/s320x320/43418853_113998439538231_926349800749546427_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/6c972aa50bc744bd7841abd06ca32502/5C725399/t51.2885-15/e35/s480x480/43418853_113998439538231_926349800749546427_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/84fe01a60299a72d32e85d6c760001b9/5C894629/t51.2885-15/sh0.08/e35/s640x640/43418853_113998439538231_926349800749546427_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/84fe01a60299a72d32e85d6c760001b9/5C894629/t51.2885-15/sh0.08/e35/s640x640/43418853_113998439538231_926349800749546427_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/57865ac88737ed78b9f6bde4deb00d32/5C72E75A/t51.2885-15/e35/43418853_113998439538231_926349800749546427_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/93d5bac90e9d3f9f01f508a0827a4673/5C6B5654/t51.2885-15/e35/43585510_296540624520494_2717405096410540241_n.jpg,1818,1818,Levanta a mão aí quem limparia esse prato rapidinho! 😋🙋,30,1910278991623065544,false,"{""street_address"": ""AL-101, km 20"", ""zip_code"": ""57039-700"", ""city_name"": ""Macei\u00f3, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,336965738,Salinas Maceió,salinas-maceio,1127275402,BqCrJ8tlY_I,,,,,,,,,,,1541943023,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/b1995b63b78fc7ff89d2a8d8238b8832/5C86ACC3/t51.2885-15/e35/c0.108.864.864/s150x150/43585510_296540624520494_2717405096410540241_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c959cb42788abee9faaf8683bfab67ce/5C645189/t51.2885-15/e35/c0.108.864.864/s240x240/43585510_296540624520494_2717405096410540241_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/d1739cbef898f5e24e7a32eb3668c961/5C7ACB33/t51.2885-15/e35/c0.108.864.864/s320x320/43585510_296540624520494_2717405096410540241_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/38346d1334143a510a7e39a55a89e711/5C6F7269/t51.2885-15/e35/c0.108.864.864/s480x480/43585510_296540624520494_2717405096410540241_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/a3d8cd8be211428689e7454a5c74dd3c/5C7BB8C9/t51.2885-15/sh0.08/e35/c0.108.864.864/s640x640/43585510_296540624520494_2717405096410540241_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a3d8cd8be211428689e7454a5c74dd3c/5C7BB8C9/t51.2885-15/sh0.08/e35/c0.108.864.864/s640x640/43585510_296540624520494_2717405096410540241_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/93d5bac90e9d3f9f01f508a0827a4673/5C6B5654/t51.2885-15/e35/43585510_296540624520494_2717405096410540241_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/eddff83fb3092b111a0d3e758a147cd9/5C7FD95A/t51.2885-15/e35/43985411_2174120546164021_816881115884158976_n.jpg,1227,1227,Conexão com a natureza efetuada com sucesso ✨,13,1908785922553763750,false,"{""street_address"": """", ""zip_code"": ""57930"", ""city_name"": ""Passo de Camaragibe"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,289328728,Praia De Marceneiro,praia-de-marceneiro,6641345492,Bp9Xq7yFVem,,,,,,,,,,,1541765035,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/90c84ec06222502946f0e4f552f3eea3/5C7A30F6/t51.2885-15/e35/c0.97.885.885/s150x150/43985411_2174120546164021_816881115884158976_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/27f2b8d2e5d227b32dd7ac01b99c2032/5C877BBC/t51.2885-15/e35/c0.97.885.885/s240x240/43985411_2174120546164021_816881115884158976_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/62671cd4a0b7238ce632c12b195b5bae/5C68D106/t51.2885-15/e35/c0.97.885.885/s320x320/43985411_2174120546164021_816881115884158976_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/1d69bf8cd24ef376b7e2372f204f3052/5C874D5C/t51.2885-15/e35/c0.97.885.885/s480x480/43985411_2174120546164021_816881115884158976_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/6c5d74abb56976c4a4a7d87de695a01c/5C8254BF/t51.2885-15/sh0.08/e35/c0.97.885.885/s640x640/43985411_2174120546164021_816881115884158976_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6c5d74abb56976c4a4a7d87de695a01c/5C8254BF/t51.2885-15/sh0.08/e35/c0.97.885.885/s640x640/43985411_2174120546164021_816881115884158976_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/eddff83fb3092b111a0d3e758a147cd9/5C7FD95A/t51.2885-15/e35/43985411_2174120546164021_816881115884158976_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/0504fc824fea250abf12cc4d8ba613aa/5C66FE43/t51.2885-15/e35/43985555_270503320268944_333282332523888640_n.jpg,2372,3094,"Cadê limite pra beleza de São Miguel, gente? 😱",62,1907517177915087076,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""S\u00e3o Miguel dos Milagres"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,248537681,São Miguel dos Milagres,sao-miguel-dos-milagres,6641345492,Bp43MRQlZjk,,,,,,,,,,,1541613789,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/47672e9e81bb406ddaeb3ee16086c5ec/5C80F28E/t51.2885-15/e35/c0.97.885.885/s150x150/43985555_270503320268944_333282332523888640_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/ec6d88b81c7ffce1feaa36d14f5183bd/5C83833B/t51.2885-15/e35/c0.97.885.885/s240x240/43985555_270503320268944_333282332523888640_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/396715f64ed38ec77730a2dc6c3052af/5C7EB183/t51.2885-15/e35/c0.97.885.885/s320x320/43985555_270503320268944_333282332523888640_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/edafe58c13dea066b322613a0899c30c/5C72C9DF/t51.2885-15/e35/c0.97.885.885/s480x480/43985555_270503320268944_333282332523888640_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/58512ce1a4d06b70455b27d38090ab73/5C826E2F/t51.2885-15/sh0.08/e35/c0.97.885.885/s640x640/43985555_270503320268944_333282332523888640_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/58512ce1a4d06b70455b27d38090ab73/5C826E2F/t51.2885-15/sh0.08/e35/c0.97.885.885/s640x640/43985555_270503320268944_333282332523888640_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/0504fc824fea250abf12cc4d8ba613aa/5C66FE43/t51.2885-15/e35/43985555_270503320268944_333282332523888640_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/45f160309a78f60e85fc1f2f6743dccd/5C63B23C/t51.2885-15/e35/44622168_316108599119411_1440153327268230429_n.jpg,5548,5548,"Entre um mergulho na lagoa ou no mar, a gente escolhe os dois. 🌴",78,1909735382318543974,false,"{""street_address"": ""Macei\u00f3"", ""zip_code"": ""57030-000"", ""city_name"": ""Macei\u00f3, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,460033274346605,Praia Do Gunga,praia-do-gunga,1127275402,BqAvjZGF3Rm,,,,,,,,,,,1541878219,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/3470d5b0e1f5573d9504d1e31ec54b9d/5C6691AB/t51.2885-15/e35/c0.108.864.864/s150x150/44622168_316108599119411_1440153327268230429_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/b8735313f2642e2b43bcd3587dd608e5/5C752EE1/t51.2885-15/e35/c0.108.864.864/s240x240/44622168_316108599119411_1440153327268230429_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/f81aa06322527050fbcd9489aeb0f575/5C6CD15B/t51.2885-15/e35/c0.108.864.864/s320x320/44622168_316108599119411_1440153327268230429_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/2221b874b72887e2930a49057dc779be/5C86FE01/t51.2885-15/e35/c0.108.864.864/s480x480/44622168_316108599119411_1440153327268230429_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/e947b3fa1616e277732246a96d7f163b/5C774FA1/t51.2885-15/sh0.08/e35/c0.108.864.864/s640x640/44622168_316108599119411_1440153327268230429_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e947b3fa1616e277732246a96d7f163b/5C774FA1/t51.2885-15/sh0.08/e35/c0.108.864.864/s640x640/44622168_316108599119411_1440153327268230429_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/45f160309a78f60e85fc1f2f6743dccd/5C63B23C/t51.2885-15/e35/44622168_316108599119411_1440153327268230429_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/1653746dabca454282c7412d89fc45ed/5C7480A8/t51.2885-15/e35/43986082_340943456710637_5561753666433581056_n.jpg,1382,1382,"As minhas próximas ferias quero passar em Bora Bora. Será que é pedir demais😍?
.
.
📸@jeremyaustiin - @fsborabora 🇵🇫 .
Quem mais concorda com a gente😉? Marque as pessoas que vc levaria para esse paraíso.
.
.
#fantrip #borabora #frenchpolynesia #sonhodeconsumo #queroviajarmais #prefiroviajar #vamosprala #dreams #casamento #luademel #partiuferias",37,1909020789359144465,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Vaitape, French Polynesia"", ""region_name"": """", ""country_code"": ""PF"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,1906910439594849,"Bora Bora, French Polynesia",bora-bora-french-polynesia,1647216351,Bp-NEsilm4R,queroviajarmais,frenchpolynesia,casamento,fantrip,sonhodeconsumo,luademel,borabora,dreams,prefiroviajar,partiuferias,1541793033,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/20d8ae397349c4aac37690ea99daee8b/5C7A45F0/t51.2885-15/e35/c0.135.1080.1080/s150x150/43986082_340943456710637_5561753666433581056_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/8feea483d1e2bb6fe03cd2691f1377f9/5C711EBA/t51.2885-15/e35/c0.135.1080.1080/s240x240/43986082_340943456710637_5561753666433581056_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/2b868a9f28f59433d58d073110546edf/5C7EA500/t51.2885-15/e35/c0.135.1080.1080/s320x320/43986082_340943456710637_5561753666433581056_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/6fc69d078bf484e0f9cc86c4bf9bee13/5C84ED5A/t51.2885-15/e35/c0.135.1080.1080/s480x480/43986082_340943456710637_5561753666433581056_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/f1d2dd0f191ce134fdc6c3fca1fd1fba/5C878CEB/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43986082_340943456710637_5561753666433581056_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/f1d2dd0f191ce134fdc6c3fca1fd1fba/5C878CEB/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43986082_340943456710637_5561753666433581056_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1653746dabca454282c7412d89fc45ed/5C7480A8/t51.2885-15/e35/43986082_340943456710637_5561753666433581056_n.jpg,vamosprala,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/bd1976f9ae983c657652fcd40af2035d/5C73382E/t51.2885-15/e35/43469336_193839068158860_8314021629353925357_n.jpg,3472,3472,"Aquele pedacinho do paraíso 💙 | 📷: @katrinelazare⠀
⠀",41,1908181994032286465,false,"{""street_address"": ""AL-101, km 20"", ""zip_code"": ""57039-700"", ""city_name"": ""Macei\u00f3, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,336965738,Salinas Maceió,salinas-maceio,1127275402,Bp7OWnhF0sB,,,,,,,,,,,1541693041,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/b8049858c6da69cdb30c9a245330f280/5C896CB9/t51.2885-15/e35/c0.108.864.864/s150x150/43469336_193839068158860_8314021629353925357_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/dbe138c2a4b7401003999aa092813519/5C71A9F3/t51.2885-15/e35/c0.108.864.864/s240x240/43469336_193839068158860_8314021629353925357_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/377f3d81ee49af0c152e89f73fe35f3b/5C720049/t51.2885-15/e35/c0.108.864.864/s320x320/43469336_193839068158860_8314021629353925357_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/c3fd08ebda143a2c29364f33d9cb96f1/5C86CA13/t51.2885-15/e35/c0.108.864.864/s480x480/43469336_193839068158860_8314021629353925357_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/67dd7e36fe191b2bb66c7f3f77da8871/5C638AB3/t51.2885-15/sh0.08/e35/c0.108.864.864/s640x640/43469336_193839068158860_8314021629353925357_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/67dd7e36fe191b2bb66c7f3f77da8871/5C638AB3/t51.2885-15/sh0.08/e35/c0.108.864.864/s640x640/43469336_193839068158860_8314021629353925357_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/bd1976f9ae983c657652fcd40af2035d/5C73382E/t51.2885-15/e35/43469336_193839068158860_8314021629353925357_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/a920163fa97ab79818d12d1112b7bb2c/5C63F8BB/t51.2885-15/e35/45361216_295700884617056_84495596785039297_n.jpg,5447,5447,"Melhor chegar logo que a gente já começou por aqui, hein? 😎",86,1907547764701389077,false,"{""street_address"": """", ""zip_code"": ""57955-000"", ""city_name"": ""Maragogi"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,217494293,Salinas Maragogi,salinas-maragogi,211288463,Bp4-JXbHeEV,,,,,,,,,,,1541617435,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/8186694ffd2dbe0a9b1fdd282b0c8459/5C84E53E/t51.2885-15/e35/c0.97.885.885/s150x150/45361216_295700884617056_84495596785039297_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f15f0c912fade79892534068141ce7e4/5C86C7D3/t51.2885-15/e35/c0.97.885.885/s240x240/45361216_295700884617056_84495596785039297_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/4c927c6476b04a2fdddc224ef32d6f97/5C6DF0C0/t51.2885-15/e35/c0.97.885.885/s320x320/45361216_295700884617056_84495596785039297_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/d8023d2b6a58324c9be30f0d1ee9589e/5C751DDC/t51.2885-15/e35/c0.97.885.885/s480x480/45361216_295700884617056_84495596785039297_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/168a4e0f816c3a8f13fdd3d05033ca0b/5C7FB2C2/t51.2885-15/sh0.08/e35/c0.97.885.885/s640x640/45361216_295700884617056_84495596785039297_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/168a4e0f816c3a8f13fdd3d05033ca0b/5C7FB2C2/t51.2885-15/sh0.08/e35/c0.97.885.885/s640x640/45361216_295700884617056_84495596785039297_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a920163fa97ab79818d12d1112b7bb2c/5C63F8BB/t51.2885-15/e35/45361216_295700884617056_84495596785039297_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/108e0a18d6d6bbddcc89d301e44fb427/5C6A56E6/t51.2885-15/e35/43064229_2141314375881657_5632098221355433984_n.jpg,1478,1478,"Tranquilinha, cheia de piscinas deliciosas e de águas mornas, Barreiras do Boqueirão é imperdível. Já salva logo essa foto, porque a gente aposta que esse vai ser o destino de suas próximas férias. ☀",25,1909032123551360979,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Japaratinga"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,223549850,Japaratinga,japaratinga,6641345492,Bp-PpoVFqfT,,,,,,,,,,,1541794384,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/b9df8ba561870ac4060142b91a7dc5d2/5C6FF8E7/t51.2885-15/e35/c0.97.885.885/s150x150/43064229_2141314375881657_5632098221355433984_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/b687fdd6073fec0f637264dc059d179a/5C68B4E1/t51.2885-15/e35/c0.97.885.885/s240x240/43064229_2141314375881657_5632098221355433984_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/327cda0afb440c8b3bfc0d2885264ae7/5C7F2C9F/t51.2885-15/e35/c0.97.885.885/s320x320/43064229_2141314375881657_5632098221355433984_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/4e0a8c8d2c1069b12676196d3a4e2de5/5C7091D8/t51.2885-15/e35/c0.97.885.885/s480x480/43064229_2141314375881657_5632098221355433984_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/059e3d8a71cff729a237b22be97481f4/5C6632B1/t51.2885-15/sh0.08/e35/c0.97.885.885/s640x640/43064229_2141314375881657_5632098221355433984_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/059e3d8a71cff729a237b22be97481f4/5C6632B1/t51.2885-15/sh0.08/e35/c0.97.885.885/s640x640/43064229_2141314375881657_5632098221355433984_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/108e0a18d6d6bbddcc89d301e44fb427/5C6A56E6/t51.2885-15/e35/43064229_2141314375881657_5632098221355433984_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/55441a54cced8f2ff7c600698d84e3f3/5C721155/t51.2885-15/e35/43699417_178333309781585_4628200958120068068_n.jpg,17,17,"Olha que de bom!!! 😏😏
Depois de Uma preparação top com meu chapa @henrique_marini não podia ter outro resultado! Recorde pessoal para os meus 21k e claro Uma bagagem enorme para levar no caminho. Obrigado pela ajuda @henrique_marini vc é o cara e aquela que me deixa novinho com suas maos de aço @mariliamarruda 😘
#partiuferias #naopara #jajatemmais #correpangare  #aprendendoacorrer #japossobeber 😎😂😉😗🤗 #mechamapracorrer",3,1910336278173592824,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Bras\u00edlia, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,213088733,"Brasília, Brazil",brasilia-brazil,1425832904,BqC4Lk-FCz4,naopara,correpangare,japossobeber,mechamapracorrer,jajatemmais,partiuferias,aprendendoacorrer,,,,1541949852,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/8391f0905191e9991fea0964ae3433af/5C704B17/t51.2885-15/e35/s150x150/43699417_178333309781585_4628200958120068068_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/b56dcc279a940ec609d3f6f3ee40b8aa/5C8AC05D/t51.2885-15/e35/s240x240/43699417_178333309781585_4628200958120068068_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/e378b48ff59025a0fc604cfab1668cad/5C6C2FE7/t51.2885-15/e35/s320x320/43699417_178333309781585_4628200958120068068_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/57f1a6e40ed72f7c4a610e711d66e4f1/5C7DE3BD/t51.2885-15/e35/s480x480/43699417_178333309781585_4628200958120068068_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/7bdba1f80659c724b7d73451ce10f2d4/5C78E8B0/t51.2885-15/sh0.08/e35/s640x640/43699417_178333309781585_4628200958120068068_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7bdba1f80659c724b7d73451ce10f2d4/5C78E8B0/t51.2885-15/sh0.08/e35/s640x640/43699417_178333309781585_4628200958120068068_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/55441a54cced8f2ff7c600698d84e3f3/5C721155/t51.2885-15/e35/43699417_178333309781585_4628200958120068068_n.jpg,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
