dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,tags/0,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,tags/1,tags/2,location,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,comments_disabled,tags/24,tags/25,tags/26,tags/27,tags/28,urls/1,urls/2,urls/3,urls/4,urls/5,video_view_count,urls/6,urls/7,urls/8,tags/29
738,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/457be6869ceb60e2dad277fbb9802399/5C6468D0/t51.2885-15/e35/44542375_2176774919241098_6333168006060793336_n.jpg,579,579,"Ela é mar de ondas bravas
Mas se vc mergulhar fundo
Vai encontrar estrelas-do-mar e muito amor!! 💙
.
Desejo do dia!! #tb 🌊🌞🌴
Bom dia!! Bom domingo!!",22,1910256815883942632,false,"{""street_address"": ""Rua do Dera"", ""zip_code"": ""45818000"", ""city_name"": ""Porto Seguro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,234495571,Trancoso - Bahia,trancoso-bahia,178765631,BqCmHP8h_ro,tb,1541940379,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/33c0c1c6dd1b0bfae50f64f2d9e29a45/5C8186B5/t51.2885-15/e35/c171.0.738.738/s150x150/44542375_2176774919241098_6333168006060793336_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/ecda95b19abf78709c799ef90827f554/5C827BB3/t51.2885-15/e35/c171.0.738.738/s240x240/44542375_2176774919241098_6333168006060793336_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/d2ca8f3679da1a68781e2488bc92ecda/5C7D2FCD/t51.2885-15/e35/c171.0.738.738/s320x320/44542375_2176774919241098_6333168006060793336_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/5393cef2a009a470cd66b80e4fafc1f7/5C777F8A/t51.2885-15/e35/c171.0.738.738/s480x480/44542375_2176774919241098_6333168006060793336_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/69fcb452d4bb4b9b39a4ecb8aa1a7412/5C7CE681/t51.2885-15/sh0.08/e35/c171.0.738.738/s640x640/44542375_2176774919241098_6333168006060793336_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/69fcb452d4bb4b9b39a4ecb8aa1a7412/5C7CE681/t51.2885-15/sh0.08/e35/c171.0.738.738/s640x640/44542375_2176774919241098_6333168006060793336_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/457be6869ceb60e2dad277fbb9802399/5C6468D0/t51.2885-15/e35/44542375_2176774919241098_6333168006060793336_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/e1a0ab70fee65ba84a9d675517e0947f/5C663B5D/t51.2885-15/e35/44236595_353929868485942_4497650384621046651_n.jpg,579,579,"Cabelo de sal, pele de sol e alma de mar 💙🌊
#praia #sol #praiana",33,1910335561585747713,false,"{""street_address"": ""maragogi"", ""zip_code"": ""11702-200"", ""city_name"": ""Niter\u00f3i, Rio de Janeiro, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,257987746,Piscinas Naturais De Maragogi - Maceió,piscinas-naturais-de-maragogi-maceio,1155238641,BqC4BJmHWcB,praia,1541949766,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/bcf71a459b530a1a994f162ef1e946c9/5C7189AE/t51.2885-15/e35/c0.131.1050.1050/s150x150/44236595_353929868485942_4497650384621046651_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/23971829c719840c89d6d112fd4c8f8f/5C79E6E4/t51.2885-15/e35/c0.131.1050.1050/s240x240/44236595_353929868485942_4497650384621046651_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/50b96214900bba85b96ce131b0c93dff/5C88515E/t51.2885-15/e35/c0.131.1050.1050/s320x320/44236595_353929868485942_4497650384621046651_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/89a563de5e82163774a8af55a23e5271/5C6D5904/t51.2885-15/e35/c0.131.1050.1050/s480x480/44236595_353929868485942_4497650384621046651_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/286d6bd32960b96a0591d0ccefa55ef6/5C7C43B5/t51.2885-15/sh0.08/e35/c0.131.1050.1050/s640x640/44236595_353929868485942_4497650384621046651_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/286d6bd32960b96a0591d0ccefa55ef6/5C7C43B5/t51.2885-15/sh0.08/e35/c0.131.1050.1050/s640x640/44236595_353929868485942_4497650384621046651_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e1a0ab70fee65ba84a9d675517e0947f/5C663B5D/t51.2885-15/e35/44236595_353929868485942_4497650384621046651_n.jpg,sol,praiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/f3406b74204c0093c2a67bb13e4d1cfb/5C87F782/t51.2885-15/e35/44351081_1932978406816658_9186017581263050124_n.jpg,3006,3006,"Paz, sossego e tranquilidade. 🌊✌🐳
#praia #summer #paz #picoftheday #followforfollow #followback #instaphoto #instagood #likes #smile #happy #life #fire #inspire #positividade",35,1910266598300785001,false,,,,,,1241126833,BqCoVmiAxlp,summer,1541941545,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/fc594c5af32d2e39970c0ccdf578f579/5C79ABE5/t51.2885-15/e35/c0.120.960.960/s150x150/44351081_1932978406816658_9186017581263050124_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/d978e00bb671eeee144a41c41731eb0d/5C6E5CE3/t51.2885-15/e35/c0.120.960.960/s240x240/44351081_1932978406816658_9186017581263050124_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/41185b95c0b81b7a23ec1c8b00548794/5C88639D/t51.2885-15/e35/c0.120.960.960/s320x320/44351081_1932978406816658_9186017581263050124_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/d92c0740cc35c7f5e9aff8100a1dc4ac/5C6B46DA/t51.2885-15/e35/c0.120.960.960/s480x480/44351081_1932978406816658_9186017581263050124_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/209ddad59da70b7198525320ac4d4c70/5C7D25D1/t51.2885-15/sh0.08/e35/c0.120.960.960/s640x640/44351081_1932978406816658_9186017581263050124_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/209ddad59da70b7198525320ac4d4c70/5C7D25D1/t51.2885-15/sh0.08/e35/c0.120.960.960/s640x640/44351081_1932978406816658_9186017581263050124_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/f3406b74204c0093c2a67bb13e4d1cfb/5C87F782/t51.2885-15/e35/44351081_1932978406816658_9186017581263050124_n.jpg,life,followback,,inspire,followforfollow,paz,instagood,praia,fire,positividade,instaphoto,smile,happy,picoftheday,likes,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/25536d04b4714fa8c2dbca5a5a0f8edf/5C7734C3/t51.2885-15/e35/45502763_196087021306195_3100165453466332448_n.jpg,673,673,aquela paz 🙌🏽☀️🌿🍃💚 #praia #beach #sunday #easysunday #domingosendodomingo #melhorprotocolo #vitaminad #melanina #meulugar #meucantinho #carioquismo #rj #colecionandomomentos #mindset #goodvibes #lifeaholic,25,1910373221770191800,false,,,,,,213292517,BqDAlLYB-O4,goodvibes,1541954256,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/37d58ad33d79b23d5c01673d8bf01acc/5C746B9B/t51.2885-15/e35/c0.135.1080.1080/s150x150/45502763_196087021306195_3100165453466332448_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/0a741cda1fb56956f97ae27517d3328a/5C6969D1/t51.2885-15/e35/c0.135.1080.1080/s240x240/45502763_196087021306195_3100165453466332448_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/59f50ef72d1bb204f00112d56f51d39b/5C65396B/t51.2885-15/e35/c0.135.1080.1080/s320x320/45502763_196087021306195_3100165453466332448_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/7c50a19a191dc03a23e1bf273427b3c2/5C89D531/t51.2885-15/e35/c0.135.1080.1080/s480x480/45502763_196087021306195_3100165453466332448_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/08e540fecee73ce600e5c56f7fed4885/5C78DE80/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/45502763_196087021306195_3100165453466332448_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/08e540fecee73ce600e5c56f7fed4885/5C78DE80/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/45502763_196087021306195_3100165453466332448_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/25536d04b4714fa8c2dbca5a5a0f8edf/5C7734C3/t51.2885-15/e35/45502763_196087021306195_3100165453466332448_n.jpg,vitaminad,meulugar,,carioquismo,domingosendodomingo,lifeaholic,melhorprotocolo,praia,sunday,melanina,easysunday,meucantinho,colecionandomomentos,beach,rj,mindset,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/b4d074336ecce93c75bc0f8513f4cdab/5C6B5007/t51.2885-15/e35/45382444_267213477471955_8973469085281329195_n.jpg,2758,2758,Para un gaúcho nada melhor que chimarrão na praia💪🦈🏄‍♂️😊 #praia #barbudo #beard #bearded #musclechest #bulkingseason #muscle #bulking #hairymuscle,92,1910293129303928989,false,,,,,,1679040904,BqCuXrdB7Cd,bearded,1541944708,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/480e7cc8a2c61c6a9c1cb37ed8d35bfc/5C848745/t51.2885-15/e35/s150x150/45382444_267213477471955_8973469085281329195_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/d181c475820ece423c9f32beb58776e7/5C85590F/t51.2885-15/e35/s240x240/45382444_267213477471955_8973469085281329195_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/68f915cbde3dfda956d7a30e4adb1f96/5C77D7B5/t51.2885-15/e35/s320x320/45382444_267213477471955_8973469085281329195_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/49187b3bc650a8f138ac5c8308ef443c/5C897BEF/t51.2885-15/e35/s480x480/45382444_267213477471955_8973469085281329195_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/00afdd11897ee81e0575a257fb4bc436/5C694AE2/t51.2885-15/sh0.08/e35/s640x640/45382444_267213477471955_8973469085281329195_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/00afdd11897ee81e0575a257fb4bc436/5C694AE2/t51.2885-15/sh0.08/e35/s640x640/45382444_267213477471955_8973469085281329195_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/b4d074336ecce93c75bc0f8513f4cdab/5C6B5007/t51.2885-15/e35/45382444_267213477471955_8973469085281329195_n.jpg,hairymuscle,praia,,bulking,barbudo,bulkingseason,musclechest,muscle,beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/2afd4bb5ee2b9cd8d83097b6347a98b7/5C7091CB/t51.2885-15/e35/44424961_264974897506717_8718273608171723012_n.jpg,2571,2571,"Água salgada. Alma lavada!
.
.
#EuAmoMaragogi #Maragogi #Antunes #EuAmoAlagoas #CaribeBrasileiro #love #instagood #ipojuca #photooftheday #mar #hashtagsbrasil #praia #cute #me #follow #selfie #picoftheday #like4like #summer #friends #instadaily #smile #likeforlike #nature",18,1910350155799011625,false,"{""street_address"": """", ""zip_code"": ""57955-000"", ""city_name"": """", ""region_name"": """", ""country_code"": """", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,2171098679590531,Praia de Antunes Alagoas Caribe Brasileiro,praia-de-antunes-alagoas-caribe-brasileiro,32779304,BqC7VhhAyEp,cute,1541951506,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/741aedf28d8343d511ec518c6e17c19d/5C6E0389/t51.2885-15/e35/s150x150/44424961_264974897506717_8718273608171723012_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f1663b15b69e0fe036ad1eb905b7519f/5C68E1C3/t51.2885-15/e35/s240x240/44424961_264974897506717_8718273608171723012_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/59e0d16a4aba6797aa5e31f5168cccea/5C6DDE79/t51.2885-15/e35/s320x320/44424961_264974897506717_8718273608171723012_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/a2c11fc189b84500f954772c545b5a67/5C699123/t51.2885-15/e35/s480x480/44424961_264974897506717_8718273608171723012_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/cc421edbb0af4bc16cb84df829cd3a00/5C79E32E/t51.2885-15/sh0.08/e35/s640x640/44424961_264974897506717_8718273608171723012_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/cc421edbb0af4bc16cb84df829cd3a00/5C79E32E/t51.2885-15/sh0.08/e35/s640x640/44424961_264974897506717_8718273608171723012_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2afd4bb5ee2b9cd8d83097b6347a98b7/5C7091CB/t51.2885-15/e35/44424961_264974897506717_8718273608171723012_n.jpg,love,summer,,selfie,follow,instadaily,EuAmoMaragogi,likeforlike,smile,picoftheday,photooftheday,mar,nature,hashtagsbrasil,praia,ipojuca,friends,EuAmoAlagoas,me,CaribeBrasileiro,Antunes,Maragogi,instagood,like4like,,,,,,,,,,,,,,,,
1225,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/c231b51829acd260a6e7b2e222edd956/5C6B4230/t51.2885-15/e35/43052328_2173104656034295_1145904876115247567_n.jpg,3170,3170,"Sdds dos meus surfs...!😏🌊
Mentira gente nunca surfei não KAKAK 😅 
#tb #tbt #praia #bronzeamentonatural #bronze #beach #model #editorial",70,1909945049485325373,false,"{""street_address"": ""Praia do Franc\u00eas"", ""zip_code"": ""57160000"", ""city_name"": ""Marechal Deodoro, Alagoas"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,206599209444827,Francês Beach,frances-beach,5570858101,BqBfOc3FrQ9,bronzeamentonatural,1541903214,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/217033b45b2c7c63604fd7bd409fd1e4/5C7D5C7D/t51.2885-15/e35/c0.72.1080.1080/s150x150/43052328_2173104656034295_1145904876115247567_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/d59fb29f5dbcb25fa1d098bc203f8c66/5C6F2D7B/t51.2885-15/e35/c0.72.1080.1080/s240x240/43052328_2173104656034295_1145904876115247567_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/f16aa3c8fdbaed830f1c6f2a257bf49b/5C775805/t51.2885-15/e35/c0.72.1080.1080/s320x320/43052328_2173104656034295_1145904876115247567_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/13724b53eacfe469f20bf582674e6d84/5C86EA42/t51.2885-15/e35/c0.72.1080.1080/s480x480/43052328_2173104656034295_1145904876115247567_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8550dd429f205cdeca57bb4b465f07c/5C7B2B3A/t51.2885-15/sh0.08/e35/c0.72.1080.1080/s640x640/43052328_2173104656034295_1145904876115247567_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a8550dd429f205cdeca57bb4b465f07c/5C7B2B3A/t51.2885-15/sh0.08/e35/c0.72.1080.1080/s640x640/43052328_2173104656034295_1145904876115247567_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c231b51829acd260a6e7b2e222edd956/5C6B4230/t51.2885-15/e35/43052328_2173104656034295_1145904876115247567_n.jpg,tb,tbt,,praia,editorial,model,beach,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/89461ce1317fa43ee6a6bbf444dc4332/5C82CFD2/t51.2885-15/e35/43097864_1952267934828281_5196383141558439857_n.jpg,398,398,🥥🥥🥥,4,1910356183057021417,false,"{""street_address"": ""Rua Almirante Gon\u00e7alves"", ""zip_code"": ""22060-040"", ""city_name"": ""Rio de Janeiro, Rio de Janeiro"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,340133187,Copacabana Rio De Janeito-Rj,copacabana-rio-de-janeito-rj,30599428,BqC8tO1lbnp,,1541952225,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/dca240d7b51e53879297b4dc77c8eecb/5C89F2DD/t51.2885-15/e35/c0.135.1080.1080/s150x150/43097864_1952267934828281_5196383141558439857_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/098f208f1bf3133ead71800fc458711d/5C7DD5DB/t51.2885-15/e35/c0.135.1080.1080/s240x240/43097864_1952267934828281_5196383141558439857_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/87c21e4ac95bab8b1a6894406d1974f5/5C78E0A5/t51.2885-15/e35/c0.135.1080.1080/s320x320/43097864_1952267934828281_5196383141558439857_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/06993be850fae809843f3e9641c872bf/5C84D7E2/t51.2885-15/e35/c0.135.1080.1080/s480x480/43097864_1952267934828281_5196383141558439857_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/ce32860570f582fd18375ba76005600b/5C71DE4A/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43097864_1952267934828281_5196383141558439857_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ce32860570f582fd18375ba76005600b/5C71DE4A/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43097864_1952267934828281_5196383141558439857_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/89461ce1317fa43ee6a6bbf444dc4332/5C82CFD2/t51.2885-15/e35/43097864_1952267934828281_5196383141558439857_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/336a874dada0bec0763e003ea288ea82/5C7FD527/t51.2885-15/e35/44335812_2349805018639574_7066570013953326935_n.jpg,0,0,É com a água salgada que a alma é lavada.🌊☀️ #natalrn #pernambuco #brasil #praia #praiana #boatardinha #happy #love #pontanegra #mar,0,1910419493667989781,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Ponta Negra, Rio Grande Do Norte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,216072847,"Ponta Negra, Rio Grande Do Norte, Brazil",ponta-negra-rio-grande-do-norte-brazil,356343686,BqDLGhcD-kV,pontanegra,1541959772,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/10b5bf8a16f1191180cb77042f4b2499/5C695C67/t51.2885-15/e35/c156.0.768.768/s150x150/44335812_2349805018639574_7066570013953326935_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/9aea35e7c91b875ec2383b64d4c1a44e/5C7FE561/t51.2885-15/e35/c156.0.768.768/s240x240/44335812_2349805018639574_7066570013953326935_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/d49e84bf3dd8efb82ffe14d6ba024e67/5C71581F/t51.2885-15/e35/c156.0.768.768/s320x320/44335812_2349805018639574_7066570013953326935_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/de012fb64428b4c049e0990c101a689e/5C8A0558/t51.2885-15/e35/c156.0.768.768/s480x480/44335812_2349805018639574_7066570013953326935_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/271c9a683841223d4aeaf72539bd71b7/5C867153/t51.2885-15/sh0.08/e35/c156.0.768.768/s640x640/44335812_2349805018639574_7066570013953326935_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/271c9a683841223d4aeaf72539bd71b7/5C867153/t51.2885-15/sh0.08/e35/c156.0.768.768/s640x640/44335812_2349805018639574_7066570013953326935_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/336a874dada0bec0763e003ea288ea82/5C7FD527/t51.2885-15/e35/44335812_2349805018639574_7066570013953326935_n.jpg,mar,love,,brasil,praia,praiana,pernambuco,natalrn,boatardinha,happy,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,
754,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/8e35d1384e60479d44f16c0086f9adb6/5C707314/t51.2885-15/e35/44887979_2204859456507240_7889008445544207497_n.jpg,0,0,"nature-se

#sky #sun #beatch #life #lifestyle #itacoa #kombi #rj #riodejaneiro #brasil #ro #regiaooceanica #oculos #praia #sol #mar #nature #natureza #diaadia #dia l #montanhas #trilha #trips #mirante",0,1910419374163200088,false,,,,,,6249006508,BqDLEyJBYhY,itacoa,1541959758,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/88392ff464fea1a3460ffe6f6043005a/5C74524C/t51.2885-15/e35/c0.2.720.720/s150x150/44887979_2204859456507240_7889008445544207497_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/9a0b79be367b170650894ad12ef65d8a/5C69774A/t51.2885-15/e35/c0.2.720.720/s240x240/44887979_2204859456507240_7889008445544207497_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/c2d4d03278112deec24f84855cbef5e0/5C820734/t51.2885-15/e35/c0.2.720.720/s320x320/44887979_2204859456507240_7889008445544207497_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/0bdd2a36bef7875b0114211582422001/5C772773/t51.2885-15/e35/c0.2.720.720/s480x480/44887979_2204859456507240_7889008445544207497_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/382caeb3be9e4bee7d4c697c4191edf0/5C7DE159/t51.2885-15/sh0.08/e35/c0.2.720.720/s640x640/44887979_2204859456507240_7889008445544207497_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/382caeb3be9e4bee7d4c697c4191edf0/5C7DE159/t51.2885-15/sh0.08/e35/c0.2.720.720/s640x640/44887979_2204859456507240_7889008445544207497_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8e35d1384e60479d44f16c0086f9adb6/5C707314/t51.2885-15/e35/44887979_2204859456507240_7889008445544207497_n.jpg,sol,oculos,,sun,sky,regiaooceanica,diaadia,ro,rj,riodejaneiro,life,mar,nature,praia,trilha,mirante,montanhas,natureza,beatch,lifestyle,brasil,dia,kombi,trips,false,,,,,,,,,,,,,,,
