dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,tags/9,tags/10,tags/11,tags/12,location,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,comments_disabled,urls/1,urls/2,urls/3,urls/4,urls/5,urls/6,urls/7,urls/8,urls/9,tags/28,tags/29,video_view_count
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/200dd3a1afeac85f3a764d79591e1556/5C779494/t51.2885-15/e35/45354983_2088029424842428_3004695946579478250_n.jpg,1635,1635,O dia que mais encontrei seguidores em Praia do Forte !🌴😱😍 #praiadoforte #bardosouza  #musa #musasfitness  #lifestyleblogger  #lifestylefitness  #fitnessmotivation #baianinha  #lookdodia,47,1915458107766894136,false,"{""street_address"": """", ""zip_code"": ""40170-010"", ""city_name"": ""Salvador, Bahia, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,216085718,Praia do Forte Oficial,praia-do-forte-oficial,33973285,BqVEwAflm44,lifestyleblogger,lifestylefitness,fitnessmotivation,bardosouza,lookdodia,baianinha,musasfitness,musa,praiadoforte,1542560421,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/b856ca8bbeaf522f86e98aa9ba47a57d/5C7B2CAB/t51.2885-15/e35/s150x150/45354983_2088029424842428_3004695946579478250_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/d76c6c18097957c42d37d07f74641ed0/5C6EBAAD/t51.2885-15/e35/s240x240/45354983_2088029424842428_3004695946579478250_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/5ad939111ca77e0558122476683211f6/5C72C0D3/t51.2885-15/e35/s320x320/45354983_2088029424842428_3004695946579478250_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/03d4c16d041c000ce1af2aa5e36a900b/5C82F294/t51.2885-15/e35/s480x480/45354983_2088029424842428_3004695946579478250_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/df9ebf4d5ac49ca0b54976789f4b73cb/5C90622E/t51.2885-15/sh0.08/e35/s640x640/45354983_2088029424842428_3004695946579478250_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/df9ebf4d5ac49ca0b54976789f4b73cb/5C90622E/t51.2885-15/sh0.08/e35/s640x640/45354983_2088029424842428_3004695946579478250_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/200dd3a1afeac85f3a764d79591e1556/5C779494/t51.2885-15/e35/45354983_2088029424842428_3004695946579478250_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/698a021b22d76ecec5a4c3bdba12b494/5C69FCA3/t51.2885-15/e35/44749253_360243884543116_3762950002471828059_n.jpg,1779,1779,"O sol ta daquele jeito 🌞☀️
.
.
Dia lindo 💕
.
.
Obrigada Deus 🙏❤
.
.
Excursão equipe nota mil, super recomendo @summertripstur 💥
____________________________________
#arraialdocabo #arraial #cabofrio #rj #beach #riodaspedras #buzios #ilhas #ilhadojapones #praiadoforte #obrigadadeusportudo #gratitude #gratidao #🙏❤",31,1915464663153613948,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Cabo Frio"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,254560518743255,Praia do Japones,praia-do-japones,281316869,BqVGPZrFZx8,gratitude,ilhas,gratidao,praiadoforte,arraial,ilhadojapones,riodaspedras,obrigadadeusportudo,arraialdocabo,1542561203,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/5c424b7b5a7eea3582d3347738620af7/5C7C8DE1/t51.2885-15/e35/s150x150/44749253_360243884543116_3762950002471828059_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/a4d732ac38aae7f635b1ae535e4c38cc/5C7260AB/t51.2885-15/e35/s240x240/44749253_360243884543116_3762950002471828059_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/82d45dc40e1013d8b75a26655f8413eb/5CACC811/t51.2885-15/e35/s320x320/44749253_360243884543116_3762950002471828059_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/689c7517f23431a85d7b03d6a43c4333/5CADC04B/t51.2885-15/e35/s480x480/44749253_360243884543116_3762950002471828059_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/a3bb74a840689a0f5878a6f44e8af1d2/5CB01B46/t51.2885-15/sh0.08/e35/s640x640/44749253_360243884543116_3762950002471828059_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a3bb74a840689a0f5878a6f44e8af1d2/5CB01B46/t51.2885-15/sh0.08/e35/s640x640/44749253_360243884543116_3762950002471828059_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/698a021b22d76ecec5a4c3bdba12b494/5C69FCA3/t51.2885-15/e35/44749253_360243884543116_3762950002471828059_n.jpg,buzios,beach,cabofrio,rj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/a953561a9fd86c91f7a1ea915e70691e/5C7C6840/t51.2885-15/e35/44796665_327317704728428_7548056283186537130_n.jpg,3195,3195,"Ahhhhh... A Bahia... Sensação de estar de férias! 
#pontadochapeu #praiadoforte #bahia",33,1915566958888433181,false,,,,,,10844462,BqVdgAABTYd,pontadochapeu,bahia,praiadoforte,,,,,,,1542573397,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/de56f21b0b711fc5e92a6f672e633955/5C6B3702/t51.2885-15/e35/s150x150/44796665_327317704728428_7548056283186537130_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/390f83f8ac2a9cbb2cfad4fb2d98e352/5CAE4148/t51.2885-15/e35/s240x240/44796665_327317704728428_7548056283186537130_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/1811e2cb6aadae5a784fe6345b8eb569/5C9125F2/t51.2885-15/e35/s320x320/44796665_327317704728428_7548056283186537130_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/6e0cacdff0c165cd10ae3d6db17c9093/5C76D4A8/t51.2885-15/e35/s480x480/44796665_327317704728428_7548056283186537130_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/a953561a9fd86c91f7a1ea915e70691e/5C7C6840/t51.2885-15/e35/44796665_327317704728428_7548056283186537130_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a953561a9fd86c91f7a1ea915e70691e/5C7C6840/t51.2885-15/e35/44796665_327317704728428_7548056283186537130_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/a953561a9fd86c91f7a1ea915e70691e/5C7C6840/t51.2885-15/e35/44796665_327317704728428_7548056283186537130_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/931edd5f0b8d47e747a9332fb8b47b75/5C8E7FEE/t51.2885-15/e35/44741194_256227988585587_4770718126841211402_n.jpg,5457,5457,"Marque aquele amigo que ainda não conhece ou precisa voltar a Igreja São Francisco de Assis, em Praia do Forte. (Foto: @carvalhosilva5) #DestinosBaianos",51,1915664901139147213,false,"{""street_address"": ""Av do Farol s/n Shopping Armaz\u00e9m da Vila Loja 19 - Praia do Forte"", ""zip_code"": ""48280-971"", ""city_name"": ""Mata de S\u00e3o Jo\u00e3o"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,374913978,"Praia do Forte, Bahia - Brasil",praia-do-forte-bahia-brasil,1934007666,BqVzxP1FSnN,DestinosBaianos,,,,,,,,,1542585073,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/001aab2c96cf5735b3cd4d6297603ac4/5C7D7794/t51.2885-15/e35/c0.131.1080.1080/s150x150/44741194_256227988585587_4770718126841211402_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/27cc88d078b62fd55acf9ce36e1dd1e9/5C744EDE/t51.2885-15/e35/c0.131.1080.1080/s240x240/44741194_256227988585587_4770718126841211402_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/6ff06f2fdb50a9c671ac817b6d5f8122/5CAE8464/t51.2885-15/e35/c0.131.1080.1080/s320x320/44741194_256227988585587_4770718126841211402_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/2a22ea8ddb3ebf120b814893528ff76a/5CAC363E/t51.2885-15/e35/c0.131.1080.1080/s480x480/44741194_256227988585587_4770718126841211402_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/b5356c6581bd928ef02baa995b69c191/5CB2158F/t51.2885-15/sh0.08/e35/c0.131.1080.1080/s640x640/44741194_256227988585587_4770718126841211402_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/b5356c6581bd928ef02baa995b69c191/5CB2158F/t51.2885-15/sh0.08/e35/c0.131.1080.1080/s640x640/44741194_256227988585587_4770718126841211402_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/931edd5f0b8d47e747a9332fb8b47b75/5C8E7FEE/t51.2885-15/e35/44741194_256227988585587_4770718126841211402_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/d2929e5515f7494120576c6ec445c940/5C78965E/t51.2885-15/e35/44608498_1949803721980832_2022871811847656016_n.jpg,1329,1329,Uma obsessão chamada fotos de picolé,10,1915365331264348993,false,,,,,,1579289826,BqUvp7pHCNB,,,,,,,,,,1542549362,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/fcb81e96db0addb38c1a2328c55b8ca9/5C8EB051/t51.2885-15/e35/c0.135.1080.1080/s150x150/44608498_1949803721980832_2022871811847656016_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c212b21f5d072efad769fcd1393a396c/5C7AE857/t51.2885-15/e35/c0.135.1080.1080/s240x240/44608498_1949803721980832_2022871811847656016_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/0e33069589c061ea9a9baf3ed182c4a7/5C8B9A29/t51.2885-15/e35/c0.135.1080.1080/s320x320/44608498_1949803721980832_2022871811847656016_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/cbb8ae86af2f9359c974af3ef7eb8a3a/5C6B186E/t51.2885-15/e35/c0.135.1080.1080/s480x480/44608498_1949803721980832_2022871811847656016_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/c297b64f3536fd3fb05eab5337d18277/5C74C4C6/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44608498_1949803721980832_2022871811847656016_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c297b64f3536fd3fb05eab5337d18277/5C74C4C6/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44608498_1949803721980832_2022871811847656016_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d2929e5515f7494120576c6ec445c940/5C78965E/t51.2885-15/e35/44608498_1949803721980832_2022871811847656016_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/84418d8c1356800c0652c20351dc3856/5C7FACF9/t51.2885-15/e35/44613585_352262458889612_3682803756175817040_n.jpg,549,549,"🌤
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. #tumblr #tumblrgirl #tumbler #tumbling #foto #cabelos #girls #likeforlikes #likeforfollow #likers #sdv #sdvtodos #sdv❤️ #praia #praiana #tumblrnapraia #sdvsf💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚#praiadoforte #praiadolorde",7,1914944402180885140,false,"{""street_address"": ""Av do Farol s/n Shopping Armaz\u00e9m da Vila Loja 19 - Praia do Forte"", ""zip_code"": ""48280-971"", ""city_name"": ""Mata de S\u00e3o Jo\u00e3o"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,374913978,"Praia do Forte, Bahia - Brasil",praia-do-forte-bahia-brasil,4086229497,BqTP8m4nUqU,praia,foto,likers,tumblrgirl,girls,likeforfollow,tumblrnapraia,cabelos,likeforlikes,1542499183,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/409de10f88d22a5abc160f4cb3dba96a/5C6DE849/t51.2885-15/e35/c0.134.1080.1080/s150x150/44613585_352262458889612_3682803756175817040_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c1409df772cb7ec13ac60671a4777cf6/5C8CA703/t51.2885-15/e35/c0.134.1080.1080/s240x240/44613585_352262458889612_3682803756175817040_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/6b049c3c0a493d8fd9e3310c7187c062/5C6E7CB9/t51.2885-15/e35/c0.134.1080.1080/s320x320/44613585_352262458889612_3682803756175817040_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/c0aee4d2123513c93bc1481d2e53a7f2/5C6BF4E3/t51.2885-15/e35/c0.134.1080.1080/s480x480/44613585_352262458889612_3682803756175817040_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/751bdd40dd8105dac8ed6bd23d3d828c/5C723752/t51.2885-15/sh0.08/e35/c0.134.1080.1080/s640x640/44613585_352262458889612_3682803756175817040_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/751bdd40dd8105dac8ed6bd23d3d828c/5C723752/t51.2885-15/sh0.08/e35/c0.134.1080.1080/s640x640/44613585_352262458889612_3682803756175817040_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/84418d8c1356800c0652c20351dc3856/5C7FACF9/t51.2885-15/e35/44613585_352262458889612_3682803756175817040_n.jpg,tumblr,praiadolorde,sdvsf,tumbling,,praiana,tumbler,sdvtodos,sdv,praiadoforte,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/5bb8c74e2e241a795c71e601d3b2a126/5C81136E/t51.2885-15/e35/44365024_316314778967467_7497544043625740352_n.jpg,1952,1952,"Será o início de um feed vibes verão? 🤔 Espero que sim, mas acho que não vou conseguir manter o ritmo, vou tentar! 😂",102,1914942738350333836,false,"{""street_address"": """", ""zip_code"": ""40170-010"", ""city_name"": ""Salvador, Bahia, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,216085718,Praia do Forte Oficial,praia-do-forte-oficial,1191050316,BqTPkZUld-M,,,,,,,,,,1542498985,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/eaf4c8254d218c2c6dc1c1ef05c3c9ef/5CAF02E8/t51.2885-15/e35/c0.120.960.960/s150x150/44365024_316314778967467_7497544043625740352_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/6087a56e2bd3e1b3dab6103f865ca466/5C7DABA2/t51.2885-15/e35/c0.120.960.960/s240x240/44365024_316314778967467_7497544043625740352_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/b09f45f379a3840e7a1fe9ccae1186ca/5C7A1418/t51.2885-15/e35/c0.120.960.960/s320x320/44365024_316314778967467_7497544043625740352_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/ef9a86b78daa64b8819316c0730a9476/5C8E9542/t51.2885-15/e35/c0.120.960.960/s480x480/44365024_316314778967467_7497544043625740352_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/6daf4abba219dff754c687daa27b0846/5CB197E2/t51.2885-15/sh0.08/e35/c0.120.960.960/s640x640/44365024_316314778967467_7497544043625740352_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6daf4abba219dff754c687daa27b0846/5CB197E2/t51.2885-15/sh0.08/e35/c0.120.960.960/s640x640/44365024_316314778967467_7497544043625740352_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/5bb8c74e2e241a795c71e601d3b2a126/5C81136E/t51.2885-15/e35/44365024_316314778967467_7497544043625740352_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/eb3aecd802f5dcc6d9a1637d266da25a/5C906471/t51.2885-15/e35/44777940_2182665608620799_5803231116202362199_n.jpg,445,445,"Confesso que não imaginei que era tão burocrático praia com crianças, rs.
Mas, uma coisa eu digo: Vale a pena!
É muito gostoso ❤👙 #praiacombebes #bebenapraia #soldamanha #maternando #maternidadereal #sermaeeisso #cabofrio #praiadoforte #cf",12,1915458549192805183,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Cabo Frio"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,436414163395778,Praia Do Forte Cabo Frio,praia-do-forte-cabo-frio,796451956,BqVE2bmn0s_,sermaeeisso,maternidadereal,soldamanha,bebenapraia,cf,maternando,praiadoforte,cabofrio,praiacombebes,1542560474,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/4603e50136aff667ab4ba710716ee6c7/5CB1A04E/t51.2885-15/e35/s150x150/44777940_2182665608620799_5803231116202362199_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/63c26b4c66981a8bd7b98cd277d0457f/5C814748/t51.2885-15/e35/s240x240/44777940_2182665608620799_5803231116202362199_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/c9c4c95d68c94269021b8e189efea1b2/5C8D1536/t51.2885-15/e35/s320x320/44777940_2182665608620799_5803231116202362199_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/f51c85fb37b0141577f9eaa33080d4c3/5C7E6571/t51.2885-15/e35/s480x480/44777940_2182665608620799_5803231116202362199_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/aec4deb9ac7a35fd671238f59376a6ad/5CB253CB/t51.2885-15/sh0.08/e35/s640x640/44777940_2182665608620799_5803231116202362199_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/aec4deb9ac7a35fd671238f59376a6ad/5CB253CB/t51.2885-15/sh0.08/e35/s640x640/44777940_2182665608620799_5803231116202362199_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/eb3aecd802f5dcc6d9a1637d266da25a/5C906471/t51.2885-15/e35/44777940_2182665608620799_5803231116202362199_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/4f22da10c124c4e00ea942ca0bc12ed5/5C7DCCAD/t51.2885-15/e35/44600285_323837034919988_5382774325942927320_n.jpg,856,856,"Amizade é não ter vergonha de passar vergonha junto! 😜✌🏼 Bom diaaa!!!!!!))))
.
.
.
▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪
Use o cupon RAULBELEZA e ganhe 10% off: ✔@animalie_
▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪ #allinpetclub #somostaopet #cabofrio #amor❤ #goldenlove #goldenretriever #praia #golden #goldens #love #amazing #estadao #goodvibes #gloriousgoldens #ilovegolden_retrievers #dog #goldendreams #caobadacarioca #bichoextra #praiadoforte #rj #riodejaneiro #ilovegoldenretriever #jornaloglobo #iloveretriever #glamourgoldens #focinhoscariocas #vcnouol 
@golden_retrievers @ilove_goldenretriever @ilovegolden_retrievers @goldenretrievers 
@gloriousgoldens @retrieverpuppies",23,1914550085166185714,false,,,,,,4615489927,BqR2SijBjzy,goldenlove,jornaloglobo,love,golden,estadao,goldens,bichoextra,glamourgoldens,amazing,1542452177,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/a577560300635a210cd0468aafdca41e/5C7B3EEF/t51.2885-15/e35/s150x150/44600285_323837034919988_5382774325942927320_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f3b6c51b849bd073b55ab5c4e41e3621/5C6B86A5/t51.2885-15/e35/s240x240/44600285_323837034919988_5382774325942927320_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/2934471f65e1115b12ea91a4d51af975/5CAF521F/t51.2885-15/e35/s320x320/44600285_323837034919988_5382774325942927320_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/e92401f37d0096470e3c3940cba12048/5C76BC45/t51.2885-15/e35/s480x480/44600285_323837034919988_5382774325942927320_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/8d344a5afa8a37161e15654a1eb08352/5CB1A848/t51.2885-15/sh0.08/e35/s640x640/44600285_323837034919988_5382774325942927320_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8d344a5afa8a37161e15654a1eb08352/5CB1A848/t51.2885-15/sh0.08/e35/s640x640/44600285_323837034919988_5382774325942927320_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/4f22da10c124c4e00ea942ca0bc12ed5/5C7DCCAD/t51.2885-15/e35/44600285_323837034919988_5382774325942927320_n.jpg,vcnouol,goldenretriever,ilovegoldenretriever,rj,,riodejaneiro,iloveretriever,focinhoscariocas,praia,caobadacarioca,cabofrio,praiadoforte,goldendreams,somostaopet,ilovegolden_retrievers,dog,goodvibes,amor,allinpetclub,gloriousgoldens,,,,,,,,,,,,,
945,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/c388be6106b7134e5e00e59b3977f4d0/5C7A432C/t51.2885-15/e35/44505696_134214170898535_8815794781213614901_n.jpg,1,1,"ATENÇÃO

APENAS 01 SUÍTE LIVRE PARA CARNAVAL 2019...
SUÍTE COMPLETA COM :

FOGAO / GELADEIRA / TV LED 32 / CAMA BOX CASAL BANHEIRO UTENSÍLIOS DOMÉSTICOS *** NÃO CABE MAIS QUE 02 PESSOAS NÃO INSISTA !!!! BAIRRO PALMEIRAS ÁREA NOBRE 
PERTINHO SHOPPING PARCK LAGOS E RODOVIÁRIA
09 MIN CARRO PRAIA DO FORTE
15 MIN CARRO ARRAIAL DO CABO
17 MIN CARRO ILHA DO JAPONÊS E PRAIA DO PERÓ
25 MIN CARRO BÚZIOS

ACEITAMOS CARTÕES DE CRÉDITO PARCELADO 10X 
TX CARTAO

ZAP 21 998609655

#praia #sol #promoção#ofertas #paz #praiadoforte #cabofrio #paz #praiadoforte#praiana #praiana #022cabofrio #cabofriorj #mar #sol #promoção #ofertas #paz #praiadoforte #cabofrio #paz #praiadoforte #cabofrio #paz #praiadoforte #praiana #flatscabofrio #mar #sol #promoção #ofertas #paz#praiadoforte #cabofrio #paz #praiadoforte #praiana #022cabofrio

#carnaval #verão",0,1916314913519650078,false,,,,,,2173088788,BqYHkLCH0Ue,022cabofrio,mar,carnaval,cabofriorj,verão,paz,sol,promoção,praia,1542662561,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/d06765a0c4e848cc0e79f67091aabd7d/5C7BABCB/t51.2885-15/e35/c67.0.945.945/s150x150/44505696_134214170898535_8815794781213614901_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/40084b0d45831e26fcf3936e4480b67a/5C8EBA81/t51.2885-15/e35/c67.0.945.945/s240x240/44505696_134214170898535_8815794781213614901_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/bd219b274b78f60dd965d8706ecd7ae3/5CB0013B/t51.2885-15/e35/c67.0.945.945/s320x320/44505696_134214170898535_8815794781213614901_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/f4c14f828823e3b13c332e8d034daf9c/5C906E61/t51.2885-15/e35/c67.0.945.945/s480x480/44505696_134214170898535_8815794781213614901_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/08d2653aab243b39cc5f6f1652f3d735/5C847082/t51.2885-15/sh0.08/e35/c67.0.945.945/s640x640/44505696_134214170898535_8815794781213614901_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/08d2653aab243b39cc5f6f1652f3d735/5C847082/t51.2885-15/sh0.08/e35/c67.0.945.945/s640x640/44505696_134214170898535_8815794781213614901_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c388be6106b7134e5e00e59b3977f4d0/5C7A432C/t51.2885-15/e35/44505696_134214170898535_8815794781213614901_n.jpg,flatscabofrio,ofertas,cabofrio,praiadoforte,,praiana,,,,,,,,,,,,,,,false,,,,,,,,,,,,
