dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location,owner/id,shortcode,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,location/address_json,location/has_public_page,location/id,location/name,location/slug,urls/1,urls/2,urls/3,urls/4,comments_disabled,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,video_view_count,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,urls/5,urls/6,urls/7,urls/8,urls/9,tags/28,tags/29
1347,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/4fd295dd49c2b45ec8d593179ac9b017/5C6F6735/t51.2885-15/e35/44531723_1493682694098119_7352540187328285815_n.jpg,675,675,Bem metaleira pro show que eu esperei desde abril🤘☠️ #judaspriest  #firepowertour #rockrj #metalgirl #metalhead #solidrockfestival #rockgirl,23,1910488749586786945,false,,696513881,BqDa2VCgCqB,firepowertour,rockgirl,metalgirl,judaspriest,rockrj,metalhead,solidrockfestival,1541968028,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/aa5cea25915c7a15cfeca38a7578652f/5C8207C0/t51.2885-15/e35/c0.133.1080.1080/s150x150/44531723_1493682694098119_7352540187328285815_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/0687914499417e6f6b298aeb9e21d2a0/5C7D76C6/t51.2885-15/e35/c0.133.1080.1080/s240x240/44531723_1493682694098119_7352540187328285815_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/d31d5543769574d1b93d975197fee750/5C794FB8/t51.2885-15/e35/c0.133.1080.1080/s320x320/44531723_1493682694098119_7352540187328285815_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/b3cc865ce72e63b742d234735c0dda3b/5CAFCEFF/t51.2885-15/e35/c0.133.1080.1080/s480x480/44531723_1493682694098119_7352540187328285815_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d10ad2e2f979d5f5a8e95e35f472bdd8/5C724957/t51.2885-15/sh0.08/e35/c0.133.1080.1080/s640x640/44531723_1493682694098119_7352540187328285815_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d10ad2e2f979d5f5a8e95e35f472bdd8/5C724957/t51.2885-15/sh0.08/e35/c0.133.1080.1080/s640x640/44531723_1493682694098119_7352540187328285815_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/4fd295dd49c2b45ec8d593179ac9b017/5C6F6735/t51.2885-15/e35/44531723_1493682694098119_7352540187328285815_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/2eb524356d3f2e157b8d4374f6010bc0/5CB1D363/t51.2885-15/e35/43913947_333529537447765_4682388681476234915_n.jpg,93,93,"Eu, uma cerveja e um armário vermelho #solidrockfestival",1,1911706498887616635,false,,2461039380,BqHvu6dAIh7,solidrockfestival,,,,,,,1542113195,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/ad14303a2730c13e930e3f00ae0ffaac/5C6B6E3B/t51.2885-15/e35/c0.135.1080.1080/s150x150/43913947_333529537447765_4682388681476234915_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/5925efd0e1bd1f471e4d952251eea4af/5CAE7071/t51.2885-15/e35/c0.135.1080.1080/s240x240/43913947_333529537447765_4682388681476234915_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/75d2131a321d00e4559bebb28325c88d/5C6FEECB/t51.2885-15/e35/c0.135.1080.1080/s320x320/43913947_333529537447765_4682388681476234915_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/1dab033f1800c0ee72e430fefbf95461/5C82A891/t51.2885-15/e35/c0.135.1080.1080/s480x480/43913947_333529537447765_4682388681476234915_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/62b969cc5a237ebd7f88be75fb5279a4/5C840C20/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43913947_333529537447765_4682388681476234915_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/62b969cc5a237ebd7f88be75fb5279a4/5C840C20/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43913947_333529537447765_4682388681476234915_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2eb524356d3f2e157b8d4374f6010bc0/5CB1D363/t51.2885-15/e35/43913947_333529537447765_4682388681476234915_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/ae6f8e5c1b3e9dc699660e10b7b0c9ed/5C83CE2E/t51.2885-15/e35/43915066_197089264539161_3091057390325741589_n.jpg,107,107,"Namore alguém que fique 7 horas na fila com você pra pegar grade.

#judaspriest #solidrockfestival",7,1908278770130191625,false,,4196523547,Bp7kW5SB4UJ,judaspriest,solidrockfestival,,,,,,1541704578,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/0009fc2d33dfad9677107a9b5535bc2d/5C911A6C/t51.2885-15/e35/s150x150/43915066_197089264539161_3091057390325741589_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/d4684e8cdfce3b1d555b16821d0dcbe3/5CAF8326/t51.2885-15/e35/s240x240/43915066_197089264539161_3091057390325741589_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/ad1cbf8be3f747fc03ba28a9212ad045/5C705B9C/t51.2885-15/e35/s320x320/43915066_197089264539161_3091057390325741589_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/04f7e503c40cc65e1324b81ec347d61e/5C8205C6/t51.2885-15/e35/s480x480/43915066_197089264539161_3091057390325741589_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/07d4de55d92c03df9e745d3c7eb814db/5C8BF3CB/t51.2885-15/sh0.08/e35/s640x640/43915066_197089264539161_3091057390325741589_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/07d4de55d92c03df9e745d3c7eb814db/5C8BF3CB/t51.2885-15/sh0.08/e35/s640x640/43915066_197089264539161_3091057390325741589_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ae6f8e5c1b3e9dc699660e10b7b0c9ed/5C83CE2E/t51.2885-15/e35/43915066_197089264539161_3091057390325741589_n.jpg,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Curitiba, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,251523672,Pedreira Paulo Leminski,pedreira-paulo-leminski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/2107c220047e158dc209de8076c9efbc/5C7F8308/t51.2885-15/e35/43755731_2321479104560680_1866311208188968038_n.jpg,295,295,"Alice in Chains en Bs As, ahora mismo 🤘la crónica en la próxima Jedbangers.
📷: @martindarksoul .
.
.
.
.
#aliceinchains #SolidRockFestival #jerrycantrell #williamduvall",10,1905525766399846380,false,,1550644793,BpxyZawnefs,jerrycantrell,williamduvall,aliceinchains,SolidRockFestival,,,,1541376394,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/0b82431ca1ae244206946683e3e2e3a0/5C906637/t51.2885-15/e35/s150x150/43755731_2321479104560680_1866311208188968038_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f6bdfa21e2abc4b494a1b12332fe880a/5C80B631/t51.2885-15/e35/s240x240/43755731_2321479104560680_1866311208188968038_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/e6a69167a1dbebbe7b7454359fa864ed/5C6A1B4F/t51.2885-15/e35/s320x320/43755731_2321479104560680_1866311208188968038_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/e44c7edd479a16dde7319f7bc21e9232/5C750808/t51.2885-15/e35/s480x480/43755731_2321479104560680_1866311208188968038_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/029841c9b45fcc12c7b4f9e6203850b4/5C6E76B2/t51.2885-15/sh0.08/e35/s640x640/43755731_2321479104560680_1866311208188968038_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/029841c9b45fcc12c7b4f9e6203850b4/5C6E76B2/t51.2885-15/sh0.08/e35/s640x640/43755731_2321479104560680_1866311208188968038_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2107c220047e158dc209de8076c9efbc/5C7F8308/t51.2885-15/e35/43755731_2321479104560680_1866311208188968038_n.jpg,"{""street_address"": ""Avenida Constituyentes"", ""zip_code"": ""1638"", ""city_name"": ""Buenos Aires, Argentina"", ""region_name"": """", ""country_code"": ""AR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,1019934352,"Tecnopolis. Buenos Aires, Argentina",tecnopolis-buenos-aires-argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/23d17fa9e501ddfa22ab7d01f7d1b079/5C7E198C/t51.2885-15/e35/44254760_300440270567837_7174509189259638090_n.jpg,60,60,Sempre tem que ter aquela foto do meu cabelo em lugares diferentes kkkk #solidrockfestival,1,1910409494530473527,false,,2461039380,BqDI1BBBb43,solidrockfestival,,,,,,,1541958580,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/9cf10f7cdc2ea4300d824880d9dfce7d/5C7399D4/t51.2885-15/e35/c0.135.1080.1080/s150x150/44254760_300440270567837_7174509189259638090_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/50d479c9d006f6ce7181a12cbe4b8055/5C6EAE9E/t51.2885-15/e35/c0.135.1080.1080/s240x240/44254760_300440270567837_7174509189259638090_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/8f53ef830993c2c794219f7c875f04b8/5C8E8824/t51.2885-15/e35/c0.135.1080.1080/s320x320/44254760_300440270567837_7174509189259638090_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/6ab980d0b24ed5083b425cfd134d8628/5C73A07E/t51.2885-15/e35/c0.135.1080.1080/s480x480/44254760_300440270567837_7174509189259638090_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/61a5eb40e6fd45049b0ef998d92aa8ae/5C7F8BCF/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44254760_300440270567837_7174509189259638090_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/61a5eb40e6fd45049b0ef998d92aa8ae/5C7F8BCF/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44254760_300440270567837_7174509189259638090_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/23d17fa9e501ddfa22ab7d01f7d1b079/5C7E198C/t51.2885-15/e35/44254760_300440270567837_7174509189259638090_n.jpg,"{""street_address"": ""Rua Palestra It\u00e1lia "", ""zip_code"": ""05005-000"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,240205709,Allianz Parque,allianz-parque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/92f5f2c82779047e8b9c8891602bbbe3/5C6D3B68/t51.2885-15/e35/43915298_221793505201389_4751559850703927481_n.jpg,45,45,#solidrockfestival #aliceinchains #judaspriest,1,1910014650403991941,false,,1580508930,BqBvDRxHzGF,aliceinchains,judaspriest,solidrockfestival,,,,,1541911511,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/1815481e3c5d8fc7268d426d5e0f8b0e/5CB12B2A/t51.2885-15/e35/s150x150/43915298_221793505201389_4751559850703927481_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/927eb2a53c3d0cc75d73fcee61318ee7/5C7C0560/t51.2885-15/e35/s240x240/43915298_221793505201389_4751559850703927481_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/144f515d454d6ee50c5e6c2b3f41b334/5C773ADA/t51.2885-15/e35/s320x320/43915298_221793505201389_4751559850703927481_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/e65419e936ac17589b94e109bf4d801d/5C6B2E80/t51.2885-15/e35/s480x480/43915298_221793505201389_4751559850703927481_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/1edddce43819c60c77e0d419e6a2c387/5C7BBD8D/t51.2885-15/sh0.08/e35/s640x640/43915298_221793505201389_4751559850703927481_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1edddce43819c60c77e0d419e6a2c387/5C7BBD8D/t51.2885-15/sh0.08/e35/s640x640/43915298_221793505201389_4751559850703927481_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/92f5f2c82779047e8b9c8891602bbbe3/5C6D3B68/t51.2885-15/e35/43915298_221793505201389_4751559850703927481_n.jpg,"{""street_address"": """", ""zip_code"": ""08529-310"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,166795027523144,Alianz Park,alianz-park,https://instagram.fplu4-1.fna.fbcdn.net/vp/ab3cf366644e13c965900993cfa98169/5BF55B3D/t50.2886-16/45313408_280376202591609_7026825031216579033_n.mp4,https://instagram.fplu4-1.fna.fbcdn.net/vp/bda096a1c23f7516ab6c58ae40013c04/5BF57E88/t50.2886-16/45430563_2515922728434296_4068109345400810843_n.mp4,https://instagram.fplu4-1.fna.fbcdn.net/vp/273e60386b3623e6a195aca6624a1b25/5C73C5F6/t51.2885-15/e35/44244419_1498119463625138_6805843041466981315_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/93770c9dddfbc7852096b91bd4c7124a/5BF599B1/t50.2886-16/45589681_249373562423566_7434531519001408916_n.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/99bc19eef5e633c49a209b280b52b92a/5CAE20F1/t51.2885-15/e35/43023957_899984866875677_6513168086381119378_n.jpg,57,57,Como nois queria estar 🖤🍺 #solidrockfestival,4,1911231349583732025,false,,382113473,BqGDslLh105,solidrockfestival,,,,,,,1542056553,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/6d2750b82ec55e1ce98b0df7ab8de545/5CB0E2B3/t51.2885-15/e35/s150x150/43023957_899984866875677_6513168086381119378_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/76c810a670c0130f49cf9bf3e5329ccd/5C8027F9/t51.2885-15/e35/s240x240/43023957_899984866875677_6513168086381119378_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/7707b9e3e3be8b6d56605e80e6766bf8/5C7B0743/t51.2885-15/e35/s320x320/43023957_899984866875677_6513168086381119378_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/3cd22b92cc5d02038e57153ced7b215e/5C7AAD19/t51.2885-15/e35/s480x480/43023957_899984866875677_6513168086381119378_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/f06b6cd862e515022bc4d4e3e7dc43b6/5C6A7E14/t51.2885-15/sh0.08/e35/s640x640/43023957_899984866875677_6513168086381119378_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/f06b6cd862e515022bc4d4e3e7dc43b6/5C6A7E14/t51.2885-15/sh0.08/e35/s640x640/43023957_899984866875677_6513168086381119378_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/99bc19eef5e633c49a209b280b52b92a/5CAE20F1/t51.2885-15/e35/43023957_899984866875677_6513168086381119378_n.jpg,"{""street_address"": ""Allianz Parque "", ""zip_code"": """", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,193024594953150,Solid Rock Festival,solid-rock-festival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/c80ef158ddc5fef2d7c716217981871f/5CB10D64/t51.2885-15/e35/44812896_309130953005364_2110032504579638846_n.jpg,445,445,"#Time4Fun ⚡ ¿Querés ir al #SolidRockFestival? Participá ahora por 2 tickets, es muy fácil. Seguí a nuestra cuenta y comentá esta publicación arrobando con quién irías y por qué tenés que ganar. ¡Mañana anunciamos el ganador! APURATE EN PARTICIPAR.
~
Disclaimer: es necesario que cumplas los requisitos antes mencionados y tengas tu perfil público para participar.",642,1903311785182423822,false,,3125064010,Bpp6_wEnOsO,Time4Fun,?,,,,,,1541112467,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/02ba295e2a5f0b2b9982320915b3d46b/5C75FF26/t51.2885-15/e35/s150x150/44812896_309130953005364_2110032504579638846_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/a745ab98fc2206bb778048587a9d8564/5C8BCE6C/t51.2885-15/e35/s240x240/44812896_309130953005364_2110032504579638846_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/db8275d8e78aa016922a1accbc11f326/5C8E7FD6/t51.2885-15/e35/s320x320/44812896_309130953005364_2110032504579638846_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/288749bb6a85b12726af1eaa670e5006/5C821E8C/t51.2885-15/e35/s480x480/44812896_309130953005364_2110032504579638846_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/678fa3faf93f6240d888a2ad3207271d/5C6DE781/t51.2885-15/sh0.08/e35/s640x640/44812896_309130953005364_2110032504579638846_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/678fa3faf93f6240d888a2ad3207271d/5C6DE781/t51.2885-15/sh0.08/e35/s640x640/44812896_309130953005364_2110032504579638846_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c80ef158ddc5fef2d7c716217981871f/5CB10D64/t51.2885-15/e35/44812896_309130953005364_2110032504579638846_n.jpg,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Buenos Aires, Argentina"", ""region_name"": """", ""country_code"": ""AR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,11404497,"Buenos Aires, Argentina",buenos-aires-argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/2144139ed5f098e8b0186a7e3f180ea8/5CADB083/t51.2885-15/e35/44749284_280730162645579_2655549637133562551_n.jpg,491,491,"Halford y Cantrell se están mimetizando con el look 😂

#SolidRockFestival ⏰ Estos son los horarios del Festival
🚪 Apertura de Puertas 16:00 hs
✨ HUMO DEL CAIRO 17:00 hs
⚡ Helker 17:45 hs
⚡ ON-OFF 18:30 hs
⭐ Black Star Riders 19:30 hs
⛓ Alice in Chains 20:30 hs
😎 Judas Priest 22:00 hs
Entradas: http://bit.ly/2CXrZfy .
.
.
#jerrycantrell #robhalford",7,1905352419774850825,false,,1550644793,BpxK-5InGcJ,jerrycantrell,robhalford,SolidRockFestival,,,,,1541355730,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/cb528606b65671c8c4fb6b346b6ff94a/5C7867C1/t51.2885-15/e35/s150x150/44749284_280730162645579_2655549637133562551_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/ed098d8607ee9cd69a95bc95ef1339d3/5C8DE18B/t51.2885-15/e35/s240x240/44749284_280730162645579_2655549637133562551_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/83eb94f00ff72c7cdcaa9425b8006542/5CAF9931/t51.2885-15/e35/s320x320/44749284_280730162645579_2655549637133562551_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/990806565189091d4fde32168b6da59b/5C8FB36B/t51.2885-15/e35/s480x480/44749284_280730162645579_2655549637133562551_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/0110c59591c8ba5904fa1decdbc366b5/5C909F66/t51.2885-15/sh0.08/e35/s640x640/44749284_280730162645579_2655549637133562551_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/0110c59591c8ba5904fa1decdbc366b5/5C909F66/t51.2885-15/sh0.08/e35/s640x640/44749284_280730162645579_2655549637133562551_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2144139ed5f098e8b0186a7e3f180ea8/5CADB083/t51.2885-15/e35/44749284_280730162645579_2655549637133562551_n.jpg,,,,,,https://instagram.fplu4-1.fna.fbcdn.net/vp/41e945a09c9692508037deb0454655e4/5CAC9994/t51.2885-15/e35/43817989_320333562081631_3728603496312316722_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/686d6b812063bec8fb71dd292df01e2d/5C8DE5D8/t51.2885-15/e35/43986176_184895972415261_2986211200478245768_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/4f0d97b28fb02f9a96d72b903d1e4bed/5C727C76/t51.2885-15/e35/44800597_209257833302556_2808187443550809302_n.jpg,153,153,"Foi enérgico ver e ouvir o Hudas Priest entrar no palco com toda aquela potência sonora!!! O ''Metal God'' @robhalfordlegacy parecia um ciborgue do Metal, do outro lado ouvia as guitarras rasgadas em riffs e solos harmoniosos! Foi foda demais, um show onde você respira vitalidade musical! INESQUECÍVEL!

#belohorizonte #brazil #energy #frontman #heavymetal #judaspriest #metal #metalgod #music #show #firepower #robhalford #vocal #judaspriestfans #solidrockfestival",1,1916092799210440661,false,,4904980841,BqXVD-9n0fV,brazil,judaspriest,heavymetal,show,energy,frontman,metal,1542636083,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e2a39f9ba9fa18afaa8e1a9ce25ada68/5C7EA8C1/t51.2885-15/e35/c194.0.577.577/s150x150/44800597_209257833302556_2808187443550809302_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/7f69315a14284719047ef2933237cc09/5C90668B/t51.2885-15/e35/c194.0.577.577/s240x240/44800597_209257833302556_2808187443550809302_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/1ed2e5957082026698d3e9bc53425d66/5C81AD31/t51.2885-15/e35/c194.0.577.577/s320x320/44800597_209257833302556_2808187443550809302_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/980d4537367b206196e8ef6bc1bf94ff/5C76896B/t51.2885-15/e35/c194.0.577.577/s480x480/44800597_209257833302556_2808187443550809302_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/ba90a48285a45d8f59cb0f6edfc2bd8f/5C7CC71B/t51.2885-15/e35/c194.0.577.577/44800597_209257833302556_2808187443550809302_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/ba90a48285a45d8f59cb0f6edfc2bd8f/5C7CC71B/t51.2885-15/e35/c194.0.577.577/44800597_209257833302556_2808187443550809302_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/4f0d97b28fb02f9a96d72b903d1e4bed/5C727C76/t51.2885-15/e35/44800597_209257833302556_2808187443550809302_n.jpg,,,,,,,,,,false,robhalford,vocal,metalgod,music,firepower,judaspriestfans,belohorizonte,solidrockfestival,,,,,,,,,,,,,,,,,,,,,
