dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location,owner/id,shortcode,tags/0,tags/1,tags/2,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,video_view_count,tags/3,location/address_json,location/has_public_page,location/id,location/name,location/slug,tags/4,comments_disabled,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,urls/1,urls/2,urls/3,urls/4,urls/5,urls/6,urls/7,urls/8,urls/9,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,tags/28,tags/29
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/d8801f82758122e5396c1483f4d5eae7/5BF56C5E/t51.2885-15/e15/21042437_857777744379926_4158398322513543168_n.jpg,195,195,"Impossível se sentir indiferente quando as cortinas se abrem e a @barcadoscoracoespartidos vem com tudo ao som de ""Ponteio"". 💛

#SuassunaOAutodoReinodoSol #BarcadosCoracoesPartidos #SarauAgênciadeCulturaBrasileira",18,1592993426056297522,true,,5416398161,BYbcxS5njwy,BarcadosCoracoesPartidos,SarauAgênciadeCulturaBrasileira,SuassunaOAutodoReinodoSol,1504119636,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/bdf57ec6a55beea1124329673589247f/5BF5C6BF/t51.2885-15/e15/s150x150/21042437_857777744379926_4158398322513543168_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/dfb23943fb484d3f7c8be557a32092da/5BF59FB5/t51.2885-15/e15/s240x240/21042437_857777744379926_4158398322513543168_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/5be6c6ee0c4579101051e6193be72b4b/5BF57F8F/t51.2885-15/e15/s320x320/21042437_857777744379926_4158398322513543168_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/afc3de1b8a7f7d84eb333c84eb9588a6/5BF55415/t51.2885-15/e15/s480x480/21042437_857777744379926_4158398322513543168_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/cfcfd5f3f409e2b02dbbe89852128391/5BF579E0/t51.2885-15/e15/s640x640/21042437_857777744379926_4158398322513543168_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/cfcfd5f3f409e2b02dbbe89852128391/5BF579E0/t51.2885-15/e15/s640x640/21042437_857777744379926_4158398322513543168_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/36027180f9a367f5270e569f03d08a60/5BF56570/t50.2886-16/21250432_127227341252233_5702161601948286976_n.mp4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/80ae538674bc778ea8032d3fba53039d/5BF59B57/t51.2885-15/e35/35575728_2148422965389938_6727876010722721792_n.jpg,340,340,"Um convite desses, bicho! É de partir os corações. 💔

Últimas apresentações, sampa! 
#auê #SuassunaOAutodoReinodoSol #barcadoscoracoespartidos #SarauAgênciadeCultura",41,1809734159510712068,true,,5639944374,Bkdd6Ezhq8E,barcadoscoracoespartidos,auê,SarauAgênciadeCultura,1529957241,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/b16793d73dce319cbb8b56657c33c326/5BF5A8E8/t51.2885-15/e35/s150x150/35575728_2148422965389938_6727876010722721792_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/50c190f718502bec9af7b0defc26e363/5BF552AE/t51.2885-15/e35/s240x240/35575728_2148422965389938_6727876010722721792_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/b3457e167b51839c0c0f1e853c862a5c/5BF5BC50/t51.2885-15/e35/s320x320/35575728_2148422965389938_6727876010722721792_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/08639e73c1d1cc27c8723cec864123aa/5BF5EF57/t51.2885-15/e35/s480x480/35575728_2148422965389938_6727876010722721792_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/80ae538674bc778ea8032d3fba53039d/5BF59B57/t51.2885-15/e35/35575728_2148422965389938_6727876010722721792_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/80ae538674bc778ea8032d3fba53039d/5BF59B57/t51.2885-15/e35/35575728_2148422965389938_6727876010722721792_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e1345047a2be920d885d4f60dcf6e35a/5BF58E24/t50.2886-16/36181305_198262721012785_7229048782350974976_n.mp4,0,SuassunaOAutodoReinodoSol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,612,https://instagram.fplu4-1.fna.fbcdn.net/vp/f3758f3e5bbecbf3f066363794c64797/5BF54CAF/t51.2885-15/e15/40272236_883194168544361_3694519162814149380_n.jpg,419,419,"Mensagem do nosso querido Adren Alves!
#suassunaoautodoreinodosol",23,1864830333397354171,true,,5639944374,BnhNU7Uhca7,suassunaoautodoreinodosol,,,1536525391,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/62ad2b202b731831a00b525f36253667/5BF5500E/t51.2885-15/e15/s150x150/40272236_883194168544361_3694519162814149380_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/08cfcf5eca528ce52eb18b8b8b27a638/5BF5AD84/t51.2885-15/e15/s240x240/40272236_883194168544361_3694519162814149380_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/50caf6df264eee0a97a9730c904c3f26/5BF5DB7E/t51.2885-15/e15/s320x320/40272236_883194168544361_3694519162814149380_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/87380bf05210f6b24104d2186ec5ccf1/5BF56A24/t51.2885-15/e15/s480x480/40272236_883194168544361_3694519162814149380_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/f3758f3e5bbecbf3f066363794c64797/5BF54CAF/t51.2885-15/e15/40272236_883194168544361_3694519162814149380_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/f3758f3e5bbecbf3f066363794c64797/5BF54CAF/t51.2885-15/e15/40272236_883194168544361_3694519162814149380_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/2f1a38ad5228ec3a4a863d8eb613e26e/5BF5A9B4/t50.2886-16/40238603_928909513974961_5401466547803783168_n.mp4,0,,"{""street_address"": ""Alameda Bar\u00e3o de Piracicaba, 740"", ""zip_code"": ""01216-012"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,698369011,Teatro Porto Seguro,teatro-porto-seguro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/25a2903dfc60193735ccf930ba9a01d9/5C6D2A19/t51.2885-15/e35/23164389_1480128492041288_6252422864767549440_n.jpg,297,297,Uma rosa no jasmineiro... Dona Zélia Suassuna e família foram nos prestigiar ontem. Hoje é o último dia! 🤡 #SuassunaOAutoDoReinodoSol #SarauAgência #teatroguararapesrecife #BarcadoscoraçõesPartidos #ArianoSuassuna,22,1640660466447223265,false,,5416398161,BbEzABrnQnh,BarcadoscoraçõesPartidos,SarauAgência,SuassunaOAutoDoReinodoSol,1509801990,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/a6b73b54a40db806acb2ce1a44788da0/5C77BF81/t51.2885-15/e35/c48.0.983.983/s150x150/23164389_1480128492041288_6252422864767549440_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/8dd9f6796bae8562f7426647a86af089/5C7CC487/t51.2885-15/e35/c48.0.983.983/s240x240/23164389_1480128492041288_6252422864767549440_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/5665677b7bbfc122c0cc5868fd94cdd6/5CB169F9/t51.2885-15/e35/c48.0.983.983/s320x320/23164389_1480128492041288_6252422864767549440_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/5a549157a5220cbb6dc71d33b63debbd/5C8BC0BE/t51.2885-15/e35/c48.0.983.983/s480x480/23164389_1480128492041288_6252422864767549440_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/933d71fe799caf851833fc535afe8c7a/5C703AD7/t51.2885-15/sh0.08/e35/c48.0.983.983/s640x640/23164389_1480128492041288_6252422864767549440_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/933d71fe799caf851833fc535afe8c7a/5C703AD7/t51.2885-15/sh0.08/e35/c48.0.983.983/s640x640/23164389_1480128492041288_6252422864767549440_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/25a2903dfc60193735ccf930ba9a01d9/5C6D2A19/t51.2885-15/e35/23164389_1480128492041288_6252422864767549440_n.jpg,,teatroguararapesrecife,"{""street_address"": ""Avenida Governador Agamenon Magalh\u00e3es, Olinda"", ""zip_code"": ""52051-120"", ""city_name"": ""Olinda, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,863330,Centro de convencoes,centro-de-convencoes,ArianoSuassuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/5fa039cc9e421398a02fa56e548320b6/5C761F7D/t51.2885-15/e35/38790483_493358641131604_9035509274792151576_n.jpg,509,509,Recebemos essa energia linda hoje no @suassunaoauto ! Obrigada pelo abraço @ailton_graca_oficial @nessaloes @thiagolacerdas #suassunaoautodoreinodosol #sarauagencia #barcadoscoracoespartidos,8,1849093217849907425,false,,5639944374,BmpTHwWhxjh,sarauagencia,barcadoscoracoespartidos,suassunaoautodoreinodosol,1534649110,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/3e4d6f49ae41f04a610ceb4652fc6af8/5C82AD48/t51.2885-15/e35/c135.0.809.809/s150x150/38790483_493358641131604_9035509274792151576_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/60e49a1f96bf83dbaba75e15592dd332/5C837F02/t51.2885-15/e35/c135.0.809.809/s240x240/38790483_493358641131604_9035509274792151576_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/e059c9b2d9fe96efef37b8d587912987/5C79B1B8/t51.2885-15/e35/c135.0.809.809/s320x320/38790483_493358641131604_9035509274792151576_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/3e854faf3b0bc38fb6266a8cf3a7dcf7/5CAF2EE2/t51.2885-15/e35/c135.0.809.809/s480x480/38790483_493358641131604_9035509274792151576_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d9d81f06c9c33debe4f6aee563042260/5C741C42/t51.2885-15/sh0.08/e35/c135.0.809.809/s640x640/38790483_493358641131604_9035509274792151576_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d9d81f06c9c33debe4f6aee563042260/5C741C42/t51.2885-15/sh0.08/e35/c135.0.809.809/s640x640/38790483_493358641131604_9035509274792151576_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/5fa039cc9e421398a02fa56e548320b6/5C761F7D/t51.2885-15/e35/38790483_493358641131604_9035509274792151576_n.jpg,,,"{""street_address"": ""Alameda Bar\u00e3o de Piracicaba, 740"", ""zip_code"": ""01216-012"", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,698369011,Teatro Porto Seguro,teatro-porto-seguro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/aa1d1dd93d238cac2d8b5b9cd1a25c23/5BF5D6AE/t51.2885-15/e35/19933421_362815160815809_2825424156701491200_n.jpg,186,186,"""Quem dará..."" 🎶🎵 #SuassunaOAutodoReinodoSol #BarcadosCoracoesPartidos #SarauAgênciadeCulturaBrasileira",8,1604607937636964726,true,,5416398161,BZEtmrun5l2,BarcadosCoracoesPartidos,SarauAgênciadeCulturaBrasileira,SuassunaOAutodoReinodoSol,1505504193,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/1242128793a8e084d156fbd2898789fd/5BF5CDEC/t51.2885-15/e35/s150x150/19933421_362815160815809_2825424156701491200_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/2c9f4cfa2febedc0f402fba7383840b8/5BF59AA6/t51.2885-15/e35/s240x240/19933421_362815160815809_2825424156701491200_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/b8ebb41a31047e19bda118fedf5ae0cd/5BF5E81C/t51.2885-15/e35/s320x320/19933421_362815160815809_2825424156701491200_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/c29c770ec3e007d93c5d7c981f42640c/5BF59E06/t51.2885-15/e35/s480x480/19933421_362815160815809_2825424156701491200_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/8f481afa570c8b02940c1ba3cc6de924/5BF5AF4B/t51.2885-15/sh0.08/e35/s640x640/19933421_362815160815809_2825424156701491200_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/8f481afa570c8b02940c1ba3cc6de924/5BF5AF4B/t51.2885-15/sh0.08/e35/s640x640/19933421_362815160815809_2825424156701491200_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/020094b918193533eab1d1162f6e1da3/5BF5D4E2/t50.2886-16/21813854_126157358039693_8612605516742393856_n.mp4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/e128f2d5e0b04a28f8ef705f376c7ed3/5C7A983A/t51.2885-15/e35/21373556_136323143644557_8417154521607700480_n.jpg,179,179,"Tem sessão extra de @SuassunaOAuto no feriado!
.
💛 Quinta, dia 07, às 18h.
💛 Sexta, dia 08, às 21h.
💛 Sábado, dia 09, às 21h.
💛 Domingo, dia 10, às 18h.
.
Compre na bilheteria do SESC ou pela internet.

Em cartaz no SESC Vila Mariana - SP.

#SuassunaOAutodoReinodoSol #BarcadosCoracoesPartidos
#SarauAgênciadeCulturaBrasileira #SescVilaMariana",10,1598044598966285541,false,,5416398161,BYtZRiQnfTl,BarcadosCoracoesPartidos,SarauAgênciadeCulturaBrasileira,SuassunaOAutodoReinodoSol,1504721783,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/5be8780dacef39461cdfe8a0467147ac/5C7B7C86/t51.2885-15/e35/c68.0.640.640/s150x150/21373556_136323143644557_8417154521607700480_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/5c1dc5d357ed3bbc14db41750cc57ec2/5CAD78CC/t51.2885-15/e35/c68.0.640.640/s240x240/21373556_136323143644557_8417154521607700480_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/9dfaa49ba33668b83998d94f67c22d77/5C8DDD76/t51.2885-15/e35/c68.0.640.640/s320x320/21373556_136323143644557_8417154521607700480_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/30625d2110384221667254c51c354b76/5C6C672C/t51.2885-15/e35/c68.0.640.640/s480x480/21373556_136323143644557_8417154521607700480_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/c001bd7091b07c904290adb2441f41bf/5C7B0B94/t51.2885-15/e35/c68.0.640.640/21373556_136323143644557_8417154521607700480_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c001bd7091b07c904290adb2441f41bf/5C7B0B94/t51.2885-15/e35/c68.0.640.640/21373556_136323143644557_8417154521607700480_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/e128f2d5e0b04a28f8ef705f376c7ed3/5C7A983A/t51.2885-15/e35/21373556_136323143644557_8417154521607700480_n.jpg,,SescVilaMariana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/d0c516f18531472348b504dc7713ddf8/5CB084DB/t51.2885-15/e35/22220742_1748920578734924_8727539202360606720_n.jpg,161,161,"Dois mestres! Nosso diretor 
@luizcarlosvasconceloscosta com Antunes Filho. #SuassunaOAutoDoReinodoSol #sarauagencia #BarcadoscoraçõesPartidos #sescvilamariana",3,1616062400658471921,false,,5416398161,BZtaDDuHPvx,BarcadoscoraçõesPartidos,sarauagencia,SuassunaOAutoDoReinodoSol,1506869672,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/afe8d785361f022bc2322eef96dfb9a6/5C8434E4/t51.2885-15/e35/s150x150/22220742_1748920578734924_8727539202360606720_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/52b2ea4a1f63f7389301547ad7794af9/5CAECCE2/t51.2885-15/e35/s240x240/22220742_1748920578734924_8727539202360606720_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/9e011a8162638ea322e13d611a840503/5C7A239C/t51.2885-15/e35/s320x320/22220742_1748920578734924_8727539202360606720_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/7fe44c6ff6da7ce5708304483cb11161/5C6A6DDB/t51.2885-15/e35/s480x480/22220742_1748920578734924_8727539202360606720_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/1b493107b0b580ec17416041738ac1ed/5C76F761/t51.2885-15/sh0.08/e35/s640x640/22220742_1748920578734924_8727539202360606720_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1b493107b0b580ec17416041738ac1ed/5C76F761/t51.2885-15/sh0.08/e35/s640x640/22220742_1748920578734924_8727539202360606720_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d0c516f18531472348b504dc7713ddf8/5CB084DB/t51.2885-15/e35/22220742_1748920578734924_8727539202360606720_n.jpg,,sescvilamariana,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,213163910,"São Paulo, Brazil",sao-paulo-brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/6f81cda50f6449d87721a5be04603ed2/5BF57550/t51.2885-15/e35/44647517_124120195248188_4185236317460272812_n.jpg,29,29,"Nós queriamos ter fotografado, filmado mais, mas não conseguimos. É simplesmente impossível ficar 1 só segundo sem degustar cada detalhe deste maravilhoso musical.

Atuação, produção, figurino, trilha sonora, direção, tudo impecável. Não há o que reclamar. É emocionante, engraçado, mexe com o público a todo momento. 
Ficou com vontade? Amanhã tem a segunda e última sessão de @suassunaoauto da cia  @barcadoscoracoespartidos. Será no Centro Cultural Matarazzo, Teatro Paulo Roberto Lisboa, às 20h.

Ah, é de graça. Aproveite!

Parabéns ao FENTEPP!

#teatro #barcadoscoracoespartidos #suassunaoautodoreinodosol #arianosuassuna",1,1915004989974994975,true,,2284709860,BqTduRqj2Af,barcadoscoracoespartidos,arianosuassuna,teatro,1542506741,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/225b45e67f06c45870b1827bf94e63a3/5BF578D2/t51.2885-15/e35/s150x150/44647517_124120195248188_4185236317460272812_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/afad34c3faf29cfee59ed9b7ac721e1a/5BF5B818/t51.2885-15/e35/s240x240/44647517_124120195248188_4185236317460272812_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/09e6768bfdee3c65c085e1e6d3bd6b6d/5BF563E2/t51.2885-15/e35/s320x320/44647517_124120195248188_4185236317460272812_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/11d0600d7cbb9a2ab1dae107fc545b73/5BF5A638/t51.2885-15/e35/s480x480/44647517_124120195248188_4185236317460272812_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/1e8f68e82f0507b32a7b5b8a58c03452/5BF591F5/t51.2885-15/sh0.08/e35/s640x640/44647517_124120195248188_4185236317460272812_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/1e8f68e82f0507b32a7b5b8a58c03452/5BF591F5/t51.2885-15/sh0.08/e35/s640x640/44647517_124120195248188_4185236317460272812_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/62d4374492e140c43bdc6e7285d57d9a/5BF5CC00/t50.2886-16/46050180_702329790167254_9024990254660421882_n.mp4,0,suassunaoautodoreinodosol,"{""street_address"": """", ""zip_code"": ""19000-000"", ""city_name"": ""Presidente Prudente, S\u00e3o Paulo"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,213728425,"Presidente Prudente, São Paulo",presidente-prudente-sao-paulo,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/c4fc23e0339707b46f4163905fafee7e/5CADAC8F/t51.2885-15/e35/43383455_281620285801417_7036324158686317390_n.jpg,9,9,"Essa galera querida tá voltando! Agora com #SuassunaOAutodoReinodoSol! Pra quem gosta de teatro, música, circo e literatura, há todos esses elementos reunidos num espetáculo só.

Uma bela homenagem à Ariano Suassuna com uma companhia maravilhosa que faz o nosso coração transbordar.

E tudo isso no teatro mais bonito de Fortaleza no próximo fim de semana. <3

#Auê #BarcaDosCoracoesPartidos",0,1914911822421320402,false,,2049411943,BqTIignnmLS,BarcaDosCoracoesPartidos,Auê,SuassunaOAutodoReinodoSol,1542495299,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e0d5bce57ccaef0806df49ddeb96a3ea/5C7DF696/t51.2885-15/e35/c163.0.754.754/s150x150/43383455_281620285801417_7036324158686317390_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/8793d6471be6b4242cef181145c3bb21/5C7115DC/t51.2885-15/e35/c163.0.754.754/s240x240/43383455_281620285801417_7036324158686317390_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/e3454bc8bafb8baee7d4d7b419d931b7/5C82E866/t51.2885-15/e35/c163.0.754.754/s320x320/43383455_281620285801417_7036324158686317390_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/2dd113d47d67b814f439e24161fc407b/5C72493C/t51.2885-15/e35/c163.0.754.754/s480x480/43383455_281620285801417_7036324158686317390_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/58d137d8ae8315d6463a14f52f3ef4b9/5CAEE49C/t51.2885-15/sh0.08/e35/c163.0.754.754/s640x640/43383455_281620285801417_7036324158686317390_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/58d137d8ae8315d6463a14f52f3ef4b9/5CAEE49C/t51.2885-15/sh0.08/e35/c163.0.754.754/s640x640/43383455_281620285801417_7036324158686317390_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c4fc23e0339707b46f4163905fafee7e/5CADAC8F/t51.2885-15/e35/43383455_281620285801417_7036324158686317390_n.jpg,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
