dimensions/height,dimensions/width,display_url,edge_liked_by/count,edge_media_preview_like/count,edge_media_to_caption/edges/0/node/text,edge_media_to_comment/count,id,is_video,location/address_json,location/has_public_page,location/id,location/name,location/slug,owner/id,shortcode,taken_at_timestamp,thumbnail_resources/0/config_height,thumbnail_resources/0/config_width,thumbnail_resources/0/src,thumbnail_resources/1/config_height,thumbnail_resources/1/config_width,thumbnail_resources/1/src,thumbnail_resources/2/config_height,thumbnail_resources/2/config_width,thumbnail_resources/2/src,thumbnail_resources/3/config_height,thumbnail_resources/3/config_width,thumbnail_resources/3/src,thumbnail_resources/4/config_height,thumbnail_resources/4/config_width,thumbnail_resources/4/src,thumbnail_src,urls/0,location,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,tags/28,tags/29,comments_disabled,urls/1,video_view_count,urls/2,urls/3,urls/4,urls/5,urls/6,urls/7,urls/8,urls/9
1348,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/5c766fd740e725bee9351bf176a38fc7/5C7F3AD4/t51.2885-15/e35/44485539_2227512654200022_4992807746827255565_n.jpg,405,405,"Uma sereia passando pela sua timeline 🧜‍♀️💙
.
.
📷 @leo.bittencourt",16,1906907243703754218,false,"{""street_address"": """", ""zip_code"": ""23951-340"", ""city_name"": ""Angra dos Reis, Rio de Janeiro, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,1761565974116760,Cataguases,cataguases,4140588289,Bp2sgjwlN3q,1541541079,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/662c74ef7fff6065c8e4262ec0e53c97/5C70254F/t51.2885-15/e35/c0.134.1080.1080/s150x150/44485539_2227512654200022_4992807746827255565_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/3eb4cc198f288910a50aeed94ae5d448/5C777249/t51.2885-15/e35/c0.134.1080.1080/s240x240/44485539_2227512654200022_4992807746827255565_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/53a202dbe488f190380dd64a059e7d92/5C7AA437/t51.2885-15/e35/c0.134.1080.1080/s320x320/44485539_2227512654200022_4992807746827255565_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/2c39d388950cd56668769d01bb2c4e00/5C7AEF70/t51.2885-15/e35/c0.134.1080.1080/s480x480/44485539_2227512654200022_4992807746827255565_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/c90001ed5a52c760ab4532d615210d0c/5C72F4D8/t51.2885-15/sh0.08/e35/c0.134.1080.1080/s640x640/44485539_2227512654200022_4992807746827255565_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/c90001ed5a52c760ab4532d615210d0c/5C72F4D8/t51.2885-15/sh0.08/e35/c0.134.1080.1080/s640x640/44485539_2227512654200022_4992807746827255565_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/5c766fd740e725bee9351bf176a38fc7/5C7F3AD4/t51.2885-15/e35/44485539_2227512654200022_4992807746827255565_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/24538c5efd029cbaf20e6924ae6a04f4/5C7DC840/t51.2885-15/e35/44417927_758046264537184_8820831243655437975_n.jpg,1381,1381,"Nos dias de sol, que não são raros, Bora Bora, na Polinésia Francesa,  ganha um cenário irresistível, completado por areais claros, o verde dos montes Pahia e Otemanuo, além do azul do mar e do céu. Foto: @karl_shakur 🌞🌊💧 #amazing #instatravel #travel #travelgram #turismo #ViagemeTurismo #borabora #polinésiafrancesa",26,1906931832792852379,false,,,,,,230219775,Bp2yGYIgKeb,1541544010,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/2945cfb02b959e0f37e75186215fd61d/5C77A693/t51.2885-15/e35/c0.106.868.868/s150x150/44417927_758046264537184_8820831243655437975_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/a637e79871110902eb7e0838261bee4b/5C667CD9/t51.2885-15/e35/c0.106.868.868/s240x240/44417927_758046264537184_8820831243655437975_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/d793db3122e6d40c975d7aa03c7f5104/5C6A3663/t51.2885-15/e35/c0.106.868.868/s320x320/44417927_758046264537184_8820831243655437975_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/7f677a718a9ded3ad34a28b008e18fcd/5C697E39/t51.2885-15/e35/c0.106.868.868/s480x480/44417927_758046264537184_8820831243655437975_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/aba3e016d393cf005ebca254ebec0258/5C85E399/t51.2885-15/sh0.08/e35/c0.106.868.868/s640x640/44417927_758046264537184_8820831243655437975_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/aba3e016d393cf005ebca254ebec0258/5C85E399/t51.2885-15/sh0.08/e35/c0.106.868.868/s640x640/44417927_758046264537184_8820831243655437975_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/24538c5efd029cbaf20e6924ae6a04f4/5C7DC840/t51.2885-15/e35/44417927_758046264537184_8820831243655437975_n.jpg,,ViagemeTurismo,travel,turismo,borabora,amazing,polinésiafrancesa,instatravel,travelgram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/b558de945da65a06558ab0dc20b547ad/5C68E0E3/t51.2885-15/e35/43111295_1563051907212612_3670142256064556907_n.jpg,526,526,"Repost extraordinário da nossa cliente @line_reis3 em expedição no Fervedouro Buritizinho. 🔝🔝
_________________________________________
Faça sua reserva e venha viver dias incríveis nesse paraíso:
Whats: 63 991145985
Email: jalapaooficial8@gmail.com
_________________________________________
#jalapao #fervedouroburitizinho #jalapaooficial #offroad #tocantins #trip #travelling #viagemeturismo #visiteotocantins #repost #Jalapão #quetalviajar #adventure #natureza #aventura #divastrilheiras #trilheirasdobrasil #turismo #ecoturismo #travel #paisagensnaturais #mochileira #ooutroladodoparaiso #expedição #brasil #nortedobrasil #4x4 #offroad4x4 #destinosimperdiveis #melevanessaviagem",10,1906920345602126855,false,"{""street_address"": ""TO-110"", ""zip_code"": ""77593-000"", ""city_name"": ""Mateiros"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": false}",true,224170494671159,Fervedouro Buritizinho,fervedouro-buritizinho,6609553559,Bp2vfN2lHQH,1541542641,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/6f800ad171a13ce8ed7f5213e8722457/5C6C3982/t51.2885-15/e35/c0.132.1080.1080/s150x150/43111295_1563051907212612_3670142256064556907_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/c3304d896971d07f0f0f999ac5f00c7c/5C6F3F84/t51.2885-15/e35/c0.132.1080.1080/s240x240/43111295_1563051907212612_3670142256064556907_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/5b023b7bfdfeba8208abc21e55103be9/5C76FFFA/t51.2885-15/e35/c0.132.1080.1080/s320x320/43111295_1563051907212612_3670142256064556907_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/fe6c00765f610a56b6928cc473745365/5C69FABD/t51.2885-15/e35/c0.132.1080.1080/s480x480/43111295_1563051907212612_3670142256064556907_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/89540ae1b7f7515834cad8332fbcd549/5C730C15/t51.2885-15/sh0.08/e35/c0.132.1080.1080/s640x640/43111295_1563051907212612_3670142256064556907_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/89540ae1b7f7515834cad8332fbcd549/5C730C15/t51.2885-15/sh0.08/e35/c0.132.1080.1080/s640x640/43111295_1563051907212612_3670142256064556907_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/b558de945da65a06558ab0dc20b547ad/5C68E0E3/t51.2885-15/e35/43111295_1563051907212612_3670142256064556907_n.jpg,,visiteotocantins,quetalviajar,aventura,fervedouroburitizinho,melevanessaviagem,paisagensnaturais,trip,repost,4x4,ooutroladodoparaiso,tocantins,travel,turismo,trilheirasdobrasil,brasil,nortedobrasil,ecoturismo,travelling,Jalapão,natureza,expedição,offroad,jalapao,jalapaooficial,adventure,mochileira,offroad4x4,viagemeturismo,divastrilheiras,destinosimperdiveis,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/7b9287f5ddcf2a4e1fd27b3802530cd6/5C63DBFF/t51.2885-15/e35/43985319_487529281749027_7656300540863834679_n.jpg,1823,1823,"Aínsa, a encantadora cidade medieval da região de Aragão, na Espanha! Foto: @europestyle_spain 👏👏👏 #amazing #instatravel #travel #travelgram #turismo #ViagemeTurismo #spain #espanha #aínsa #aragão #europe #europa",15,1906861668026258160,false,,,,,,230219775,Bp2iJWGg5Lw,1541535646,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/85be8fa063a2e8488046e3c2c780d770/5C873168/t51.2885-15/e35/c0.108.864.864/s150x150/43985319_487529281749027_7656300540863834679_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/cf4cf017f2d49ed752027666b1a0e437/5C83A022/t51.2885-15/e35/c0.108.864.864/s240x240/43985319_487529281749027_7656300540863834679_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/084ca3a444ff55dbf7d7773bdddcc93c/5C7D2D98/t51.2885-15/e35/c0.108.864.864/s320x320/43985319_487529281749027_7656300540863834679_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/b67d26d630963c9db40dfeb2f70e8f7c/5C852FC2/t51.2885-15/e35/c0.108.864.864/s480x480/43985319_487529281749027_7656300540863834679_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/fcf013adca3df247989b3c91ec6aec4e/5C836862/t51.2885-15/sh0.08/e35/c0.108.864.864/s640x640/43985319_487529281749027_7656300540863834679_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/fcf013adca3df247989b3c91ec6aec4e/5C836862/t51.2885-15/sh0.08/e35/c0.108.864.864/s640x640/43985319_487529281749027_7656300540863834679_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7b9287f5ddcf2a4e1fd27b3802530cd6/5C63DBFF/t51.2885-15/e35/43985319_487529281749027_7656300540863834679_n.jpg,,europe,europa,ViagemeTurismo,travel,turismo,amazing,instatravel,travelgram,aínsa,aragão,spain,espanha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,750,https://instagram.fplu4-1.fna.fbcdn.net/vp/6802cc228a9634d6af817608d7acc0f6/5C6EC67C/t51.2885-15/e35/43913882_1930037637112246_4044087783331926182_n.jpg,7729,7729,"📷 @luizcesarcosta
O colorido dos casarões coloniais de Tiradentes inebria os visitantes que chegam à região. Aos pés da Serra de São José, a cidade preserva a história e arquitetura do século XVIII em suas construções, igrejas e cenários bucólicos que a transformam em um dos mais charmosos destinos de Minas Gerais. É fácil se apaixonar pela calmaria e elegância de Tiradentes, especialmente depois de experimentar uma das melhores atrações da cidade: a gastronomia! Tiradentes extrapola a faceta do turismo histórico e cada dia mais arrebata visitantes em busca do excelente repertório culinário. Requintada, delicada e encantadora, Tiradentes tem tudo para conquistar você!
📍#tiradentes 
Conheça:
👉🏻 @topofbrazil",116,1906648931979479966,false,"{""street_address"": """", ""zip_code"": ""36325-000"", ""city_name"": ""Tiradentes, Minas Gerais"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,224028620,"Tiradentes, Minas Gerais",tiradentes-minas-gerais,4294455741,Bp1xxoOA8ue,1541510286,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/311c626aea0e0e4bd6e48911df77ab01/5C68B21B/t51.2885-15/e35/c0.7.655.655/s150x150/43913882_1930037637112246_4044087783331926182_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/bb87c8198683a94a1262c4f47dd7eb54/5C6CFC1D/t51.2885-15/e35/c0.7.655.655/s240x240/43913882_1930037637112246_4044087783331926182_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/2b1b3af20fff3586b6ac9122d90329d3/5C662163/t51.2885-15/e35/c0.7.655.655/s320x320/43913882_1930037637112246_4044087783331926182_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/8603972908f8270e6eb1275eabbab3e4/5C898524/t51.2885-15/e35/c0.7.655.655/s480x480/43913882_1930037637112246_4044087783331926182_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/eaafc4458d31185582250beb69d7cb8c/5C8A770E/t51.2885-15/sh0.08/e35/c0.7.655.655/s640x640/43913882_1930037637112246_4044087783331926182_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/eaafc4458d31185582250beb69d7cb8c/5C8A770E/t51.2885-15/sh0.08/e35/c0.7.655.655/s640x640/43913882_1930037637112246_4044087783331926182_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/6802cc228a9634d6af817608d7acc0f6/5C6EC67C/t51.2885-15/e35/43913882_1930037637112246_4044087783331926182_n.jpg,,tiradentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/d82af83840a40b2057ea73502a2ddafc/5C680FA7/t51.2885-15/e35/43405538_712740979124729_6303400880822501921_n.jpg,607,607,"7 Maravilhas do Mundo...
🔺 Vem Com a Gente ➡️ @PelasEstradasDeMinas
⠀
#PelasEstradasDeMinas #Kombi #Viajar #MG #MinasGerais #Minas #quemteconhece #TurismoMG #souminasgeraisuai #exploreminas #lugaresdeminas #DicasViagem #viagem #mochileiro #amorpormg #uai #PratiqueMinas #divulgaMinas #Mineiros #turismo #turistando #viajando #viaje #viagens #travel #travelblogger #traveling #travelblog #instatravel",12,1906724000291923094,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Belo Horizonte, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,213255513,"Belo Horizonte, Brazil",belo-horizonte-brazil,3576198698,Bp2C2BCHKSW,1541519235,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/cd96650073e6e70ff6ac397b835b1cba/5C735CE5/t51.2885-15/e35/s150x150/43405538_712740979124729_6303400880822501921_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/f7cb5d46ed3804767bf3caf648e145c3/5C82D2AF/t51.2885-15/e35/s240x240/43405538_712740979124729_6303400880822501921_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/ab5a983bf3a11c5207a35662630096dc/5C687715/t51.2885-15/e35/s320x320/43405538_712740979124729_6303400880822501921_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/d82af83840a40b2057ea73502a2ddafc/5C680FA7/t51.2885-15/e35/43405538_712740979124729_6303400880822501921_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/d82af83840a40b2057ea73502a2ddafc/5C680FA7/t51.2885-15/e35/43405538_712740979124729_6303400880822501921_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d82af83840a40b2057ea73502a2ddafc/5C680FA7/t51.2885-15/e35/43405538_712740979124729_6303400880822501921_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/d82af83840a40b2057ea73502a2ddafc/5C680FA7/t51.2885-15/e35/43405538_712740979124729_6303400880822501921_n.jpg,,amorpormg,Kombi,TurismoMG,viajando,traveling,exploreminas,travel,turismo,divulgaMinas,Viajar,PratiqueMinas,turistando,MinasGerais,lugaresdeminas,PelasEstradasDeMinas,Mineiros,instatravel,DicasViagem,viagem,viaje,uai,MG,travelblogger,mochileiro,viagens,Minas,travelblog,souminasgeraisuai,quemteconhece,,,,,,,,,,,,
810,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/4e65e7c91573a94c5323b7225b5b28a9/5C801872/t51.2885-15/e35/43694342_278060342840376_4915875379949708872_n.jpg,399,399,"Troque suas folhas mas não perca suas raizes . Mude suas opniões mas não perca os seus princípios ✨

#natureza#souamazonia#paraense#cabocla#cachoeiradosaoluisdotapajos#life#instablog#turismo#Amazônia#biquini",8,1906931994442690977,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""Itaituba, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,384302341,"Itaituba, Brazil",itaituba-brazil,264471537,Bp2yIurlXGh,1541544030,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/cd48349c6a023f04d80d6802277a069e/5C82203D/t51.2885-15/e35/c135.0.810.810/s150x150/43694342_278060342840376_4915875379949708872_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/5736fb911b217ed254629a5c744da3f7/5C69B577/t51.2885-15/e35/c135.0.810.810/s240x240/43694342_278060342840376_4915875379949708872_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/83927d970199ad160b5ee40765bf9553/5C80F1CD/t51.2885-15/e35/c135.0.810.810/s320x320/43694342_278060342840376_4915875379949708872_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/164b4abfd28519cb564c02dcd8eac0b3/5C7A0197/t51.2885-15/e35/c135.0.810.810/s480x480/43694342_278060342840376_4915875379949708872_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/7359e5702a2b9d8ad08a10ff05594a55/5C65F837/t51.2885-15/sh0.08/e35/c135.0.810.810/s640x640/43694342_278060342840376_4915875379949708872_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7359e5702a2b9d8ad08a10ff05594a55/5C65F837/t51.2885-15/sh0.08/e35/c135.0.810.810/s640x640/43694342_278060342840376_4915875379949708872_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/4e65e7c91573a94c5323b7225b5b28a9/5C801872/t51.2885-15/e35/43694342_278060342840376_4915875379949708872_n.jpg,,natureza,souamazonia,cabocla,life,turismo,cachoeiradosaoluisdotapajos,Amazônia,instablog,biquini,paraense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/7e1add110d06163dd2c1bdef9ff18b79/5C739FCA/t51.2885-15/e35/43408679_887528968304134_380309067090843963_n.jpg,2438,2438,"Via @netchanunes 
Você pode sentir as emoções de uma criança através dos olhos dele #Cvei
🇨🇻 IT’S ALL ABOUT CAPE VERDE 🇨🇻
✨Facebook: Cap Vert En Images
✨Instagram: Cap_vert_en_images
✨Youtube: Cap Vert En Images
✨Snapchat: Cvimagens",23,1906847790835901529,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": """", ""region_name"": """", ""country_code"": ""CV"", ""exact_city_match"": false, ""exact_region_match"": false, ""exact_country_match"": true}",true,549208112,Cape Verde,cape-verde,1383900869,Bp2e_Z9gyRZ,1541533992,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/569eb0346ee4884283eb9eb84d196ab4/5C7C374E/t51.2885-15/e35/c0.114.934.934/s150x150/43408679_887528968304134_380309067090843963_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/7c2f2e502b577c2ab096a71152791895/5C7561FB/t51.2885-15/e35/c0.114.934.934/s240x240/43408679_887528968304134_380309067090843963_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/328836a19060103861ed537ee77f542f/5C763B43/t51.2885-15/e35/c0.114.934.934/s320x320/43408679_887528968304134_380309067090843963_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/519b4ef448fb1ccf599d5eecbfe7bd82/5C64A91F/t51.2885-15/e35/c0.114.934.934/s480x480/43408679_887528968304134_380309067090843963_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/7dc9fa796e4cb2a40330539c84627210/5C7ACCF8/t51.2885-15/sh0.08/e35/c0.114.934.934/s640x640/43408679_887528968304134_380309067090843963_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7dc9fa796e4cb2a40330539c84627210/5C7ACCF8/t51.2885-15/sh0.08/e35/c0.114.934.934/s640x640/43408679_887528968304134_380309067090843963_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/7e1add110d06163dd2c1bdef9ff18b79/5C739FCA/t51.2885-15/e35/43408679_887528968304134_380309067090843963_n.jpg,,Cvei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/cf1aa1be7cdc6d76d1711884bb49b2a3/5C837F68/t51.2885-15/e35/43915536_326249397961715_4708978628388454400_n.jpg,1044,1044,"Espetacular cenário nas Ilhas Canárias na Espanha.
.
📸@eduardoarmasj
.
Marque os seus amigos que amam a Europa😉!
.
#fantrip",16,1906665005476239843,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": """", ""region_name"": ""Islas Canarias"", ""country_code"": ""ES"", ""exact_city_match"": false, ""exact_region_match"": true, ""exact_country_match"": false}",true,278421360,Canary Islands,canary-islands,1647216351,Bp11bh1FFnj,1541512202,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/fadefeee53460c0683781095e2207e44/5C761230/t51.2885-15/e35/c0.135.1080.1080/s150x150/43915536_326249397961715_4708978628388454400_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/1895b022804cd390a2163e88a251e928/5C891B7A/t51.2885-15/e35/c0.135.1080.1080/s240x240/43915536_326249397961715_4708978628388454400_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/4798fc9b7d283b172acac5931aa46460/5C6BB6C0/t51.2885-15/e35/c0.135.1080.1080/s320x320/43915536_326249397961715_4708978628388454400_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/0cfee5c90fff63d03e03c5d68e586e50/5C7FB89A/t51.2885-15/e35/c0.135.1080.1080/s480x480/43915536_326249397961715_4708978628388454400_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/f9bb3e18b877e640a97d5bfdceb57416/5C77DC2B/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43915536_326249397961715_4708978628388454400_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/f9bb3e18b877e640a97d5bfdceb57416/5C77DC2B/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/43915536_326249397961715_4708978628388454400_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/cf1aa1be7cdc6d76d1711884bb49b2a3/5C837F68/t51.2885-15/e35/43915536_326249397961715_4708978628388454400_n.jpg,,fantrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1080,https://instagram.fplu4-1.fna.fbcdn.net/vp/0f6982939c1836314019691a8ac912e5/5C765E94/t51.2885-15/e35/44197699_2177443692287071_7988930275938405742_n.jpg,3,3,"#Repost @queopsmiranda (@get_repost)
・・・
Sutilmente
#olharesdesampa #boanoite #goodnight #sampa #sampacity #terradagaroa #011 #turistandosp #sp #photoeveryday #photography #turismo #travelworld #instatraveling #brazilgram #brazil #brasil #instagram",0,1906962974469629456,false,"{""street_address"": """", ""zip_code"": """", ""city_name"": ""S\u00e3o Paulo, Brazil"", ""region_name"": """", ""country_code"": ""BR"", ""exact_city_match"": true, ""exact_region_match"": false, ""exact_country_match"": false}",true,213163910,"São Paulo, Brazil",sao-paulo-brazil,5374677610,Bp25LjFFaYQ,1541547723,150,150,https://instagram.fplu4-1.fna.fbcdn.net/vp/e0fd2d4f7954c8c2fac8fb37dea4edf4/5C7DA39B/t51.2885-15/e35/c0.135.1080.1080/s150x150/44197699_2177443692287071_7988930275938405742_n.jpg,240,240,https://instagram.fplu4-1.fna.fbcdn.net/vp/5597840ddc36ee2b42743af83313e86f/5C75879D/t51.2885-15/e35/c0.135.1080.1080/s240x240/44197699_2177443692287071_7988930275938405742_n.jpg,320,320,https://instagram.fplu4-1.fna.fbcdn.net/vp/5fa5efbd4f858d7694dd563dca799f7d/5C83F3E3/t51.2885-15/e35/c0.135.1080.1080/s320x320/44197699_2177443692287071_7988930275938405742_n.jpg,480,480,https://instagram.fplu4-1.fna.fbcdn.net/vp/951a962f58fd8e8d7555d592cf9a47b0/5C8287A4/t51.2885-15/e35/c0.135.1080.1080/s480x480/44197699_2177443692287071_7988930275938405742_n.jpg,640,640,https://instagram.fplu4-1.fna.fbcdn.net/vp/0b9eeca871cd859c13975b45d8eae50c/5C6ADA0C/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44197699_2177443692287071_7988930275938405742_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/0b9eeca871cd859c13975b45d8eae50c/5C6ADA0C/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/44197699_2177443692287071_7988930275938405742_n.jpg,https://instagram.fplu4-1.fna.fbcdn.net/vp/0f6982939c1836314019691a8ac912e5/5C765E94/t51.2885-15/e35/44197699_2177443692287071_7988930275938405742_n.jpg,,sampacity,brazil,sp,boanoite,photography,terradagaroa,photoeveryday,instagram,turismo,011,goodnight,brasil,instatraveling,olharesdesampa,turistandosp,sampa,travelworld,brazilgram,Repost,,,,,,,,,,,,false,,,,,,,,,,
